category,sub category,images,model45_15,model35_17,model25_16
Dangerous warning,Dangerous warning,9893,97.31445769736177,95.31675528151217,95.5732406752249
Regularoty,Priority ,3577,98.88841207715964,98.14069052278447,98.05285155157955
Regularoty,Prohibitory,18546,97.83514396635393,97.27406934109781,97.69129246198641
Regularoty,Mandatory,6763,98.1650717137365,97.64768593819313,97.20617477450834
Regularoty,Special regulations,3428,95.00020128354727,92.27548133022174,93.42353558926489
