Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
3,101,21,97.88,424
3,101,84,64.29,14
3,101,9,94.59,37
3,101,50,43.48,23
3,101,56,98.67,75
3,101,89,39.13,23
3,101,92,92.59,27
3,101,24,93.75,16
3,101,22,70.59,17
3,101,39,92.86,56
3,101,58,96.74,92
3,101,20,87.1,31
3,101,81,71.43,21
3,101,16,42.86,7
3,101,72,95.1,102
3,101,91,100.0,8
3,101,4,50.0,8
3,101,78,85.71,28
3,101,36,88.46,26
3,101,59,98.61,72
3,101,3,0.0,7
3,101,7,98.84,86
3,101,32,89.66,29
3,101,51,75.0,12
3,101,90,55.56,9
3,101,100,93.75,32
3,101,104,91.67,24
3,101,86,90.0,50
3,101,40,77.78,36
3,101,17,93.33,15
3,101,53,70.59,17
3,101,11,0.0,4
3,101,2,91.89,37
3,101,88,93.75,64
3,101,5,0.0,7
3,101,73,81.25,16
3,101,6,75.56,45
3,101,93,68.42,19
3,101,65,75.86,29
3,101,30,30.77,13
3,101,82,0.0,6
3,101,94,89.47,19
3,101,66,73.33,15
3,101,79,33.33,6
3,101,98,0.0,6
3,101,97,37.5,8
3,101,61,100.0,11
3,101,105,70.0,10
3,101,12,0.0,3
3,101,77,0.0,4
3,101,96,0.0,6
3,101,62,88.89,9
3,101,35,0.0,6
3,101,87,0.0,6
3,101,8,0.0,6
3,101,55,77.78,9
3,101,95,0.0,2
4,101,83,94.0,450
4,101,42,98.89,361
4,101,39,94.64,56
4,101,54,98.84,430
4,101,49,97.09,619
4,101,72,96.08,102
4,101,69,98.1,211
4,101,10,99.39,163
4,101,45,95.99,673
4,101,43,99.46,554
4,101,75,97.62,126
4,101,60,92.49,173
4,101,28,97.5,400
4,101,74,96.22,185
4,101,33,99.54,217
4,101,93,78.95,19
4,101,103,95.59,68
4,101,19,93.37,196
4,101,9,91.89,37
4,101,21,99.53,424
4,101,14,97.42,310
4,101,44,97.1,69
4,101,58,93.48,92
4,101,64,97.66,385
4,101,59,100.0,72
4,101,101,83.87,31
4,101,27,97.67,430
4,101,52,96.6,471
4,101,48,99.36,470
4,101,0,97.56,164
4,101,18,98.95,477
4,101,56,94.67,75
4,101,6,93.33,45
4,101,15,91.84,98
4,101,47,96.9,323
4,101,25,99.31,435
4,101,34,97.84,232
4,101,71,98.49,397
4,101,78,100.0,28
4,101,16,71.43,7
4,101,38,97.5,160
4,101,7,97.67,86
4,101,63,91.59,107
4,101,24,100.0,16
4,101,67,100.0,131
4,101,37,88.89,36
4,101,2,83.78,37
4,101,50,65.22,23
4,101,102,83.33,96
4,101,13,99.4,167
4,101,80,84.51,71
4,101,68,100.0,63
4,101,81,85.71,21
4,101,57,96.97,132
4,101,88,95.31,64
4,101,29,97.84,185
4,101,86,98.0,50
4,101,36,96.15,26
4,101,70,94.49,127
4,101,99,87.8,41
4,101,65,93.1,29
4,101,84,64.29,14
4,101,20,90.32,31
4,101,26,97.06,136
4,101,46,90.48,42
4,101,106,91.67,48
4,101,97,50.0,8
4,101,66,93.33,15
4,101,92,92.59,27
4,101,104,91.67,24
4,101,23,88.89,18
4,101,100,96.88,32
4,101,96,50.0,6
4,101,22,88.24,17
4,101,55,100.0,9
4,101,1,100.0,38
4,101,8,0.0,6
4,101,51,75.0,12
4,101,53,64.71,17
4,101,89,95.65,23
4,101,40,88.89,36
4,101,94,84.21,19
4,101,32,93.1,29
4,101,91,87.5,8
4,101,31,100.0,19
4,101,76,98.59,71
4,101,62,100.0,9
4,101,85,76.92,13
4,101,87,50.0,6
4,101,79,50.0,6
4,101,11,0.0,4
4,101,77,25.0,4
4,101,82,33.33,6
4,101,35,66.67,6
4,101,105,60.0,10
4,101,73,87.5,16
4,101,4,100.0,8
4,101,30,61.54,13
4,101,5,0.0,7
4,101,3,42.86,7
4,101,98,0.0,6
4,101,41,71.43,7
4,101,17,93.33,15
4,101,90,66.67,9
4,101,61,90.91,11
4,101,95,0.0,2
4,101,12,0.0,3
5,101,28,96.25,400
5,101,18,98.11,477
5,101,54,97.21,430
5,101,15,91.84,98
5,101,83,90.89,450
5,101,0,98.78,164
5,101,45,97.77,673
5,101,48,98.94,470
5,101,49,98.71,619
5,101,69,98.1,211
5,101,38,98.75,160
5,101,52,97.45,471
5,101,47,93.81,323
5,101,60,93.64,173
5,101,58,95.65,92
5,101,76,95.77,71
5,101,70,95.28,127
5,101,27,97.44,430
5,101,21,98.82,424
5,101,57,96.21,132
5,101,43,99.46,554
5,101,42,98.06,361
5,101,26,95.59,136
5,101,14,97.42,310
5,101,89,95.65,23
5,101,25,98.62,435
5,101,7,100.0,86
5,101,72,100.0,102
5,101,33,99.54,217
5,101,64,99.22,385
5,101,77,25.0,4
5,101,71,99.5,397
5,101,10,97.55,163
5,101,46,90.48,42
5,101,86,100.0,50
5,101,75,96.83,126
5,101,6,91.11,45
5,101,74,96.76,185
5,101,67,97.71,131
5,101,63,94.39,107
5,101,68,100.0,63
5,101,19,94.39,196
5,101,59,98.61,72
5,101,81,90.48,21
5,101,20,90.32,31
5,101,102,84.38,96
5,101,53,76.47,17
5,101,44,95.65,69
5,101,96,66.67,6
5,101,34,98.28,232
5,101,40,91.67,36
5,101,99,78.05,41
5,101,80,85.92,71
5,101,101,83.87,31
5,101,65,96.55,29
5,101,30,69.23,13
5,101,37,97.22,36
5,101,36,92.31,26
5,101,13,98.8,167
5,101,90,55.56,9
5,101,78,100.0,28
5,101,104,83.33,24
5,101,103,97.06,68
5,101,61,100.0,11
5,101,66,73.33,15
5,101,88,98.44,64
5,101,56,98.67,75
5,101,39,94.64,56
5,101,29,96.76,185
5,101,32,86.21,29
5,101,97,87.5,8
5,101,2,91.89,37
5,101,106,85.42,48
5,101,84,71.43,14
5,101,50,69.57,23
5,101,24,50.0,16
5,101,92,96.3,27
5,101,93,68.42,19
5,101,41,85.71,7
5,101,31,100.0,19
5,101,1,97.37,38
5,101,5,42.86,7
5,101,9,94.59,37
5,101,3,57.14,7
5,101,94,94.74,19
5,101,82,33.33,6
5,101,8,0.0,6
5,101,87,16.67,6
5,101,85,84.62,13
5,101,17,93.33,15
5,101,100,100.0,32
5,101,91,100.0,8
5,101,73,93.75,16
5,101,23,66.67,18
5,101,12,0.0,3
5,101,16,14.29,7
5,101,4,100.0,8
5,101,62,100.0,9
5,101,105,100.0,10
5,101,55,88.89,9
5,101,51,83.33,12
5,101,22,64.71,17
5,101,79,16.67,6
5,101,95,0.0,2
5,101,35,50.0,6
5,101,11,0.0,4
5,101,98,0.0,6
6,101,43,98.92,554
6,101,83,96.44,450
6,101,21,96.23,424
6,101,48,97.66,470
6,101,37,94.44,36
6,101,49,96.12,619
6,101,34,94.83,232
6,101,20,90.32,31
6,101,18,98.11,477
6,101,27,96.74,430
6,101,54,97.91,430
6,101,72,95.1,102
6,101,60,87.28,173
6,101,44,92.75,69
6,101,42,96.68,361
6,101,45,97.62,673
6,101,33,99.54,217
6,101,84,85.71,14
6,101,64,98.7,385
6,101,10,96.32,163
6,101,30,100.0,13
6,101,28,95.5,400
6,101,80,94.37,71
6,101,2,72.97,37
6,101,25,97.93,435
6,101,13,95.21,167
6,101,29,85.95,185
6,101,56,97.33,75
6,101,14,94.84,310
6,101,47,91.64,323
6,101,6,86.67,45
6,101,19,93.88,196
6,101,39,89.29,56
6,101,7,95.35,86
6,101,71,96.47,397
6,101,102,82.29,96
6,101,51,66.67,12
6,101,38,98.75,160
6,101,52,91.3,471
6,101,58,96.74,92
6,101,40,80.56,36
6,101,0,97.56,164
6,101,50,30.43,23
6,101,46,88.1,42
6,101,75,98.41,126
6,101,103,80.88,68
6,101,85,84.62,13
6,101,88,93.75,64
6,101,89,86.96,23
6,101,12,0.0,3
6,101,74,90.27,185
6,101,68,100.0,63
6,101,69,99.05,211
6,101,15,86.73,98
6,101,67,100.0,131
6,101,35,66.67,6
6,101,24,100.0,16
6,101,78,100.0,28
6,101,9,97.3,37
6,101,59,100.0,72
6,101,36,76.92,26
6,101,22,82.35,17
6,101,57,96.97,132
6,101,70,95.28,127
6,101,16,85.71,7
6,101,63,85.98,107
6,101,86,100.0,50
6,101,26,93.38,136
6,101,100,100.0,32
6,101,65,93.1,29
6,101,23,77.78,18
6,101,99,51.22,41
6,101,93,78.95,19
6,101,92,96.3,27
6,101,66,93.33,15
6,101,17,100.0,15
6,101,32,89.66,29
