Epochs,Model_accuracy,Resolution
1,40.357162698412694,101
2,71.50829365079366,101
3,84.20646031746033,101
4,88.85004365079365,101
5,88.9281984126984,101
6,91.66740873015878,101
7,89.40382539682545,101
8,91.62756349206349,101
9,90.08100000000006,101
10,92.14298809523811,101
11,90.55501190476193,101
12,89.602253968254,101
13,91.62779365079366,101
14,91.74627380952387,101
15,92.7766507936508,101
16,92.10411111111114,101
17,92.97680158730158,101
18,91.03112698412701,101
19,89.84151984126984,101
20,91.34840079365088,101
21,93.41269444444448,101
22,91.15114285714286,101
23,91.15099603174605,101
24,93.01784523809528,101
25,88.88912698412696,101
26,91.03205952380955,101
27,91.3897896825397,101
28,91.07088492063488,101
29,90.00015079365082,101
30,91.03107142857144,101
31,91.6674126984127,101
32,89.24644444444445,101
33,92.22200793650798,101
34,87.53907936507939,101
35,89.5252261904762,101
36,89.64301190476195,101
37,91.4673174603175,101
38,88.05532539682542,101
39,91.4289246031746,101
40,90.5937261904762,101
41,92.1822380952381,101
42,91.78548809523816,101
43,92.18317063492063,101
44,90.59640873015876,101
45,90.35707539682542,101
46,92.02286904761903,101
47,92.77713492063494,101
48,93.57185714285718,101
49,94.16633730158736,101
50,90.51466269841274,101
