Epochs,Resolution,Class,Class_Acuracy,Total_in_Class
1,131,49,92.73,619
1,131,25,90.34,435
1,131,2,64.86,37
1,131,72,95.1,102
1,131,1,55.26,38
1,131,28,94.5,400
1,131,47,71.52,323
1,131,18,97.69,477
1,131,52,90.66,471
1,131,86,88.0,50
1,131,43,95.85,554
1,131,45,93.02,673
1,131,21,92.45,424
1,131,34,81.9,232
1,131,42,88.37,361
1,131,75,96.03,126
1,131,54,89.77,430
1,131,83,95.11,450
1,131,71,91.44,397
1,131,7,81.4,86
1,131,60,75.72,173
1,131,57,90.91,132
1,131,80,81.69,71
1,131,64,98.18,385
1,131,19,78.06,196
1,131,32,89.66,29
1,131,29,92.43,185
1,131,69,97.63,211
1,131,0,80.49,164
1,131,59,95.83,72
1,131,9,0.0,37
1,131,26,81.62,136
1,131,27,90.93,430
1,131,20,67.74,31
1,131,23,16.67,18
1,131,67,95.42,131
1,131,48,89.36,470
1,131,46,54.76,42
1,131,84,85.71,14
1,131,14,92.58,310
1,131,63,78.5,107
1,131,39,80.36,56
1,131,74,89.73,185
1,131,81,28.57,21
1,131,88,90.62,64
1,131,73,37.5,16
1,131,102,73.96,96
1,131,33,95.39,217
1,131,58,73.91,92
1,131,10,73.01,163
1,131,70,93.7,127
1,131,24,6.25,16
1,131,38,88.75,160
1,131,37,13.89,36
1,131,44,56.52,69
1,131,56,94.67,75
1,131,76,87.32,71
1,131,13,88.02,167
1,131,101,16.13,31
1,131,103,88.24,68
1,131,6,62.22,45
1,131,97,0.0,8
1,131,78,89.29,28
1,131,15,59.18,98
1,131,68,98.41,63
1,131,93,42.11,19
1,131,40,63.89,36
1,131,85,46.15,13
1,131,61,9.09,11
1,131,41,14.29,7
1,131,53,0.0,17
1,131,106,18.75,48
1,131,90,100.0,9
1,131,105,0.0,10
1,131,22,5.88,17
1,131,99,80.49,41
1,131,82,0.0,6
1,131,4,0.0,8
1,131,50,0.0,23
1,131,98,0.0,6
1,131,92,81.48,27
1,131,66,86.67,15
1,131,65,65.52,29
1,131,104,0.0,24
1,131,79,0.0,6
1,131,31,0.0,19
1,131,91,37.5,8
1,131,35,0.0,6
1,131,36,42.31,26
1,131,89,91.3,23
1,131,16,0.0,7
1,131,8,0.0,6
1,131,17,86.67,15
1,131,3,0.0,7
1,131,30,38.46,13
1,131,62,88.89,9
1,131,94,68.42,19
1,131,100,65.62,32
1,131,11,0.0,4
1,131,51,0.0,12
1,131,5,0.0,7
1,131,96,0.0,6
1,131,87,0.0,6
1,131,77,0.0,4
1,131,55,0.0,9
1,131,12,0.0,3
1,131,95,0.0,2
2,131,30,76.92,13
2,131,48,91.91,470
2,131,52,76.43,471
2,131,23,83.33,18
2,131,32,79.31,29
2,131,25,95.17,435
2,131,7,79.07,86
2,131,45,91.68,673
2,131,34,97.84,232
2,131,54,94.19,430
2,131,88,95.31,64
2,131,20,90.32,31
2,131,10,92.64,163
2,131,21,90.57,424
2,131,83,97.33,450
2,131,28,95.25,400
2,131,60,94.8,173
2,131,1,89.47,38
2,131,13,90.42,167
