filter,ideal_42,noise_42
Original,94.48497902384119,93.12353729663356
fognight,42.77116340939322,68.03469149698148
fogsnow,32.30430471707767,65.32248234932977
fograin,43.06715440499335,73.57024148163309
rainnight,62.30402128312698,72.44438452880385
snownight,24.649666427913637,53.40245676864832
