epoch,model_52,model_49,model_42
1,1.6638871431350708,1.3025130033493042,1.2540602684020996
2,0.7277526259422302,0.6565319299697876,0.4990033805370331
3,0.43082326650619507,0.4918692708015442,0.3698331415653229
4,0.41351205110549927,0.4321596920490265,0.32499703764915466
5,0.35534587502479553,0.42191994190216064,0.30796101689338684
6,0.3392027020454407,0.406686007976532,0.33077380061149597
7,0.3475736379623413,0.46234583854675293,0.3463004529476166
8,0.3913830518722534,0.4387280344963074,0.38006356358528137
9,0.4675583839416504,0.5025195479393005,0.3640163242816925
10,0.45278170704841614,0.5150561332702637,0.47055792808532715
11,0.4870999753475189,0.5770441293716431,0.479535847902298
12,0.4691917300224304,0.5304599404335022,0.4477726221084595
13,0.4846271872520447,0.5723833441734314,0.5011895895004272
14,0.555543065071106,0.5794353485107422,0.5272530317306519
15,0.5027118921279907,0.5982636213302612,0.5474955439567566
16,0.5017514824867249,0.6481372117996216,0.5660638809204102
17,0.5308348536491394,0.6462171673774719,0.5837961435317993
18,0.5544779300689697,0.679124116897583,0.597303569316864
19,0.5736820101737976,0.700509786605835,0.609908938407898
20,0.5881273150444031,0.7184525728225708,0.623782753944397
21,0.6005880832672119,0.7356270551681519,0.6366526484489441
22,0.6129065155982971,0.7549657225608826,0.6498045921325684
23,0.6232768297195435,0.7694289684295654,0.662841260433197
24,0.6338729858398438,0.7843710780143738,0.6756330132484436
25,0.6440076231956482,0.7996206879615784,0.6866748929023743
26,0.6543940901756287,0.8124100565910339, 
