epoch,validation_loss,validation_accuracy
1,1.2540602684020996,0.6838361024856567
2,0.4990033805370331,0.8757826089859009
3,0.3698331415653229,0.9127774834632874
4,0.32499703764915466,0.9247296452522278
5,0.30796101689338684,0.9339783787727356
6,0.33077380061149597,0.9383893013000488
7,0.3463004529476166,0.9297097325325012
8,0.38006356358528137,0.937393307685852
9,0.3640163242816925,0.9440808296203613
10,0.47055792808532715,0.9439385533332825
11,0.479535847902298,0.9412350654602051
12,0.4477726221084595,0.9517643451690674
13,0.5011895895004272,0.9520489573478699
14,0.5272530317306519,0.9524757862091064
15,0.5474955439567566,0.9527603983879089
16,0.5660638809204102,0.9521912336349487
17,0.5837961435317993,0.9524757862091064
18,0.597303569316864,0.9526181221008301
19,0.609908938407898,0.9527603983879089
20,0.623782753944397,0.9526181221008301
21,0.6366526484489441,0.9524757862091064
22,0.6498045921325684,0.9526181221008301
23,0.662841260433197,0.9521912336349487
24,0.6756330132484436,0.9521912336349487
25,0.6866748929023743,0.9523335099220276
