class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,95.12,96.75,94.31,53.66,56.1,79.67,95.93,95.12,92.68,92.68,95.12,92.68,76.42,68.29,66.67,95.12,96.75,94.31,123
1,93.18,95.45,90.91,56.82,54.55,56.82,95.45,97.73,93.18,77.27,68.18,68.18,65.91,63.64,52.27,93.18,95.45,90.91,44
2,94.44,90.74,79.63,53.7,50.0,35.19,88.89,81.48,72.22,92.59,92.59,77.78,79.63,79.63,77.78,94.44,90.74,77.78,54
3,57.14,57.14,66.67,9.52,14.29,14.29,61.9,38.1,66.67,52.38,66.67,52.38,47.62,38.1,42.86,52.38,57.14,61.9,21
4,66.67,77.78,77.78,11.11,22.22,0.0,66.67,77.78,77.78,55.56,88.89,77.78,55.56,44.44,55.56,77.78,77.78,77.78,9
5,100.0,71.43,85.71,14.29,14.29,0.0,100.0,14.29,42.86,71.43,71.43,71.43,57.14,14.29,100.0,100.0,71.43,85.71,7
6,88.33,86.67,88.33,30.0,46.67,65.0,81.67,86.67,81.67,88.33,86.67,85.0,66.67,65.0,66.67,90.0,86.67,88.33,60
7,65.0,65.0,57.5,15.0,2.5,2.5,60.0,35.0,37.5,42.5,42.5,42.5,25.0,22.5,15.0,65.0,65.0,55.0,40
8,100.0,66.67,66.67,0.0,0.0,0.0,66.67,33.33,66.67,66.67,33.33,66.67,0.0,0.0,0.0,66.67,66.67,66.67,3
9,66.67,66.67,0.0,0.0,33.33,0.0,66.67,66.67,0.0,66.67,66.67,0.0,66.67,66.67,0.0,66.67,66.67,0.0,3
10,92.31,84.62,76.92,53.85,38.46,61.54,84.62,84.62,84.62,84.62,84.62,84.62,92.31,53.85,53.85,92.31,84.62,76.92,13
11,84.44,93.33,86.67,51.11,55.56,13.33,84.44,91.11,73.33,77.78,84.44,71.11,53.33,62.22,60.0,82.22,95.56,86.67,45
12,92.86,93.88,85.71,48.98,34.69,36.73,92.86,88.78,86.73,75.51,76.53,68.37,60.2,62.24,47.96,92.86,93.88,86.73,98
13,75.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,25.0,50.0,0.0,0.0,75.0,25.0,25.0,4
14,66.67,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,33.33,0.0,0.0,66.67,0.0,33.33,3
15,89.24,94.3,84.18,28.48,48.1,27.85,76.58,86.71,78.48,86.08,91.14,81.01,65.82,61.39,61.39,87.97,94.3,82.28,158
16,94.14,87.55,91.58,69.6,61.9,59.71,92.67,86.81,81.32,93.04,84.62,89.74,78.75,73.99,71.06,93.77,87.91,91.58,273
17,84.62,84.62,71.15,38.46,25.0,42.31,78.85,75.0,63.46,84.62,84.62,71.15,63.46,50.0,50.0,84.62,84.62,75.0,52
18,60.0,80.0,60.0,20.0,20.0,40.0,60.0,60.0,60.0,60.0,60.0,40.0,60.0,40.0,40.0,60.0,80.0,60.0,5
19,85.85,74.53,76.42,11.32,27.36,22.64,85.85,67.92,56.6,74.53,61.32,58.49,46.23,36.79,26.42,86.79,74.53,76.42,106
20,96.54,93.07,96.54,75.76,59.74,60.17,93.51,86.58,91.34,92.21,87.01,94.37,83.12,75.32,74.46,96.97,93.07,96.54,231
21,94.62,84.95,81.72,29.03,34.41,16.13,87.1,61.29,60.22,78.49,81.72,75.27,65.59,61.29,61.29,94.62,83.87,82.8,93
22,81.54,83.08,81.54,63.08,72.31,63.08,80.0,80.0,80.0,81.54,81.54,76.92,76.92,73.85,67.69,81.54,83.08,81.54,65
23,92.92,92.31,90.46,43.08,52.92,42.46,91.69,86.15,90.15,89.54,90.77,88.31,79.69,76.0,74.46,92.92,91.38,90.46,325
24,30.0,50.0,50.0,5.0,15.0,0.0,25.0,40.0,45.0,35.0,50.0,35.0,40.0,15.0,35.0,30.0,50.0,45.0,20
25,80.95,76.19,90.48,33.33,33.33,14.29,66.67,57.14,80.95,71.43,71.43,85.71,47.62,47.62,66.67,80.95,76.19,85.71,21
26,90.91,90.91,90.91,40.91,59.09,27.27,95.45,90.91,77.27,90.91,86.36,81.82,81.82,72.73,72.73,90.91,90.91,90.91,22
27,5.88,11.76,17.65,0.0,0.0,29.41,0.0,11.76,11.76,5.88,11.76,17.65,0.0,5.88,5.88,5.88,11.76,17.65,17
28,96.88,94.53,91.41,41.8,42.19,68.36,94.53,88.28,88.67,85.55,89.84,83.98,64.84,63.28,48.05,96.48,95.31,91.8,256
29,42.11,66.67,52.63,12.28,17.54,5.26,40.35,38.6,33.33,36.84,29.82,31.58,22.81,17.54,22.81,42.11,64.91,52.63,57
30,98.38,95.36,96.98,81.67,78.42,78.65,97.91,96.29,96.29,96.52,94.9,93.5,92.11,84.92,83.29,98.14,95.82,97.22,431
31,89.44,85.0,90.56,37.78,20.56,27.22,80.0,25.56,82.22,85.56,77.22,87.78,78.33,75.56,80.0,88.33,84.44,91.67,180
32,95.22,94.66,97.19,87.92,82.02,91.57,94.94,86.52,92.7,92.42,91.29,94.38,81.18,70.22,73.6,95.22,94.1,97.19,356
33,77.78,83.33,77.78,55.56,33.33,16.67,38.89,72.22,61.11,83.33,83.33,72.22,55.56,88.89,72.22,77.78,83.33,77.78,18
34,100.0,100.0,95.24,71.43,76.19,95.24,100.0,80.95,95.24,100.0,95.24,95.24,95.24,85.71,90.48,100.0,100.0,95.24,21
35,88.57,82.86,71.43,34.29,31.43,14.29,51.43,54.29,34.29,77.14,74.29,68.57,80.0,57.14,34.29,88.57,82.86,71.43,35
36,96.75,95.45,100.0,79.87,45.45,68.18,82.47,7.79,77.27,96.75,90.91,96.75,88.96,89.61,86.36,96.75,95.45,100.0,154
37,95.68,95.68,94.24,62.59,61.87,48.2,95.68,91.37,88.49,95.68,93.53,93.53,78.42,71.22,71.22,95.68,95.68,94.24,139
38,88.89,66.67,100.0,33.33,33.33,11.11,33.33,11.11,0.0,77.78,66.67,77.78,66.67,66.67,77.78,88.89,66.67,100.0,9
