category,sub-category,images,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42
Dangerous warning,Dangerous warning,2228,93.76260771992817,47.082464093357274,29.534398563734293,42.414039497307,63.195359066427294,26.93024236983842
Regularoty,Priority ,1041,96.83163304514889,57.0606628242075,42.26897214217099,58.1164265129683,68.00995196926031,26.895955811719503
Regularoty,Prohibitory,3957,95.45128127369217,40.18179428860248,28.609651250947692,38.13505180692444,59.894106646449316,21.279140763204442
Regularoty,Mandatory,1203,95.5927098919368,38.90433083956775,34.49654197838737,43.806550290939306,67.496608478803,26.76585203657523
Regularoty,Special regulations,1344,90.02837053571427,35.64094494047619,38.09345238095238,46.35263392857144,58.854300595238094,27.158511904761905
