class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,98.37,65.85,40.65,50.41,73.98,34.96,123
1,93.18,56.82,29.55,56.82,77.27,36.36,44
2,96.3,37.04,20.37,33.33,57.41,24.07,54
3,66.67,28.57,0.0,19.05,33.33,4.76,21
4,88.89,44.44,33.33,22.22,44.44,33.33,9
5,71.43,28.57,14.29,14.29,85.71,0.0,7
6,90.0,36.67,8.33,21.67,58.33,16.67,60
7,82.5,5.0,2.5,2.5,40.0,7.5,40
8,66.67,0.0,0.0,0.0,0.0,0.0,3
9,66.67,0.0,0.0,33.33,33.33,0.0,3
10,92.31,61.54,23.08,46.15,61.54,23.08,13
11,100.0,24.44,17.78,24.44,60.0,24.44,45
12,95.92,46.94,26.53,42.86,60.2,25.51,98
13,50.0,25.0,0.0,0.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.3,39.24,24.68,33.54,58.23,17.09,158
16,94.14,52.01,36.63,47.25,67.77,31.14,273
17,86.54,25.0,11.54,19.23,44.23,19.23,52
18,80.0,20.0,0.0,0.0,20.0,40.0,5
19,96.23,31.13,13.21,27.36,51.89,16.98,106
20,97.84,65.37,48.92,68.4,77.49,45.45,231
21,93.55,41.94,21.51,26.88,60.22,25.81,93
22,80.0,70.77,53.85,61.54,75.38,40.0,65
23,97.85,69.85,44.62,67.38,76.92,38.46,325
24,85.0,10.0,5.0,20.0,50.0,20.0,20
25,100.0,38.1,19.05,38.1,66.67,14.29,21
26,95.45,45.45,13.64,40.91,68.18,13.64,22
27,11.76,0.0,0.0,5.88,0.0,5.88,17
28,97.66,26.95,18.75,24.61,51.56,10.94,256
29,92.98,31.58,15.79,19.3,49.12,19.3,57
30,97.68,75.87,62.88,76.33,80.74,42.69,431
31,91.67,52.22,31.11,52.78,66.11,21.11,180
32,99.16,40.17,27.25,43.26,56.46,12.92,356
33,83.33,61.11,61.11,77.78,72.22,33.33,18
34,100.0,52.38,14.29,28.57,61.9,14.29,21
35,94.29,22.86,5.71,20.0,40.0,8.57,35
36,100.0,65.58,52.6,64.94,74.68,25.32,154
37,95.68,22.3,10.07,17.99,50.36,11.51,139
38,66.67,33.33,22.22,22.22,22.22,11.11,9
39,93.94,39.39,18.18,33.33,54.55,27.27,33
40,95.74,27.66,19.15,34.04,46.81,21.28,47
41,96.91,69.07,46.39,65.98,79.38,30.93,97
42,97.44,55.13,25.64,37.18,84.62,33.33,78
43,92.59,44.44,27.78,40.74,50.0,22.22,54
44,71.43,57.14,42.86,28.57,42.86,14.29,7
45,99.62,62.64,38.87,53.96,72.83,28.68,265
46,98.04,46.67,36.08,43.53,72.16,27.06,255
47,92.59,3.7,3.7,11.11,44.44,11.11,27
48,92.28,49.69,41.98,49.38,70.99,41.05,324
49,89.29,60.71,37.5,46.43,71.43,21.43,56
50,96.38,49.52,36.96,42.75,66.18,24.88,414
51,97.94,47.33,27.16,36.63,59.67,22.63,243
52,98.97,46.28,29.55,45.04,66.94,22.73,484
53,91.6,18.91,13.03,20.17,44.54,12.18,238
54,43.75,6.25,0.0,0.0,31.25,0.0,16
55,95.67,20.78,9.96,12.99,52.38,9.96,231
56,70.83,8.33,4.17,4.17,20.83,0.0,24
57,96.94,32.14,16.33,29.08,55.1,14.29,196
58,91.67,33.33,25.0,41.67,66.67,0.0,12
59,100.0,18.52,7.41,11.11,44.44,11.11,27
60,98.41,22.22,22.22,9.52,44.44,11.11,63
61,94.64,39.29,10.71,26.79,51.79,14.29,56
62,93.94,27.27,21.21,33.33,60.61,12.12,33
63,95.11,17.33,31.11,42.67,31.56,8.89,225
64,45.45,9.09,9.09,0.0,9.09,0.0,11
65,55.56,22.22,11.11,0.0,0.0,0.0,9
66,90.77,8.46,23.85,30.0,41.54,11.54,130
67,99.44,34.44,31.67,43.33,68.89,22.22,180
68,94.44,52.78,33.33,52.78,69.44,25.0,36
69,90.91,63.64,54.55,63.64,72.73,18.18,11
70,100.0,44.83,20.69,43.1,68.97,29.31,58
71,100.0,20.83,12.5,33.33,54.17,12.5,24
72,97.67,52.33,51.16,52.33,75.58,58.14,86
73,97.96,63.27,53.06,63.27,85.71,59.18,49
74,97.57,41.75,44.17,51.94,62.62,24.76,206
75,88.24,45.1,56.86,54.9,68.63,37.25,51
76,94.44,11.11,16.67,27.78,61.11,16.67,18
77,89.86,35.51,39.13,42.03,60.14,27.54,138
78,96.95,26.4,18.78,29.44,71.57,14.21,197
79,90.29,41.75,29.13,43.69,67.96,24.27,103
80,100.0,33.33,0.0,0.0,33.33,33.33,3
81,88.89,47.22,30.56,36.11,63.89,19.44,36
