category,images,Original_model_42_ideal,fognight_model_42_ideal,fogsnow_model_42_ideal,fograin_model_42_ideal,rainnight_model_42_ideal,snownight_model_42_ideal
Dangerous warning,2228,93.76260771992817,47.082464093357274,29.534398563734293,42.414039497307,63.195359066427294,26.93024236983842
Regularoty,7545,94.69829158383035,41.49805831676607,33.12224387011266,43.26001590457257,62.040813783962875,23.976223989396946
