class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,97.56,90.24,78.86,78.05,60.98,50.41,31.71,12.2,9.76,0.0,0.0,123
1,95.45,93.18,88.64,75.0,59.09,63.64,43.18,25.0,2.27,2.27,0.0,44
2,94.44,66.67,70.37,55.56,33.33,27.78,22.22,3.7,0.0,0.0,0.0,54
3,66.67,71.43,66.67,57.14,23.81,19.05,4.76,0.0,0.0,0.0,0.0,21
4,88.89,77.78,88.89,33.33,77.78,66.67,11.11,22.22,0.0,0.0,0.0,9
5,85.71,71.43,71.43,57.14,42.86,14.29,14.29,28.57,0.0,0.0,0.0,7
6,85.0,83.33,63.33,53.33,53.33,35.0,21.67,6.67,1.67,0.0,1.67,60
7,77.5,42.5,32.5,27.5,15.0,7.5,2.5,0.0,0.0,0.0,0.0,40
8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,100.0,100.0,66.67,66.67,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
10,84.62,76.92,84.62,76.92,69.23,61.54,61.54,15.38,0.0,0.0,0.0,13
11,95.56,80.0,73.33,62.22,46.67,42.22,20.0,8.89,13.33,4.44,2.22,45
12,96.94,87.76,76.53,75.51,59.18,47.96,30.61,18.37,5.1,0.0,0.0,98
13,75.0,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,96.84,86.08,76.58,65.19,51.9,28.48,24.05,12.66,3.8,1.27,0.0,158
16,92.31,87.55,84.62,78.39,62.27,53.48,42.12,32.23,20.15,12.09,6.96,273
17,86.54,86.54,59.62,59.62,46.15,19.23,17.31,11.54,3.85,0.0,0.0,52
18,80.0,80.0,60.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,5
19,97.17,72.64,66.04,51.89,33.96,28.3,12.26,5.66,0.0,0.0,0.0,106
20,98.7,92.21,87.01,86.15,79.65,62.77,48.48,31.6,18.18,5.63,1.73,231
21,92.47,82.8,75.27,69.89,58.06,32.26,24.73,22.58,22.58,4.3,2.15,93
22,81.54,81.54,81.54,83.08,76.92,73.85,52.31,27.69,4.62,1.54,0.0,65
23,97.54,94.46,89.85,83.69,74.77,63.08,53.85,31.08,14.77,3.38,1.54,325
24,75.0,45.0,40.0,30.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,20
25,100.0,66.67,71.43,66.67,52.38,23.81,23.81,4.76,0.0,0.0,0.0,21
26,95.45,86.36,86.36,77.27,54.55,40.91,31.82,18.18,4.55,0.0,4.55,22
27,17.65,5.88,17.65,23.53,29.41,29.41,17.65,0.0,11.76,5.88,0.0,17
28,99.22,85.94,78.52,64.84,53.91,48.44,32.42,26.95,16.8,7.81,4.69,256
29,89.47,63.16,56.14,35.09,26.32,28.07,8.77,1.75,0.0,0.0,0.0,57
30,98.84,97.68,96.29,94.9,89.56,85.61,75.64,55.92,40.84,23.9,12.76,431
31,93.89,91.67,87.78,85.0,79.44,67.22,47.22,22.22,7.78,6.11,1.11,180
32,99.16,91.01,88.76,82.02,76.12,67.7,56.46,39.04,25.28,7.58,2.81,356
33,83.33,83.33,83.33,77.78,66.67,50.0,33.33,22.22,5.56,0.0,0.0,18
34,100.0,100.0,95.24,90.48,66.67,47.62,14.29,9.52,0.0,0.0,0.0,21
35,97.14,77.14,57.14,31.43,22.86,20.0,0.0,5.71,0.0,0.0,0.0,35
36,99.35,92.86,91.56,88.96,75.97,66.23,46.75,38.31,21.43,4.55,0.65,154
37,94.96,92.09,84.17,70.5,58.99,48.92,28.78,15.11,3.6,2.16,1.44,139
38,66.67,44.44,55.56,55.56,55.56,11.11,0.0,0.0,0.0,0.0,0.0,9
39,90.91,81.82,66.67,60.61,45.45,30.3,27.27,6.06,0.0,0.0,3.03,33
40,93.62,78.72,76.6,65.96,46.81,40.43,17.02,4.26,0.0,0.0,0.0,47
41,97.94,94.85,95.88,87.63,86.6,65.98,55.67,26.8,6.19,0.0,1.03,97
42,94.87,91.03,87.18,76.92,71.79,62.82,44.87,23.08,6.41,1.28,0.0,78
43,88.89,72.22,79.63,64.81,48.15,42.59,24.07,14.81,3.7,0.0,0.0,54
44,100.0,71.43,85.71,57.14,71.43,28.57,28.57,0.0,0.0,0.0,0.0,7
45,99.25,93.58,87.92,83.4,72.45,54.72,37.74,21.13,4.53,0.75,0.0,265
46,98.04,85.88,78.82,67.84,55.69,45.49,36.08,18.43,5.1,0.78,0.0,255
47,85.19,62.96,59.26,51.85,29.63,14.81,14.81,0.0,0.0,0.0,0.0,27
48,92.9,89.51,81.48,75.62,69.14,54.94,35.8,25.31,14.2,2.78,0.0,324
49,94.64,87.5,78.57,71.43,58.93,48.21,19.64,12.5,1.79,1.79,0.0,56
50,97.1,81.64,78.99,71.74,64.01,49.76,41.06,28.02,13.29,5.8,3.86,414
51,98.35,73.25,71.19,64.61,50.21,42.39,35.8,16.87,7.41,0.41,0.0,243
52,98.97,83.26,80.58,70.25,62.6,51.03,33.88,25.83,7.44,1.65,1.03,484
53,94.12,66.81,52.94,46.64,36.55,15.55,11.76,8.82,2.52,0.42,0.0,238
54,56.25,25.0,18.75,25.0,18.75,0.0,12.5,0.0,0.0,0.0,0.0,16
55,97.84,79.65,71.86,63.64,45.45,22.51,16.45,2.16,3.9,0.43,0.0,231
56,75.0,58.33,33.33,20.83,20.83,8.33,20.83,0.0,0.0,0.0,0.0,24
57,96.43,77.55,69.9,59.18,42.86,32.14,11.73,2.04,0.51,0.0,0.0,196
58,91.67,25.0,25.0,8.33,16.67,0.0,8.33,0.0,0.0,0.0,0.0,12
59,100.0,96.3,88.89,92.59,66.67,48.15,22.22,3.7,7.41,0.0,0.0,27
60,98.41,61.9,58.73,46.03,36.51,22.22,14.29,3.17,0.0,0.0,0.0,63
61,100.0,83.93,83.93,69.64,60.71,32.14,19.64,5.36,1.79,3.57,0.0,56
62,90.91,78.79,69.7,63.64,51.52,24.24,12.12,6.06,6.06,0.0,0.0,33
63,97.78,88.44,80.89,73.78,68.89,56.89,41.78,22.22,9.33,1.33,0.44,225
64,72.73,45.45,18.18,18.18,9.09,18.18,0.0,0.0,0.0,0.0,0.0,11
65,66.67,44.44,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,9
66,86.15,75.38,70.77,69.23,62.31,53.85,40.0,26.92,15.38,6.92,3.08,130
67,98.89,88.33,81.11,80.56,67.78,46.67,31.67,18.33,6.11,1.11,0.0,180
68,86.11,86.11,77.78,69.44,66.67,50.0,25.0,5.56,2.78,0.0,0.0,36
69,72.73,72.73,72.73,72.73,63.64,45.45,36.36,9.09,0.0,0.0,0.0,11
70,100.0,96.55,98.28,93.1,84.48,56.9,37.93,13.79,1.72,0.0,0.0,58
71,100.0,91.67,87.5,83.33,70.83,29.17,16.67,0.0,0.0,0.0,0.0,24
72,97.67,93.02,91.86,86.05,69.77,68.6,41.86,16.28,5.81,0.0,0.0,86
73,97.96,95.92,91.84,87.76,75.51,59.18,26.53,10.2,4.08,0.0,0.0,49
74,98.06,92.72,90.29,87.86,81.07,75.73,61.65,45.63,22.82,17.96,7.28,206
75,90.2,76.47,82.35,78.43,66.67,60.78,50.98,15.69,5.88,0.0,0.0,51
76,88.89,44.44,55.56,44.44,33.33,22.22,5.56,16.67,0.0,0.0,0.0,18
77,94.2,75.36,76.09,65.94,58.7,43.48,36.23,11.59,5.07,1.45,2.9,138
