category,images,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42
Dangerous warning,2228,93.67207809694793,83.88817324955116,77.42500897666068,69.92821364452423,57.80944793536806,46.54505385996408,33.97582136445243,21.005022441651704,11.132248653500898,3.9493985637342908,2.0201974865350087
Regularoty,7545,95.61381974817759,84.22733863485752,79.35030881378397,72.07461497680583,62.95606891981444,50.748589794565945,37.29542345924453,22.914947647448642,12.022326043737573,5.658283631544069,2.663345261762756
