class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,88.62,68.29,81.3,75.61,61.79,123
1,90.91,70.45,50.0,52.27,70.45,40.91,44
2,79.63,53.7,50.0,46.3,62.96,40.74,54
3,66.67,38.1,28.57,42.86,52.38,4.76,21
4,77.78,22.22,22.22,11.11,66.67,22.22,9
5,57.14,14.29,14.29,28.57,42.86,42.86,7
6,90.0,78.33,40.0,65.0,75.0,45.0,60
7,75.0,32.5,42.5,47.5,45.0,12.5,40
8,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,33.33,0.0,0.0,33.33,33.33,3
10,76.92,61.54,38.46,53.85,76.92,38.46,13
11,88.89,35.56,26.67,46.67,55.56,24.44,45
12,92.86,64.29,57.14,64.29,70.41,44.9,98
13,75.0,50.0,25.0,50.0,50.0,25.0,4
14,0.0,0.0,0.0,0.0,33.33,33.33,3
15,92.41,77.85,62.03,69.62,77.22,63.29,158
16,91.58,80.22,72.89,82.78,81.68,64.47,273
17,80.77,69.23,50.0,69.23,59.62,32.69,52
18,60.0,20.0,40.0,40.0,20.0,40.0,5
19,90.57,56.6,54.72,61.32,80.19,49.06,106
20,96.1,81.39,79.65,84.42,80.09,62.34,231
21,92.47,58.06,64.52,81.72,67.74,35.48,93
22,81.54,76.92,76.92,76.92,72.31,66.15,65
23,96.92,87.08,77.54,84.62,85.54,61.54,325
24,80.0,55.0,35.0,60.0,40.0,35.0,20
25,66.67,33.33,33.33,42.86,66.67,33.33,21
26,95.45,81.82,54.55,72.73,68.18,36.36,22
27,5.88,5.88,5.88,17.65,0.0,0.0,17
28,98.44,70.7,67.58,76.95,83.59,46.48,256
29,63.16,29.82,19.3,17.54,35.09,14.04,57
30,97.68,93.04,95.59,95.59,94.43,81.44,431
31,91.67,76.11,75.56,73.89,85.0,66.67,180
32,96.91,62.92,83.43,85.67,73.03,44.94,356
33,83.33,72.22,66.67,77.78,83.33,55.56,18
34,100.0,100.0,85.71,85.71,95.24,66.67,21
35,97.14,42.86,54.29,51.43,74.29,20.0,35
36,99.35,81.82,87.01,92.21,87.66,74.03,154
37,95.68,64.03,64.03,82.73,69.06,36.69,139
38,66.67,44.44,22.22,22.22,66.67,22.22,9
39,90.91,60.61,57.58,69.7,66.67,45.45,33
40,89.36,55.32,57.45,57.45,74.47,42.55,47
41,93.81,87.63,83.51,84.54,84.54,79.38,97
42,93.59,71.79,73.08,80.77,83.33,69.23,78
43,94.44,83.33,74.07,88.89,83.33,53.7,54
44,85.71,71.43,71.43,71.43,57.14,42.86,7
45,99.25,86.79,86.79,90.19,91.7,69.06,265
46,97.25,76.47,82.75,88.63,81.57,59.61,255
47,70.37,44.44,51.85,55.56,37.04,22.22,27
48,92.59,80.56,69.14,80.56,77.78,49.38,324
49,92.86,75.0,57.14,71.43,87.5,55.36,56
50,94.44,79.23,66.91,73.67,77.78,55.31,414
51,96.71,64.2,62.55,64.2,72.02,45.27,243
52,96.49,75.0,71.69,78.1,77.89,58.06,484
53,92.02,45.38,43.28,50.0,54.2,31.09,238
54,43.75,25.0,18.75,6.25,18.75,18.75,16
55,92.21,65.8,59.31,63.2,67.97,48.48,231
56,83.33,8.33,25.0,45.83,33.33,12.5,24
57,90.31,67.86,45.41,55.1,73.47,51.53,196
58,66.67,25.0,33.33,50.0,25.0,8.33,12
59,100.0,51.85,48.15,59.26,70.37,33.33,27
60,85.71,60.32,57.14,61.9,61.9,61.9,63
61,91.07,71.43,50.0,76.79,78.57,58.93,56
62,87.88,63.64,48.48,57.58,75.76,60.61,33
63,96.44,45.33,85.33,86.67,62.67,47.11,225
64,72.73,0.0,9.09,18.18,63.64,36.36,11
65,77.78,0.0,0.0,22.22,44.44,44.44,9
66,86.15,25.38,56.92,63.08,46.92,27.69,130
67,100.0,77.78,83.89,90.56,82.22,66.11,180
68,88.89,63.89,47.22,75.0,86.11,50.0,36
69,72.73,36.36,45.45,63.64,72.73,45.45,11
70,98.28,74.14,87.93,87.93,86.21,67.24,58
71,100.0,66.67,70.83,83.33,79.17,54.17,24
72,98.84,63.95,73.26,72.09,79.07,61.63,86
73,95.92,73.47,91.84,83.67,85.71,57.14,49
74,96.6,56.8,76.21,78.64,73.79,57.28,206
75,88.24,76.47,74.51,78.43,82.35,72.55,51
76,72.22,11.11,38.89,27.78,66.67,44.44,18
77,87.68,43.48,63.04,62.32,57.25,55.8,138
78,96.95,54.31,73.1,81.73,74.11,52.79,197
79,93.2,67.96,72.82,77.67,83.5,54.37,103
80,100.0,33.33,0.0,66.67,66.67,33.33,3
81,80.56,44.44,44.44,69.44,72.22,55.56,36
82,100.0,14.29,14.29,14.29,14.29,14.29,7
83,96.15,64.1,53.85,69.23,71.79,46.15,78
84,0.0,0.0,0.0,0.0,25.0,0.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,9
86,92.13,52.81,79.21,77.53,74.16,57.3,178
87,90.51,25.95,55.7,62.66,54.43,36.71,158
88,75.0,32.14,32.14,39.29,53.57,28.57,28
89,25.0,37.5,25.0,37.5,25.0,12.5,8
90,97.73,70.39,86.89,94.5,79.45,56.47,618
91,91.53,55.93,47.46,59.32,61.02,42.37,59
92,91.67,25.0,16.67,16.67,33.33,0.0,12
93,22.41,1.72,1.72,3.45,6.9,1.72,58
94,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,14.29,0.0,0.0,0.0,7
97,76.19,58.73,74.6,71.43,66.67,41.27,63
98,0.0,0.0,0.0,0.0,0.0,0.0,3
99,84.21,73.68,73.68,73.68,78.95,47.37,19
