category,images,Original_model_42_noise,fognight_model_42_noise,fogsnow_model_42_noise,fograin_model_42_noise,rainnight_model_42_noise,snownight_model_42_noise
Dangerous warning,2228,90.21627468581687,70.87103231597845,62.70193447037702,71.49948384201079,74.28198384201077,50.85273788150807
Regularoty,7545,93.12052750165671,65.88501921802519,70.76211928429423,76.20996421471173,74.30110669317429,53.71702584493043
