class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,93.5,88.62,91.06,85.37,79.67,72.36,56.1,25.2,2.44,0.0,123
1,95.45,93.18,86.36,84.09,77.27,72.73,61.36,31.82,22.73,2.27,0.0,44
2,85.19,75.93,75.93,74.07,68.52,64.81,59.26,38.89,16.67,1.85,0.0,54
3,52.38,57.14,47.62,52.38,47.62,38.1,33.33,9.52,9.52,0.0,0.0,21
4,88.89,44.44,55.56,44.44,33.33,33.33,11.11,0.0,0.0,0.0,0.0,9
5,85.71,85.71,71.43,57.14,57.14,42.86,42.86,14.29,14.29,0.0,0.0,7
6,90.0,88.33,83.33,83.33,80.0,76.67,70.0,48.33,26.67,8.33,0.0,60
7,82.5,70.0,65.0,55.0,45.0,47.5,30.0,12.5,2.5,0.0,0.0,40
8,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,66.67,66.67,66.67,66.67,100.0,66.67,66.67,33.33,0.0,0.0,3
10,61.54,61.54,53.85,61.54,38.46,46.15,15.38,15.38,0.0,0.0,0.0,13
11,86.67,86.67,84.44,84.44,80.0,71.11,51.11,40.0,31.11,4.44,0.0,45
12,82.65,71.43,66.33,60.2,50.0,39.8,32.65,22.45,9.18,0.0,0.0,98
13,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,3
15,93.67,93.04,89.87,91.14,88.61,91.14,82.28,73.42,42.41,18.99,0.0,158
16,94.14,90.84,91.21,90.48,88.28,89.38,83.88,76.92,57.51,21.98,0.0,273
17,76.92,67.31,61.54,63.46,63.46,53.85,40.38,42.31,25.0,21.15,0.0,52
18,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
19,89.62,84.91,83.02,80.19,75.47,68.87,65.09,45.28,19.81,3.77,0.0,106
20,97.4,95.24,95.67,93.94,92.64,85.71,76.62,67.1,44.16,9.96,0.0,231
21,93.55,90.32,89.25,84.95,84.95,80.65,66.67,50.54,33.33,5.38,0.0,93
22,83.08,83.08,83.08,83.08,80.0,83.08,78.46,73.85,55.38,12.31,0.0,65
23,96.31,93.54,94.77,92.31,92.92,86.15,79.38,64.92,43.38,16.62,0.0,325
24,70.0,50.0,50.0,35.0,40.0,35.0,20.0,5.0,5.0,0.0,0.0,20
25,76.19,71.43,66.67,71.43,61.9,61.9,42.86,33.33,19.05,4.76,0.0,21
26,81.82,81.82,81.82,77.27,81.82,63.64,59.09,40.91,4.55,0.0,0.0,22
27,5.88,5.88,5.88,5.88,5.88,0.0,5.88,0.0,0.0,0.0,0.0,17
28,97.27,96.48,95.31,92.19,92.19,88.67,86.33,76.17,57.81,28.52,0.0,256
29,77.19,63.16,63.16,59.65,52.63,42.11,42.11,24.56,10.53,7.02,0.0,57
30,98.14,97.22,96.98,96.52,95.36,95.36,93.97,91.18,85.15,64.97,2.32,431
31,95.56,93.89,93.33,94.44,92.78,91.11,88.33,81.11,75.0,56.11,1.11,180
32,96.91,95.79,95.22,94.94,94.1,94.38,91.29,89.61,84.55,67.7,5.9,356
33,77.78,77.78,72.22,72.22,61.11,44.44,44.44,27.78,5.56,0.0,0.0,18
34,100.0,100.0,100.0,100.0,100.0,90.48,90.48,76.19,38.1,9.52,0.0,21
35,91.43,82.86,88.57,85.71,77.14,71.43,74.29,54.29,28.57,0.0,0.0,35
36,98.05,94.81,93.51,94.81,93.51,90.91,89.61,83.77,73.38,38.31,0.0,154
37,94.96,95.68,94.24,92.09,87.77,89.93,87.05,77.7,66.19,35.97,4.32,139
38,88.89,66.67,77.78,77.78,66.67,66.67,66.67,33.33,11.11,0.0,0.0,9
39,90.91,90.91,78.79,84.85,66.67,63.64,57.58,48.48,18.18,6.06,0.0,33
40,93.62,89.36,82.98,82.98,74.47,72.34,59.57,55.32,27.66,10.64,0.0,47
41,92.78,92.78,90.72,91.75,87.63,85.57,81.44,67.01,44.33,18.56,0.0,97
42,88.46,88.46,84.62,84.62,82.05,75.64,69.23,55.13,29.49,2.56,0.0,78
43,98.15,90.74,90.74,88.89,81.48,83.33,64.81,57.41,29.63,5.56,0.0,54
44,85.71,85.71,85.71,85.71,71.43,85.71,85.71,57.14,28.57,14.29,0.0,7
45,97.74,97.74,97.36,96.23,93.21,87.17,85.66,73.96,56.6,20.75,0.0,265
46,96.86,97.25,94.51,95.69,93.33,83.92,74.51,59.22,36.08,7.45,0.0,255
47,81.48,62.96,62.96,59.26,51.85,44.44,33.33,18.52,0.0,0.0,0.0,27
48,92.9,91.36,89.51,86.11,86.73,80.56,71.91,58.02,37.04,6.79,0.0,324
49,89.29,76.79,71.43,69.64,58.93,46.43,35.71,28.57,12.5,0.0,0.0,56
50,95.41,93.24,90.1,89.13,85.75,81.16,71.98,62.08,50.0,26.33,2.17,414
51,96.71,89.3,86.42,86.83,80.25,73.25,60.91,46.09,32.92,11.11,0.0,243
52,96.9,94.63,94.21,92.98,89.88,88.02,81.2,73.76,58.88,27.69,1.24,484
53,86.55,83.19,80.25,77.31,76.05,66.39,63.45,44.12,27.73,5.46,0.0,238
54,43.75,31.25,31.25,37.5,18.75,18.75,6.25,0.0,0.0,0.0,0.0,16
55,90.48,83.12,83.98,80.09,75.76,73.16,66.67,49.78,28.57,9.96,0.0,231
56,58.33,58.33,41.67,41.67,45.83,37.5,25.0,20.83,8.33,4.17,0.0,24
57,93.37,89.8,87.24,86.22,79.08,68.88,62.76,43.88,18.37,3.57,0.0,196
58,66.67,50.0,41.67,33.33,33.33,16.67,8.33,0.0,0.0,0.0,0.0,12
59,100.0,100.0,100.0,96.3,81.48,48.15,48.15,25.93,11.11,0.0,0.0,27
60,87.3,79.37,82.54,77.78,69.84,65.08,50.79,38.1,15.87,7.94,4.76,63
61,94.64,96.43,91.07,85.71,76.79,75.0,66.07,46.43,16.07,5.36,1.79,56
62,87.88,69.7,60.61,63.64,48.48,42.42,24.24,12.12,6.06,0.0,0.0,33
63,97.33,95.11,93.78,92.44,92.0,92.0,89.78,89.33,83.11,69.33,1.78,225
64,27.27,27.27,36.36,27.27,27.27,27.27,9.09,9.09,0.0,0.0,0.0,11
65,33.33,44.44,11.11,11.11,11.11,11.11,11.11,0.0,0.0,0.0,0.0,9
