epoch,validation_loss,validation_accuracy
1,1.494875431060791,0.6270631551742554
2,0.6743788123130798,0.8313887119293213
3,0.445473313331604,0.8905805349349976
4,0.3763408958911896,0.9169037938117981
5,0.34766334295272827,0.9198918342590332
6,0.33677560091018677,0.9287137389183044
7,0.3751338720321655,0.9351166486740112
8,0.43823206424713135,0.9346898198127747
9,0.421082466840744,0.9331246614456177
10,0.4036129117012024,0.9356858134269714
11,0.45420393347740173,0.9413773417472839
12,0.5506604909896851,0.9396699070930481
13,0.51149582862854,0.9331246614456177
14,0.5460388660430908,0.942088782787323
15,0.5580154657363892,0.9435116648674011
16,0.5880992412567139,0.9432271122932434
17,0.628350555896759,0.9446499943733215
18,0.65604168176651,0.9450768232345581
19,0.6736764311790466,0.9447922706604004
20,0.6929868459701538,0.9446499943733215
21,0.7111697793006897,0.944365382194519
22,0.7277607917785645,0.9445076584815979
23,0.743070125579834,0.9442231059074402
24,0.7568889260292053,0.9442231059074402
25,0.7707740664482117,0.9439385533332825
26,0.7824518084526062,0.9437962174415588
