epoch,model_52,model_49,model_42
1,1.8877675533294678,1.494875431060791,1.198470950126648
2,0.7871890068054199,0.6743788123130798,0.6459118723869324
3,0.5389730334281921,0.445473313331604,0.4368414580821991
4,0.4256627857685089,0.3763408958911896,0.4543106257915497
5,0.42360860109329224,0.34766334295272827,0.37963399291038513
6,0.427923321723938,0.33677560091018677,0.3590261936187744
7,0.39743149280548096,0.3751338720321655,0.3694162964820862
8,0.4166216254234314,0.43823206424713135,0.4593188464641571
9,0.4269223213195801,0.421082466840744,0.4187967777252197
10,0.6433151960372925,0.4036129117012024,0.41118544340133667
11,0.5101199150085449,0.45420393347740173,0.5841383337974548
12,0.48479515314102173,0.5506604909896851,0.5430519580841064
13,0.5331889986991882,0.51149582862854,0.6336020827293396
14,0.553363561630249,0.5460388660430908,0.5098681449890137
15,0.5600767731666565,0.5580154657363892,0.5979151129722595
16,0.5494621992111206,0.5880992412567139,0.5875985026359558
17,0.5440781116485596,0.628350555896759,0.6297981142997742
18,0.5913176536560059,0.65604168176651,0.6616327166557312
19,0.6132827997207642,0.6736764311790466,0.6863502860069275
20,0.6310882568359375,0.6929868459701538,0.7075591087341309
21,0.6471714973449707,0.7111697793006897,0.7269413471221924
22,0.6635053157806396,0.7277607917785645,0.7472323775291443
23,0.6771687865257263,0.743070125579834,0.7643367052078247
24,0.6902858018875122,0.7568889260292053,0.7795476317405701
25,0.7017024755477905,0.7707740664482117,0.7972182035446167
26,0.7145084142684937,0.7824518084526062,0.8132690787315369
27,0.7264008522033691, , 
