class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,94.31,95.12,95.12,95.12,95.93,94.31,95.93,94.31,95.93,95.93,95.12,123
1,88.64,88.64,86.36,81.82,86.36,86.36,88.64,90.91,86.36,88.64,86.36,44
2,85.19,81.48,83.33,81.48,85.19,88.89,83.33,81.48,77.78,87.04,79.63,54
3,61.9,61.9,61.9,61.9,61.9,66.67,66.67,47.62,66.67,57.14,61.9,21
4,66.67,66.67,44.44,66.67,55.56,55.56,33.33,66.67,55.56,44.44,66.67,9
5,71.43,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
6,88.33,85.0,85.0,85.0,85.0,85.0,88.33,88.33,85.0,90.0,81.67,60
7,70.0,70.0,65.0,72.5,70.0,75.0,77.5,60.0,60.0,65.0,60.0,40
8,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,76.92,76.92,84.62,69.23,76.92,69.23,84.62,69.23,61.54,13
11,91.11,93.33,95.56,93.33,91.11,93.33,93.33,93.33,93.33,91.11,88.89,45
12,95.92,94.9,92.86,94.9,93.88,93.88,92.86,90.82,90.82,92.86,88.78,98
13,75.0,50.0,50.0,75.0,75.0,75.0,50.0,50.0,50.0,50.0,75.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,90.51,87.97,88.61,89.24,87.34,91.14,87.97,87.34,89.87,86.71,90.51,158
16,92.67,91.94,92.31,92.67,93.04,93.04,93.04,91.58,93.04,91.58,93.04,273
17,84.62,84.62,86.54,82.69,80.77,84.62,82.69,80.77,80.77,84.62,86.54,52
18,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,60.0,5
19,88.68,88.68,87.74,91.51,86.79,89.62,91.51,91.51,86.79,88.68,87.74,106
20,95.67,95.67,95.24,94.81,96.1,96.1,95.67,95.67,94.81,93.94,93.94,231
21,94.62,95.7,92.47,93.55,92.47,92.47,94.62,95.7,93.55,91.4,92.47,93
22,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,65
23,96.0,96.62,96.31,95.69,96.0,95.69,95.38,95.08,96.0,95.38,95.69,325
24,60.0,65.0,60.0,60.0,65.0,60.0,65.0,60.0,55.0,55.0,65.0,20
25,76.19,85.71,90.48,90.48,80.95,71.43,85.71,80.95,76.19,80.95,85.71,21
26,90.91,95.45,90.91,86.36,81.82,90.91,86.36,86.36,86.36,86.36,90.91,22
27,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,17
28,96.48,96.09,95.7,96.09,95.7,95.7,94.53,94.14,95.31,95.31,94.14,256
29,82.46,82.46,84.21,78.95,85.96,78.95,73.68,73.68,75.44,71.93,78.95,57
30,97.45,97.45,97.45,98.38,97.22,97.22,97.45,97.68,97.91,97.68,97.45,431
31,92.22,91.67,92.78,91.67,92.78,92.22,91.67,93.33,93.33,91.67,92.78,180
32,96.91,96.63,96.91,96.35,96.35,95.79,96.63,95.79,95.79,95.79,95.22,356
33,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,97.14,97.14,97.14,97.14,94.29,97.14,94.29,97.14,94.29,94.29,35
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.35,100.0,99.35,154
37,96.4,95.68,96.4,95.68,96.4,94.96,94.96,97.12,96.4,95.68,95.68,139
38,66.67,66.67,66.67,66.67,66.67,66.67,77.78,77.78,77.78,77.78,66.67,9
39,81.82,78.79,78.79,78.79,78.79,81.82,81.82,78.79,81.82,78.79,72.73,33
40,95.74,93.62,95.74,97.87,95.74,95.74,95.74,97.87,93.62,93.62,91.49,47
41,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,97
42,98.72,97.44,96.15,98.72,97.44,97.44,97.44,98.72,98.72,96.15,93.59,78
43,94.44,94.44,92.59,94.44,90.74,94.44,92.59,94.44,94.44,92.59,96.3,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,99.25,99.62,99.25,98.87,99.62,99.62,98.49,98.87,99.25,98.11,98.87,265
46,98.04,98.43,97.65,98.82,97.25,97.65,97.25,97.65,97.25,95.29,96.47,255
47,85.19,81.48,81.48,81.48,85.19,77.78,81.48,81.48,74.07,77.78,77.78,27
48,93.21,93.21,92.9,93.52,93.83,93.52,92.9,91.67,91.98,92.28,91.98,324
49,94.64,94.64,94.64,94.64,94.64,94.64,94.64,94.64,92.86,94.64,94.64,56
50,94.69,94.69,94.44,93.0,93.72,92.27,92.51,91.06,91.79,90.82,90.34,414
51,95.88,93.83,93.42,93.83,92.18,94.24,93.83,93.83,93.42,90.95,89.71,243
52,96.28,95.25,96.49,96.28,95.87,95.66,94.83,95.66,94.63,94.83,95.66,484
53,89.92,87.82,88.24,86.55,86.13,86.13,86.97,84.03,83.61,82.77,85.71,238
54,56.25,56.25,56.25,56.25,56.25,56.25,50.0,50.0,56.25,50.0,43.75,16
55,93.51,93.07,92.21,92.64,92.21,90.04,91.77,89.18,88.74,89.61,89.61,231
56,70.83,66.67,62.5,66.67,66.67,66.67,54.17,58.33,66.67,62.5,54.17,24
57,92.86,92.86,89.8,91.84,89.8,89.29,87.24,89.29,90.82,88.78,86.73,196
58,100.0,91.67,100.0,91.67,83.33,91.67,83.33,83.33,83.33,83.33,83.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,95.24,92.06,88.89,92.06,88.89,90.48,90.48,85.71,84.13,85.71,87.3,63
61,96.43,96.43,96.43,94.64,98.21,98.21,96.43,96.43,91.07,98.21,96.43,56
62,72.73,75.76,75.76,75.76,72.73,75.76,69.7,72.73,69.7,72.73,75.76,33
63,95.56,95.11,95.56,95.11,95.11,93.78,95.56,95.56,94.22,94.67,94.67,225
64,54.55,54.55,54.55,45.45,27.27,54.55,45.45,54.55,54.55,54.55,36.36,11
65,77.78,77.78,88.89,77.78,77.78,88.89,55.56,100.0,66.67,66.67,77.78,9
66,89.23,84.62,86.92,86.92,85.38,83.85,86.92,83.85,83.85,86.15,82.31,130
67,99.44,98.89,98.89,99.44,99.44,99.44,99.44,99.44,100.0,98.89,98.89,180
68,88.89,88.89,88.89,88.89,88.89,88.89,91.67,91.67,88.89,91.67,91.67,36
69,63.64,54.55,54.55,54.55,63.64,72.73,63.64,63.64,63.64,72.73,63.64,11
70,100.0,100.0,100.0,100.0,100.0,100.0,98.28,100.0,100.0,98.28,96.55,58
71,100.0,100.0,100.0,100.0,95.83,100.0,95.83,100.0,100.0,95.83,100.0,24
72,91.86,90.7,91.86,90.7,91.86,91.86,90.7,93.02,91.86,90.7,91.86,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,95.92,95.92,93.88,93.88,49
74,97.09,97.09,96.12,96.12,96.6,96.6,97.09,95.63,95.15,95.15,97.57,206
75,96.08,96.08,92.16,96.08,94.12,96.08,96.08,94.12,94.12,96.08,96.08,51
76,88.89,94.44,94.44,88.89,94.44,88.89,94.44,94.44,88.89,94.44,94.44,18
77,89.13,87.68,89.13,90.58,89.13,90.58,89.13,90.58,89.13,89.13,89.86,138
78,97.97,97.97,97.97,97.97,97.97,97.46,96.95,96.45,97.46,97.46,96.95,197
79,96.12,94.17,97.09,96.12,96.12,95.15,94.17,95.15,97.09,96.12,94.17,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,86.11,88.89,36
82,85.71,85.71,85.71,85.71,71.43,71.43,71.43,71.43,85.71,71.43,85.71,7
83,97.44,97.44,97.44,97.44,97.44,97.44,97.44,97.44,96.15,96.15,94.87,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,44.44,44.44,44.44,55.56,44.44,33.33,55.56,33.33,33.33,33.33,22.22,9
86,92.7,94.94,94.38,95.51,94.38,95.51,94.38,95.51,95.51,94.38,94.94,178
87,84.18,86.08,82.91,82.28,81.01,79.11,81.01,75.32,81.01,75.95,73.42,158
88,82.14,82.14,78.57,78.57,85.71,82.14,82.14,82.14,78.57,82.14,85.71,28
89,62.5,62.5,50.0,75.0,37.5,50.0,62.5,50.0,50.0,50.0,62.5,8
90,97.9,98.22,98.38,98.38,98.22,98.87,98.22,97.57,98.38,98.06,98.22,618
91,93.22,94.92,93.22,91.53,93.22,93.22,94.92,91.53,91.53,94.92,88.14,59
92,41.67,41.67,41.67,41.67,41.67,33.33,33.33,41.67,50.0,41.67,25.0,12
93,70.69,70.69,70.69,72.41,65.52,65.52,70.69,67.24,63.79,65.52,62.07,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,33.33,0.0,0.0,0.0,33.33,0.0,33.33,0.0,33.33,0.0,0.0,3
96,28.57,28.57,0.0,42.86,42.86,28.57,28.57,42.86,42.86,28.57,28.57,7
97,74.6,74.6,74.6,73.02,74.6,74.6,76.19,76.19,76.19,76.19,74.6,63
98,66.67,66.67,66.67,66.67,33.33,66.67,66.67,66.67,66.67,66.67,66.67,3
99,89.47,89.47,84.21,84.21,84.21,84.21,84.21,89.47,78.95,89.47,84.21,19
100,100.0,100.0,100.0,100.0,83.33,83.33,83.33,66.67,83.33,66.67,66.67,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,84.0,92.0,88.0,25
