category,images,Original_model_42_ideal,fognight_model_42_ideal,fogsnow_model_42_ideal,fograin_model_42_ideal,rainnight_model_42_ideal,snownight_model_42_ideal
Dangerous warning,2228,93.71613554757629,39.49639138240574,32.27253141831239,40.97900807899462,64.3615170556553,27.379847396768398
Regularoty,7545,95.14927766732937,36.93916766070245,32.35207157057654,41.98877932405568,61.53840026507621,22.996181577203448
