class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,95.93,95.93,96.75,96.75,95.93,95.12,96.75,95.12,95.12,95.12,95.12,123
1,88.64,88.64,88.64,86.36,86.36,88.64,84.09,88.64,81.82,88.64,84.09,44
2,83.33,77.78,77.78,77.78,81.48,75.93,77.78,77.78,68.52,75.93,77.78,54
3,52.38,52.38,52.38,61.9,61.9,57.14,52.38,61.9,57.14,57.14,52.38,21
4,66.67,88.89,77.78,66.67,77.78,55.56,77.78,55.56,55.56,55.56,66.67,9
5,85.71,71.43,57.14,71.43,57.14,71.43,71.43,57.14,85.71,57.14,71.43,7
6,88.33,83.33,86.67,88.33,85.0,88.33,86.67,85.0,88.33,86.67,88.33,60
7,70.0,75.0,65.0,65.0,67.5,62.5,62.5,62.5,65.0,62.5,60.0,40
8,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,66.67,33.33,33.33,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,92.31,92.31,84.62,84.62,76.92,92.31,84.62,84.62,92.31,13
11,93.33,93.33,88.89,86.67,91.11,86.67,93.33,91.11,91.11,93.33,91.11,45
12,90.82,89.8,93.88,89.8,89.8,91.84,87.76,91.84,86.73,89.8,91.84,98
13,50.0,100.0,50.0,25.0,50.0,50.0,25.0,25.0,50.0,50.0,25.0,4
14,33.33,33.33,33.33,33.33,0.0,0.0,0.0,33.33,33.33,0.0,0.0,3
15,90.51,89.24,91.14,89.87,87.34,88.61,89.87,87.97,89.24,87.34,89.87,158
16,95.24,95.24,93.41,94.14,93.77,93.04,93.41,93.04,93.41,93.41,92.31,273
17,78.85,78.85,76.92,73.08,75.0,80.77,75.0,71.15,78.85,75.0,78.85,52
18,40.0,40.0,40.0,60.0,40.0,40.0,60.0,60.0,60.0,60.0,40.0,5
19,85.85,86.79,86.79,86.79,88.68,89.62,88.68,87.74,88.68,85.85,87.74,106
