class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
23,92.31,90.77,91.69,61.23,54.15,43.69,92.31,92.62,91.69,91.38,90.77,89.54,83.08,80.92,79.69,92.31,92.0,91.69,325
24,65.0,30.0,40.0,25.0,0.0,15.0,70.0,25.0,45.0,50.0,30.0,30.0,40.0,10.0,35.0,65.0,25.0,40.0,20
25,90.48,61.9,80.95,38.1,38.1,23.81,95.24,52.38,76.19,90.48,71.43,80.95,76.19,38.1,71.43,90.48,61.9,80.95,21
26,90.91,86.36,81.82,59.09,18.18,50.0,90.91,72.73,81.82,90.91,86.36,86.36,77.27,68.18,77.27,90.91,86.36,81.82,22
27,11.76,5.88,5.88,11.76,5.88,5.88,11.76,5.88,0.0,11.76,5.88,0.0,5.88,5.88,5.88,17.65,5.88,5.88,17
28,94.14,92.97,96.48,75.0,50.0,50.78,87.89,89.45,96.09,86.33,85.16,88.67,66.41,66.41,66.02,93.75,92.97,96.48,256
29,49.12,43.86,66.67,8.77,10.53,8.77,31.58,31.58,57.89,35.09,31.58,36.84,17.54,21.05,26.32,47.37,45.61,68.42,57
30,98.61,96.75,97.22,94.43,61.95,78.89,97.91,93.97,96.52,96.98,94.66,94.9,87.01,90.72,88.86,98.84,96.52,97.22,431
31,93.33,87.22,87.22,52.22,18.89,25.56,70.0,61.67,73.89,92.22,82.78,84.44,84.44,82.78,80.0,93.89,87.78,87.78,180
32,94.1,95.51,96.63,80.62,75.84,83.15,87.08,92.7,94.94,92.13,92.7,96.35,79.78,78.65,86.8,93.82,95.79,96.35,356
33,72.22,61.11,66.67,66.67,5.56,16.67,72.22,61.11,44.44,72.22,55.56,55.56,72.22,44.44,50.0,66.67,61.11,66.67,18
34,100.0,95.24,100.0,61.9,52.38,76.19,85.71,95.24,100.0,95.24,90.48,95.24,95.24,85.71,95.24,100.0,95.24,100.0,21
35,85.71,65.71,94.29,48.57,11.43,37.14,48.57,20.0,85.71,82.86,45.71,91.43,51.43,42.86,65.71,85.71,65.71,97.14,35
36,99.35,96.1,94.16,84.42,57.79,50.0,79.22,82.47,72.08,98.7,96.1,89.61,92.21,92.86,88.31,99.35,96.1,94.16,154
37,94.24,92.81,96.4,71.94,27.34,21.58,87.77,81.29,92.09,93.53,87.77,96.4,82.73,76.26,81.29,94.24,93.53,96.4,139
38,88.89,66.67,33.33,44.44,0.0,0.0,44.44,66.67,0.0,66.67,44.44,33.33,55.56,55.56,33.33,88.89,66.67,33.33,9
39,75.76,78.79,87.88,36.36,15.15,30.3,66.67,54.55,81.82,72.73,66.67,87.88,60.61,60.61,72.73,75.76,78.79,87.88,33
40,89.36,72.34,93.62,59.57,21.28,61.7,89.36,40.43,91.49,85.11,68.09,97.87,74.47,48.94,85.11,87.23,72.34,93.62,47
41,94.85,90.72,89.69,62.89,52.58,34.02,90.72,96.91,80.41,91.75,83.51,79.38,82.47,71.13,70.1,93.81,94.85,90.72,97
42,96.15,93.59,96.15,70.51,28.21,50.0,97.44,79.49,93.59,96.15,92.31,96.15,73.08,75.64,85.9,96.15,96.15,96.15,78
43,92.59,81.48,94.44,68.52,50.0,64.81,77.78,81.48,87.04,87.04,81.48,90.74,72.22,74.07,87.04,92.59,83.33,94.44,54
44,71.43,71.43,57.14,42.86,14.29,14.29,85.71,71.43,57.14,85.71,85.71,57.14,85.71,100.0,71.43,71.43,71.43,57.14,7
45,99.25,94.34,97.74,66.04,29.06,50.19,96.98,89.43,92.08,93.96,87.55,89.43,77.74,78.11,75.47,99.25,94.34,96.98,265
46,95.69,96.08,97.65,22.75,9.02,10.59,94.12,93.33,95.69,83.14,74.12,81.18,45.1,42.35,52.94,95.69,95.69,97.65,255
47,85.19,85.19,85.19,22.22,14.81,0.0,88.89,70.37,62.96,85.19,81.48,70.37,66.67,51.85,51.85,88.89,85.19,85.19,27
48,96.6,91.05,93.52,81.48,69.75,62.04,95.68,85.8,91.05,94.44,88.27,91.67,79.94,73.15,80.25,96.6,90.12,93.52,324
49,92.86,91.07,89.29,71.43,32.14,50.0,89.29,85.71,85.71,89.29,89.29,87.5,75.0,73.21,71.43,92.86,89.29,89.29,56
50,95.17,89.61,91.3,56.52,37.2,43.0,91.55,84.06,86.23,86.47,81.4,81.64,66.18,64.25,67.63,94.69,89.13,89.61,414
51,87.65,77.37,84.36,24.69,2.88,10.7,76.95,65.02,69.14,74.49,48.56,66.67,52.67,31.69,43.21,88.48,74.07,83.54,243
52,96.07,92.15,94.42,51.65,38.22,38.22,94.21,85.12,93.6,82.44,78.72,75.0,61.36,60.95,52.07,96.07,91.32,94.83,484
53,89.5,80.25,90.76,27.31,12.18,22.69,84.03,65.13,85.71,75.21,63.87,74.79,57.56,48.32,54.62,89.92,80.25,89.08,238
54,68.75,56.25,68.75,37.5,0.0,12.5,31.25,6.25,62.5,56.25,43.75,56.25,62.5,43.75,50.0,68.75,56.25,68.75,16
55,93.94,87.01,80.95,22.51,3.46,8.23,86.58,54.98,71.43,75.32,53.68,53.68,49.35,32.03,35.06,93.51,85.28,80.52,231
56,75.0,83.33,79.17,16.67,0.0,8.33,41.67,4.17,45.83,50.0,45.83,66.67,16.67,33.33,41.67,70.83,83.33,79.17,24
57,76.02,64.29,89.8,9.18,3.57,12.76,69.9,37.76,80.61,56.12,37.76,63.27,43.37,18.37,37.24,75.51,61.73,88.27,196
58,83.33,50.0,83.33,8.33,8.33,0.0,75.0,41.67,75.0,75.0,50.0,58.33,75.0,33.33,41.67,83.33,50.0,75.0,12
59,96.3,96.3,100.0,33.33,18.52,44.44,96.3,88.89,100.0,92.59,77.78,100.0,66.67,33.33,70.37,96.3,96.3,100.0,27
60,79.37,77.78,76.19,17.46,22.22,7.94,80.95,74.6,74.6,73.02,53.97,49.21,33.33,20.63,23.81,77.78,76.19,76.19,63
61,92.86,91.07,94.64,26.79,60.71,62.5,87.5,87.5,98.21,89.29,91.07,92.86,76.79,71.43,76.79,92.86,91.07,94.64,56
62,81.82,90.91,84.85,42.42,24.24,12.12,90.91,87.88,96.97,72.73,66.67,69.7,45.45,42.42,39.39,81.82,90.91,84.85,33
63,90.22,85.78,86.22,20.44,2.67,7.11,34.67,34.22,34.22,77.33,71.11,70.22,68.89,54.67,54.22,91.11,84.89,87.11,225
64,63.64,18.18,45.45,9.09,0.0,9.09,27.27,0.0,18.18,45.45,18.18,27.27,18.18,18.18,18.18,63.64,18.18,45.45,11
65,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,9
66,76.92,57.69,70.0,19.23,0.0,3.08,40.77,7.69,21.54,61.54,33.85,55.38,63.85,29.23,42.31,76.15,56.92,69.23,130
67,93.89,97.78,99.44,18.89,31.67,32.22,65.56,81.67,90.0,75.56,75.0,81.11,61.67,51.67,60.0,93.89,98.33,99.44,180
68,72.22,72.22,83.33,11.11,16.67,25.0,80.56,36.11,77.78,69.44,52.78,75.0,47.22,41.67,58.33,69.44,69.44,83.33,36
69,72.73,72.73,72.73,36.36,45.45,54.55,63.64,81.82,72.73,63.64,72.73,81.82,63.64,45.45,54.55,72.73,72.73,72.73,11
70,93.1,98.28,93.1,43.1,37.93,24.14,60.34,86.21,82.76,91.38,89.66,86.21,68.97,72.41,77.59,93.1,98.28,93.1,58
71,100.0,95.83,91.67,0.0,4.17,0.0,16.67,33.33,0.0,87.5,62.5,58.33,54.17,41.67,20.83,100.0,95.83,95.83,24
72,91.86,86.05,90.7,13.95,39.53,15.12,45.35,48.84,53.49,87.21,77.91,87.21,68.6,56.98,67.44,91.86,87.21,90.7,86
73,97.96,97.96,95.92,30.61,53.06,53.06,77.55,87.76,91.84,95.92,97.96,93.88,93.88,83.67,81.63,97.96,97.96,95.92,49
74,95.63,98.06,97.09,52.91,61.17,41.75,62.62,88.35,89.32,93.69,94.17,94.17,83.5,78.64,83.5,95.63,98.06,97.09,206
75,92.16,94.12,86.27,64.71,45.1,60.78,66.67,68.63,70.59,74.51,76.47,74.51,76.47,72.55,70.59,92.16,94.12,86.27,51
76,94.44,88.89,77.78,44.44,33.33,16.67,22.22,66.67,0.0,77.78,77.78,88.89,55.56,38.89,38.89,94.44,94.44,77.78,18
77,81.16,84.78,86.23,13.04,42.03,28.26,36.23,54.35,63.04,73.19,78.26,74.64,61.59,66.67,65.94,80.43,83.33,85.51,138
78,86.29,91.37,95.43,19.8,43.15,19.8,46.19,60.91,91.37,79.7,82.23,90.86,53.3,55.33,61.93,86.29,91.88,94.92,197
79,91.26,94.17,97.09,28.16,42.72,27.18,76.7,81.55,89.32,87.38,93.2,92.23,72.82,74.76,72.82,91.26,94.17,97.09,103
80,100.0,100.0,100.0,0.0,0.0,33.33,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,100.0,100.0,3
81,88.89,75.0,83.33,0.0,13.89,11.11,13.89,58.33,66.67,66.67,63.89,66.67,41.67,38.89,50.0,88.89,77.78,77.78,36
82,100.0,100.0,100.0,0.0,0.0,0.0,14.29,0.0,14.29,100.0,57.14,71.43,57.14,28.57,14.29,100.0,100.0,100.0,7
83,97.44,94.87,91.03,52.56,42.31,53.85,88.46,67.95,82.05,92.31,76.92,82.05,73.08,58.97,69.23,97.44,93.59,91.03,78
84,0.0,0.0,25.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,4
85,44.44,44.44,66.67,0.0,11.11,11.11,33.33,22.22,44.44,33.33,44.44,55.56,33.33,33.33,33.33,44.44,44.44,66.67,9
86,80.9,92.13,92.7,18.54,32.58,28.65,41.01,56.74,64.61,66.29,89.89,85.39,50.0,88.76,70.79,79.78,92.7,92.7,178
87,70.89,63.29,71.52,13.92,12.03,19.62,17.09,28.48,22.78,60.76,56.96,60.13,35.44,48.1,43.04,71.52,65.82,72.15,158
88,78.57,75.0,75.0,57.14,14.29,10.71,89.29,71.43,57.14,75.0,64.29,50.0,53.57,35.71,32.14,78.57,75.0,75.0,28
89,12.5,37.5,50.0,0.0,0.0,25.0,12.5,50.0,37.5,12.5,25.0,37.5,0.0,25.0,25.0,12.5,25.0,50.0,8
90,96.93,97.57,97.57,82.52,88.03,81.23,89.16,95.31,95.47,96.76,96.93,96.93,88.67,84.47,84.47,97.09,97.57,97.57,618
91,83.05,64.41,88.14,33.9,33.9,45.76,62.71,37.29,72.88,77.97,49.15,79.66,66.1,42.37,62.71,83.05,66.1,88.14,59
92,75.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,58.33,0.0,8.33,75.0,0.0,8.33,75.0,0.0,16.67,12
93,56.9,31.03,55.17,6.9,3.45,0.0,12.07,0.0,15.52,48.28,15.52,36.21,31.03,15.52,24.14,56.9,32.76,55.17,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,85.71,28.57,57.14,57.14,28.57,28.57,71.43,28.57,57.14,85.71,28.57,42.86,71.43,28.57,42.86,85.71,28.57,57.14,7
97,93.65,82.54,85.71,57.14,46.03,33.33,88.89,82.54,80.95,88.89,79.37,82.54,74.6,66.67,71.43,93.65,85.71,85.71,63
98,33.33,33.33,66.67,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,66.67,0.0,0.0,0.0,33.33,33.33,66.67,3
99,94.74,84.21,84.21,84.21,42.11,26.32,94.74,63.16,26.32,89.47,78.95,73.68,84.21,78.95,78.95,94.74,84.21,84.21,19
100,50.0,0.0,100.0,0.0,0.0,33.33,16.67,0.0,50.0,50.0,0.0,83.33,50.0,0.0,50.0,50.0,0.0,100.0,6
101,100.0,100.0,100.0,40.0,0.0,80.0,0.0,0.0,0.0,80.0,60.0,100.0,60.0,40.0,100.0,100.0,100.0,100.0,5
102,88.0,92.0,88.0,28.0,28.0,8.0,32.0,92.0,80.0,68.0,92.0,88.0,72.0,64.0,48.0,88.0,92.0,88.0,25
