category,images,Original_model_42_noiselevelfog,fog1_model_42_noiselevelfog,fog2_model_42_noiselevelfog,fog3_model_42_noiselevelfog,fog4_model_42_noiselevelfog,fog5_model_42_noiselevelfog,fog6_model_42_noiselevelfog,fog7_model_42_noiselevelfog,fog8_model_42_noiselevelfog,fog9_model_42_noiselevelfog,fog10_model_42_noiselevelfog
Dangerous warning,2228,90.80023339317775,88.23858617594256,86.8949012567325,85.23281867145423,82.27146768402154,77.2893985637343,70.64588868940753,57.99034111310593,35.50232495511669,12.567114003590662,0.22405745062836624
Regularoty,7545,93.6370364479788,91.59716766070244,90.41831146454602,89.02598409542743,86.03028230616304,82.61117428760768,75.99763552021204,66.79859244532804,50.64289330682571,26.018336646785954,4.904045062955601
