class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
82,75.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,37.5,37.5,25.0,62.5,75.0,25.0,8
83,93.83,93.83,92.59,16.05,33.33,28.4,81.48,79.01,86.42,80.25,88.89,92.59,88.89,87.65,90.12,92.59,93.83,93.83,81
84,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,40.0,0.0,0.0,0.0,20.0,0.0,20.0,5
85,20.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,30.0,0.0,10.0,20.0,0.0,0.0,0.0,10.0,10.0,10.0,10
86,68.13,33.52,65.93,3.85,1.1,9.34,2.75,4.4,23.63,56.59,21.98,58.24,60.99,23.08,55.49,67.58,32.42,64.84,182
87,46.71,43.11,36.53,2.4,2.4,2.4,4.79,0.6,2.99,40.12,28.14,28.14,42.51,33.53,29.34,45.51,43.71,37.13,167
88,72.41,65.52,72.41,6.9,10.34,3.45,13.79,34.48,44.83,62.07,41.38,37.93,51.72,44.83,44.83,72.41,62.07,72.41,29
89,44.44,33.33,33.33,22.22,0.0,0.0,55.56,44.44,55.56,22.22,11.11,22.22,33.33,22.22,22.22,44.44,33.33,33.33,9
90,97.75,95.34,97.43,41.8,53.54,46.95,88.91,84.73,87.78,95.34,95.5,95.34,93.41,93.25,92.44,97.43,95.18,97.43,622
91,85.25,75.41,88.52,19.67,26.23,36.07,67.21,24.59,78.69,83.61,59.02,81.97,81.97,72.13,83.61,83.61,75.41,86.89,61
92,13.33,33.33,6.67,0.0,0.0,13.33,0.0,0.0,0.0,13.33,20.0,6.67,13.33,26.67,6.67,13.33,33.33,6.67,15
93,40.98,86.89,91.8,11.48,11.48,29.51,8.2,19.67,59.02,27.87,75.41,88.52,39.34,73.77,86.89,40.98,86.89,91.8,61
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
95,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,5
96,55.56,33.33,77.78,33.33,11.11,33.33,55.56,0.0,66.67,44.44,33.33,77.78,55.56,33.33,88.89,55.56,33.33,77.78,9
97,82.81,87.5,87.5,26.56,39.06,23.44,87.5,82.81,78.12,87.5,84.38,79.69,81.25,82.81,76.56,84.38,89.06,87.5,64
98,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,66.67,66.67,33.33,66.67,66.67,100.0,100.0,100.0,3
99,100.0,100.0,95.65,8.7,17.39,8.7,65.22,13.04,60.87,95.65,91.3,91.3,95.65,86.96,91.3,100.0,100.0,95.65,23
100,22.22,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,11.11,0.0,0.0,22.22,0.0,11.11,22.22,0.0,0.0,9
101,50.0,75.0,50.0,0.0,25.0,0.0,0.0,0.0,25.0,50.0,62.5,50.0,50.0,37.5,50.0,50.0,75.0,50.0,8
102,96.3,88.89,96.3,11.11,7.41,7.41,22.22,40.74,70.37,81.48,66.67,88.89,88.89,70.37,88.89,96.3,88.89,96.3,27
103,94.12,88.24,82.35,11.76,11.76,11.76,52.94,41.18,76.47,76.47,76.47,88.24,70.59,76.47,76.47,94.12,88.24,88.24,17
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
105,52.63,78.95,68.42,5.26,21.05,10.53,63.16,57.89,63.16,47.37,78.95,57.89,47.37,57.89,52.63,47.37,78.95,68.42,19
106,33.33,50.0,16.67,0.0,0.0,0.0,33.33,33.33,16.67,33.33,33.33,33.33,33.33,0.0,16.67,33.33,50.0,16.67,6
107,87.5,100.0,87.5,0.0,0.0,37.5,87.5,87.5,87.5,87.5,100.0,75.0,87.5,75.0,75.0,87.5,100.0,87.5,8
108,0.0,0.0,50.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0,50.0,4
109,12.5,12.5,12.5,0.0,0.0,0.0,50.0,12.5,0.0,12.5,12.5,0.0,12.5,12.5,12.5,12.5,12.5,12.5,8
110,76.67,72.78,79.44,17.22,31.67,28.33,66.67,50.0,60.56,68.89,71.11,73.33,73.33,66.67,71.67,75.56,72.78,78.89,180
111,47.66,30.64,38.72,20.0,13.62,11.91,39.57,17.02,30.64,43.4,22.98,38.3,40.43,21.7,33.19,46.38,31.06,38.72,235
112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
113,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,5
114,53.66,36.59,43.9,4.88,4.88,12.2,24.39,29.27,39.02,53.66,34.15,43.9,51.22,34.15,34.15,53.66,36.59,43.9,41
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
116,87.5,43.75,78.12,18.75,21.88,9.38,43.75,59.38,46.88,68.75,53.12,53.12,78.12,43.75,65.62,87.5,43.75,75.0,32
117,16.13,29.03,9.68,3.23,16.13,12.9,12.9,19.35,9.68,19.35,25.81,12.9,9.68,22.58,19.35,16.13,29.03,9.68,31
118,48.96,63.54,57.29,26.04,23.96,29.17,43.75,61.46,55.21,44.79,58.33,57.29,40.62,47.92,47.92,51.04,66.67,57.29,96
119,80.88,95.59,86.76,41.18,60.29,55.88,80.88,95.59,89.71,79.41,95.59,91.18,80.88,91.18,79.41,82.35,95.59,86.76,68
120,10.53,10.53,0.0,15.79,15.79,0.0,10.53,10.53,0.0,10.53,0.0,0.0,10.53,0.0,0.0,15.79,5.26,0.0,19
121,16.67,16.67,20.83,20.83,8.33,0.0,20.83,20.83,16.67,20.83,20.83,12.5,16.67,20.83,4.17,20.83,16.67,20.83,24
122,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.67,0.0,0.0,66.67,0.0,0.0,100.0,3
123,10.0,30.0,10.0,10.0,0.0,0.0,10.0,30.0,10.0,10.0,50.0,20.0,10.0,40.0,0.0,10.0,40.0,10.0,10
124,14.58,35.42,29.17,6.25,2.08,4.17,16.67,31.25,33.33,12.5,20.83,27.08,16.67,22.92,22.92,14.58,33.33,27.08,48
125,5.77,5.77,0.0,0.0,3.85,3.85,1.92,11.54,0.0,5.77,7.69,0.0,3.85,11.54,0.0,5.77,7.69,0.0,52
126,48.39,45.16,67.74,22.58,6.45,35.48,54.84,35.48,70.97,51.61,48.39,74.19,38.71,45.16,67.74,48.39,45.16,67.74,31
127,26.92,38.46,42.31,11.54,38.46,23.08,34.62,38.46,42.31,30.77,42.31,34.62,26.92,42.31,46.15,26.92,38.46,42.31,26
128,27.27,36.36,18.18,3.03,6.06,6.06,3.03,3.03,3.03,21.21,39.39,18.18,15.15,33.33,18.18,27.27,36.36,18.18,33
129,27.78,16.67,27.78,0.0,0.0,5.56,5.56,11.11,11.11,27.78,11.11,16.67,27.78,16.67,16.67,27.78,16.67,27.78,18
