category,images,Original_model_52_one,Original_model_49_one,Original_model_42_one,fog_model_52_one,fog_model_49_one,fog_model_42_one,night_model_52_one,night_model_49_one,night_model_42_one,rain_model_52_one,rain_model_49_one,rain_model_42_one,snow_model_52_one,snow_model_49_one,snow_model_42_one,day_model_52_one,day_model_49_one,day_model_42_one
Dangerous warning,2305,86.55134056399133,83.81719739696311,86.72381778741864,24.38072451193058,32.88537527114968,34.61960086767896,76.6151409978308,75.92112798264642,80.30426030368763,79.6541518438178,78.00515835140997,79.91238177874186,80.4784989154013,76.39817787418657,79.2206377440347,86.24872451193059,83.68703253796096,86.85417787418653
Regularoty,7717,88.00116107295582,85.79801736426073,88.40276791499286,24.233514319035894,30.29675391991707,29.493947129713614,69.92411429311906,63.134036542697935,73.81035117273554,78.5412323441752,76.28609822469872,80.40730983542828,78.93002850848777,76.67579499805625,79.33122327329275,87.53433588181937,85.44823765712063,88.36354541920434
Informative,1010,47.52547524752476,45.743702970297015,48.01762376237623,16.237396039603958,19.110158415841582,18.414970297029704,40.49457425742574,36.33646534653465,40.69483168316832,44.05818811881188,42.87096039603961,45.543930693069306,43.069495049504944,39.30775247524752,42.07957425742574,47.42535643564357,46.13832673267327,47.72142574257426
