class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,96.75,98.37,97.56,96.75,96.75,95.12,94.31,97.56,95.12,95.93,95.12,123
1,86.36,86.36,84.09,84.09,88.64,79.55,84.09,81.82,84.09,86.36,86.36,44
2,83.33,83.33,75.93,79.63,79.63,74.07,81.48,77.78,75.93,81.48,79.63,54
3,76.19,71.43,71.43,66.67,61.9,61.9,61.9,57.14,61.9,57.14,66.67,21
4,88.89,88.89,77.78,88.89,88.89,88.89,88.89,66.67,88.89,77.78,88.89,9
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,100.0,100.0,85.71,7
6,90.0,91.67,91.67,90.0,90.0,91.67,90.0,91.67,90.0,85.0,91.67,60
7,92.5,85.0,77.5,80.0,70.0,77.5,77.5,70.0,57.5,72.5,65.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,3
9,100.0,66.67,100.0,100.0,100.0,66.67,66.67,100.0,100.0,66.67,66.67,3
10,84.62,76.92,84.62,76.92,69.23,69.23,69.23,76.92,69.23,76.92,76.92,13
11,97.78,95.56,97.78,97.78,95.56,93.33,93.33,95.56,95.56,93.33,95.56,45
12,93.88,93.88,94.9,95.92,93.88,92.86,93.88,92.86,91.84,89.8,90.82,98
13,75.0,50.0,50.0,75.0,75.0,75.0,75.0,50.0,50.0,50.0,75.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,88.61,88.61,89.87,89.87,89.87,89.87,89.87,89.24,90.51,89.87,89.24,158
16,94.87,94.51,93.04,93.77,93.41,93.77,93.04,92.67,92.67,91.58,93.41,273
17,88.46,88.46,88.46,84.62,86.54,86.54,88.46,86.54,88.46,86.54,86.54,52
18,60.0,60.0,40.0,60.0,60.0,60.0,40.0,60.0,60.0,40.0,60.0,5
19,95.28,96.23,95.28,95.28,96.23,94.34,94.34,96.23,95.28,93.4,93.4,106
20,98.7,97.4,98.27,97.84,97.84,95.67,96.1,97.4,96.1,96.54,96.1,231
21,93.55,94.62,93.55,94.62,93.55,92.47,92.47,92.47,93.55,92.47,91.4,93
22,83.08,83.08,81.54,83.08,83.08,81.54,81.54,83.08,83.08,83.08,83.08,65
23,97.54,97.23,97.85,97.54,97.23,97.54,97.23,98.15,97.85,96.62,97.23,325
24,70.0,65.0,65.0,60.0,45.0,55.0,60.0,45.0,60.0,65.0,55.0,20
25,95.24,95.24,95.24,90.48,85.71,95.24,90.48,85.71,95.24,100.0,95.24,21
26,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,95.45,90.91,90.91,22
27,11.76,11.76,5.88,11.76,11.76,11.76,11.76,11.76,11.76,11.76,11.76,17
28,98.05,98.05,97.27,97.27,96.48,94.92,95.31,95.31,96.88,94.92,94.14,256
29,82.46,80.7,77.19,80.7,82.46,73.68,68.42,77.19,75.44,71.93,73.68,57
30,98.61,98.38,98.14,98.14,98.14,97.45,97.91,96.98,98.14,98.38,97.45,431
31,94.44,94.44,94.44,94.44,95.56,94.44,94.44,94.44,92.22,94.44,92.78,180
32,98.6,98.03,97.47,96.91,97.75,98.03,95.79,94.66,94.94,95.51,93.82,356
33,77.78,72.22,77.78,77.78,77.78,77.78,77.78,72.22,77.78,77.78,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.43,97.14,94.29,35
36,98.7,97.4,98.7,96.75,96.75,97.4,97.4,94.81,95.45,96.75,95.45,154
37,94.24,94.96,95.68,94.96,95.68,94.96,93.53,94.96,94.24,95.68,93.53,139
38,100.0,100.0,100.0,100.0,100.0,88.89,100.0,88.89,88.89,88.89,88.89,9
