class,filters,error
66,rain3,83.85
51,rain3,96.71
97,rain3,85.71
46,rain3,96.47
49,rain3,87.5
86,rain3,94.38
12,rain3,95.92
37,rain3,94.96
60,rain3,93.65
41,rain3,96.91
31,rain3,94.44
28,rain3,97.27
90,rain3,98.71
63,rain3,95.11
77,rain3,86.23
78,rain3,97.97
99,rain3,84.21
87,rain3,93.67
50,rain3,91.79
48,rain3,94.75
88,rain3,89.29
45,rain3,98.87
72,rain3,95.35
22,rain3,83.08
52,rain3,97.73
30,rain3,98.14
19,rain3,95.28
36,rain3,96.75
23,rain3,97.54
20,rain3,97.84
16,rain3,93.77
32,rain3,96.91
11,rain3,97.78
102,rain3,96.0
67,rain3,100.0
42,rain3,97.44
61,rain3,98.21
75,rain3,92.16
24,rain3,60.0
53,rain3,85.71
55,rain3,96.54
1,rain3,84.09
21,rain3,94.62
74,rain3,97.09
57,rain3,93.88
17,rain3,84.62
56,rain3,75.0
33,rain3,77.78
26,rain3,90.91
6,rain3,90.0
39,rain3,93.94
15,rain3,89.87
95,rain3,0.0
83,rain3,89.74
34,rain3,100.0
0,rain3,96.75
81,rain3,88.89
64,rain3,63.64
94,rain3,0.0
76,rain3,94.44
79,rain3,93.2
10,rain3,76.92
18,rain3,60.0
91,rain3,91.53
44,rain3,71.43
2,rain3,79.63
59,rain3,100.0
70,rain3,100.0
47,rain3,77.78
40,rain3,93.62
73,rain3,95.92
25,rain3,90.48
68,rain3,91.67
9,rain3,100.0
7,rain3,80.0
43,rain3,94.44
27,rain3,11.76
92,rain3,8.33
93,rain3,65.52
38,rain3,100.0
35,rain3,100.0
100,rain3,66.67
3,rain3,66.67
96,rain3,57.14
5,rain3,100.0
29,rain3,80.7
54,rain3,50.0
82,rain3,100.0
71,rain3,95.83
62,rain3,90.91
13,rain3,75.0
4,rain3,88.89
58,rain3,83.33
89,rain3,62.5
69,rain3,72.73
98,rain3,100.0
80,rain3,100.0
84,rain3,0.0
65,rain3,77.78
14,rain3,33.33
8,rain3,33.33
101,rain3,100.0
85,rain3,22.22
