category,images,Original_model_42_noise,fognight_model_42_noise,fogsnow_model_42_noise,fograin_model_42_noise,rainnight_model_42_noise,snownight_model_42_noise
Dangerous warning,2228,90.70885996409335,68.9395870736086,61.22127468581689,70.51266606822264,73.96753590664274,57.63128815080789
Regularoty,7545,93.17392842942347,64.06890788601723,67.42162094102055,74.14276209410205,73.06897415506958,55.24190192180253
