class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,83.74,65.85,77.24,88.62,75.61,123
1,93.18,68.18,61.36,61.36,88.64,54.55,44
2,90.74,55.56,35.19,57.41,70.37,53.7,54
3,61.9,33.33,33.33,47.62,42.86,19.05,21
4,88.89,55.56,22.22,55.56,66.67,33.33,9
5,85.71,42.86,28.57,57.14,57.14,42.86,7
6,83.33,63.33,43.33,56.67,61.67,36.67,60
7,75.0,20.0,7.5,20.0,35.0,15.0,40
8,33.33,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,0.0,33.33,0.0,33.33,3
10,76.92,38.46,46.15,30.77,61.54,46.15,13
11,91.11,44.44,51.11,53.33,51.11,35.56,45
12,91.84,58.16,52.04,59.18,75.51,64.29,98
13,50.0,0.0,25.0,0.0,50.0,25.0,4
14,0.0,0.0,0.0,0.0,33.33,0.0,3
15,87.34,71.52,62.03,70.25,69.62,52.53,158
16,93.77,82.42,71.43,84.25,83.52,72.53,273
17,71.15,38.46,46.15,42.31,55.77,32.69,52
18,40.0,0.0,20.0,40.0,20.0,20.0,5
19,92.45,67.92,57.55,71.7,80.19,60.38,106
20,97.84,85.71,75.76,83.12,82.25,65.8,231
21,90.32,60.22,62.37,74.19,61.29,41.94,93
22,83.08,80.0,67.69,80.0,75.38,66.15,65
23,96.31,82.46,77.23,80.62,82.46,68.0,325
24,80.0,25.0,25.0,30.0,55.0,25.0,20
25,95.24,47.62,42.86,47.62,52.38,33.33,21
26,90.91,72.73,40.91,68.18,63.64,63.64,22
27,5.88,0.0,0.0,0.0,5.88,0.0,17
28,96.48,65.23,63.28,74.22,77.34,59.77,256
29,82.46,45.61,42.11,57.89,56.14,28.07,57
30,96.98,88.4,88.86,91.42,89.1,80.05,431
31,91.11,72.78,72.78,84.44,75.56,56.67,180
32,97.47,70.22,79.21,87.92,74.16,58.15,356
33,83.33,83.33,55.56,66.67,83.33,61.11,18
34,95.24,71.43,71.43,85.71,76.19,61.9,21
35,91.43,20.0,42.86,45.71,45.71,28.57,35
36,98.7,66.23,83.77,86.36,83.77,65.58,154
37,95.68,52.52,40.29,59.71,72.66,44.6,139
38,88.89,77.78,77.78,66.67,77.78,55.56,9
39,84.85,63.64,57.58,54.55,48.48,36.36,33
40,91.49,65.96,51.06,48.94,72.34,57.45,47
41,93.81,89.69,82.47,81.44,86.6,79.38,97
42,85.9,62.82,64.1,65.38,79.49,66.67,78
43,94.44,61.11,61.11,75.93,85.19,44.44,54
44,85.71,42.86,14.29,42.86,71.43,57.14,7
45,99.25,88.3,81.13,89.43,89.43,72.45,265
46,97.65,80.0,79.22,83.92,80.78,67.45,255
47,74.07,59.26,25.93,48.15,40.74,22.22,27
48,92.9,75.0,65.12,73.77,73.15,49.07,324
49,94.64,73.21,53.57,67.86,73.21,37.5,56
50,95.41,74.15,65.46,71.26,75.85,60.63,414
51,92.59,58.44,56.79,58.02,67.9,44.03,243
52,95.04,76.45,70.45,73.97,79.75,61.16,484
53,86.13,43.7,34.03,48.74,49.16,30.25,238
54,31.25,12.5,6.25,12.5,6.25,18.75,16
55,92.21,55.84,44.59,56.71,64.07,46.32,231
56,70.83,8.33,12.5,20.83,25.0,8.33,24
57,90.31,68.88,54.08,64.8,77.55,55.1,196
58,83.33,41.67,41.67,41.67,66.67,41.67,12
59,100.0,40.74,29.63,33.33,48.15,44.44,27
60,93.65,47.62,52.38,58.73,71.43,53.97,63
61,92.86,69.64,55.36,58.93,75.0,55.36,56
62,81.82,66.67,42.42,60.61,78.79,48.48,33
63,98.22,30.22,80.44,88.0,46.22,26.22,225
64,54.55,0.0,18.18,18.18,36.36,0.0,11
65,88.89,0.0,11.11,22.22,33.33,22.22,9
66,85.38,33.85,66.15,66.92,51.54,40.0,130
67,98.89,71.67,87.22,91.67,86.67,73.33,180
68,97.22,72.22,52.78,69.44,86.11,61.11,36
69,72.73,36.36,54.55,72.73,45.45,36.36,11
70,100.0,75.86,82.76,91.38,82.76,65.52,58
71,100.0,70.83,66.67,87.5,70.83,50.0,24
72,95.35,63.95,75.58,81.4,83.72,55.81,86
73,93.88,81.63,89.8,93.88,89.8,55.1,49
74,95.63,63.11,74.76,85.92,81.55,62.62,206
75,88.24,52.94,72.55,74.51,80.39,66.67,51
76,94.44,33.33,33.33,50.0,44.44,50.0,18
77,86.96,55.8,70.29,74.64,68.12,58.7,138
78,97.97,58.88,75.13,81.22,79.7,73.1,197
79,92.23,77.67,66.99,72.82,81.55,64.08,103
80,100.0,66.67,33.33,100.0,66.67,0.0,3
81,86.11,69.44,69.44,80.56,80.56,61.11,36
82,100.0,0.0,28.57,28.57,42.86,14.29,7
83,94.87,60.26,67.95,78.21,69.23,34.62,78
84,0.0,0.0,0.0,25.0,0.0,0.0,4
85,33.33,0.0,0.0,11.11,11.11,0.0,9
86,95.51,38.2,69.66,75.28,63.48,40.45,178
87,84.81,12.03,27.22,34.18,45.57,34.81,158
88,85.71,50.0,35.71,50.0,50.0,46.43,28
89,37.5,0.0,12.5,25.0,25.0,0.0,8
90,97.25,74.92,88.19,92.56,84.63,62.62,618
91,93.22,42.37,49.15,64.41,74.58,54.24,59
92,33.33,0.0,16.67,8.33,8.33,0.0,12
