class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,64.23,38.21,58.54,78.86,28.46,123
1,93.18,43.18,13.64,31.82,47.73,15.91,44
2,90.74,40.74,11.11,35.19,57.41,20.37,54
3,76.19,19.05,14.29,23.81,28.57,0.0,21
4,88.89,11.11,22.22,11.11,66.67,11.11,9
5,85.71,28.57,14.29,0.0,71.43,0.0,7
6,95.0,38.33,16.67,33.33,63.33,13.33,60
7,85.0,7.5,2.5,7.5,32.5,5.0,40
8,33.33,0.0,0.0,33.33,0.0,0.0,3
9,66.67,0.0,0.0,0.0,0.0,0.0,3
10,92.31,30.77,53.85,53.85,69.23,53.85,13
11,97.78,15.56,8.89,26.67,48.89,22.22,45
12,95.92,40.82,31.63,39.8,66.33,23.47,98
13,50.0,0.0,25.0,0.0,25.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,3
15,96.84,37.34,32.91,44.3,65.19,26.58,158
16,93.77,47.62,38.46,48.72,69.23,30.04,273
17,84.62,25.0,17.31,32.69,53.85,23.08,52
18,100.0,0.0,0.0,20.0,20.0,0.0,5
19,97.17,23.58,11.32,19.81,57.55,15.09,106
20,98.27,65.37,52.81,67.53,72.29,34.2,231
21,92.47,35.48,25.81,33.33,56.99,22.58,93
22,81.54,64.62,43.08,56.92,66.15,23.08,65
23,97.23,70.77,55.69,66.15,83.38,47.08,325
24,65.0,20.0,5.0,15.0,25.0,10.0,20
25,95.24,28.57,28.57,23.81,47.62,14.29,21
26,90.91,50.0,27.27,27.27,68.18,22.73,22
27,11.76,0.0,0.0,0.0,11.76,0.0,17
28,98.83,35.94,25.39,40.62,53.52,14.45,256
29,91.23,22.81,15.79,14.04,35.09,0.0,57
30,98.38,78.65,67.75,74.71,82.37,50.58,431
31,93.33,71.11,51.11,68.33,69.44,32.78,180
32,97.75,44.38,37.92,52.81,63.2,18.54,356
33,83.33,72.22,33.33,66.67,61.11,22.22,18
34,100.0,52.38,33.33,47.62,61.9,14.29,21
35,97.14,11.43,2.86,17.14,54.29,0.0,35
36,99.35,63.64,46.1,73.38,77.92,25.97,154
37,94.24,24.46,5.76,13.67,53.96,9.35,139
38,66.67,11.11,11.11,11.11,44.44,0.0,9
39,84.85,33.33,33.33,36.36,57.58,24.24,33
40,89.36,34.04,14.89,34.04,53.19,21.28,47
41,97.94,56.7,46.39,57.73,82.47,28.87,97
42,93.59,57.69,46.15,51.28,79.49,34.62,78
43,94.44,33.33,22.22,50.0,51.85,20.37,54
44,71.43,28.57,28.57,42.86,71.43,14.29,7
45,99.62,55.47,34.34,51.7,67.92,30.94,265
46,98.04,32.55,21.57,34.51,58.43,19.22,255
47,85.19,14.81,3.7,3.7,44.44,3.7,27
48,96.6,53.7,41.67,50.62,70.99,31.79,324
49,92.86,35.71,25.0,41.07,60.71,14.29,56
50,95.89,45.65,33.09,45.41,68.6,30.68,414
51,99.59,38.27,23.46,37.45,60.08,15.23,243
52,97.73,44.63,30.17,39.88,67.15,22.93,484
53,92.02,15.55,7.14,13.03,42.44,13.03,238
54,56.25,25.0,6.25,6.25,12.5,12.5,16
55,98.7,22.51,8.66,19.48,49.78,8.23,231
56,87.5,4.17,0.0,8.33,25.0,0.0,24
57,96.94,36.73,16.33,31.63,63.78,21.43,196
58,75.0,8.33,8.33,8.33,25.0,8.33,12
59,100.0,25.93,3.7,25.93,37.04,0.0,27
60,95.24,34.92,19.05,28.57,58.73,15.87,63
61,98.21,25.0,14.29,19.64,67.86,21.43,56
62,87.88,24.24,9.09,24.24,45.45,3.03,33
63,95.11,22.67,48.44,57.78,41.33,12.89,225
64,54.55,9.09,18.18,9.09,36.36,9.09,11
65,77.78,0.0,11.11,11.11,0.0,0.0,9
66,88.46,13.85,21.54,33.08,30.0,9.23,130
67,99.44,34.44,22.78,37.78,53.33,15.56,180
68,88.89,47.22,30.56,50.0,63.89,44.44,36
69,100.0,36.36,45.45,72.73,81.82,36.36,11
70,100.0,48.28,20.69,53.45,81.03,18.97,58
71,95.83,16.67,16.67,12.5,70.83,12.5,24
72,98.84,41.86,40.7,54.65,75.58,33.72,86
73,97.96,34.69,53.06,71.43,77.55,36.73,49
74,97.09,36.41,30.58,47.57,53.4,24.27,206
75,92.16,43.14,39.22,54.9,64.71,33.33,51
76,94.44,27.78,22.22,27.78,44.44,11.11,18
77,91.3,29.71,36.96,46.38,54.35,20.29,138
78,97.46,36.04,27.41,38.07,58.88,19.8,197
79,90.29,38.83,31.07,45.63,68.93,29.13,103
80,100.0,33.33,33.33,33.33,66.67,66.67,3
81,88.89,22.22,16.67,38.89,72.22,30.56,36
82,100.0,14.29,14.29,28.57,57.14,0.0,7
83,93.59,20.51,19.23,35.9,41.03,3.85,78
84,0.0,0.0,0.0,0.0,0.0,0.0,4
85,44.44,0.0,0.0,0.0,11.11,11.11,9
86,93.26,25.28,30.9,44.94,58.99,23.03,178
87,64.56,16.46,13.92,27.22,25.32,12.03,158
88,82.14,32.14,21.43,28.57,35.71,10.71,28
89,62.5,37.5,0.0,37.5,37.5,0.0,8
90,98.38,39.81,54.21,61.0,67.64,33.98,618
91,88.14,44.07,32.2,44.07,52.54,27.12,59
92,33.33,0.0,0.0,8.33,16.67,0.0,12
93,79.31,1.72,1.72,5.17,10.34,3.45,58
94,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,14.29,14.29,0.0,0.0,7
97,85.71,47.62,34.92,42.86,58.73,31.75,63
98,100.0,0.0,0.0,0.0,33.33,0.0,3
99,84.21,21.05,36.84,42.11,52.63,5.26,19
100,66.67,50.0,33.33,66.67,33.33,16.67,6
101,100.0,20.0,80.0,60.0,40.0,0.0,5
102,96.0,28.0,32.0,24.0,56.0,12.0,25
