category,images,Original_model_42_ideal,fognight_model_42_ideal,fogsnow_model_42_ideal,fograin_model_42_ideal,rainnight_model_42_ideal,snownight_model_42_ideal
Dangerous warning,2228,93.76170107719928,45.46744614003591,33.16792639138241,44.88216786355476,63.68895870736087,25.628972172351883
Regularoty,7545,94.61845725646121,39.7081153081511,32.604918489065604,44.480136514247846,60.54341020543406,23.51296752816435
