class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,92.68,84.55,84.55,78.05,60.98,49.59,34.15,14.63,6.5,0.0,0.0,123
1,93.18,90.91,75.0,75.0,61.36,52.27,31.82,22.73,9.09,4.55,0.0,44
2,94.44,87.04,79.63,68.52,57.41,51.85,24.07,20.37,5.56,3.7,0.0,54
3,66.67,61.9,66.67,42.86,38.1,28.57,19.05,0.0,0.0,0.0,0.0,21
4,88.89,66.67,22.22,44.44,22.22,22.22,33.33,11.11,11.11,0.0,0.0,9
5,100.0,71.43,57.14,57.14,71.43,85.71,28.57,28.57,0.0,0.0,0.0,7
6,90.0,83.33,80.0,70.0,60.0,58.33,31.67,20.0,8.33,1.67,0.0,60
7,87.5,57.5,42.5,40.0,20.0,20.0,12.5,12.5,0.0,0.0,0.0,40
8,100.0,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,66.67,100.0,66.67,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,3
10,92.31,84.62,84.62,84.62,84.62,61.54,46.15,38.46,7.69,0.0,0.0,13
11,97.78,80.0,77.78,68.89,48.89,40.0,17.78,15.56,4.44,0.0,2.22,45
12,93.88,77.55,72.45,63.27,53.06,48.98,31.63,11.22,2.04,0.0,0.0,98
13,75.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,95.57,89.24,86.71,80.38,67.72,53.8,34.18,22.15,10.76,2.53,0.0,158
16,93.04,90.11,86.45,84.62,72.89,68.5,55.68,47.25,31.87,9.16,2.2,273
17,90.38,78.85,73.08,69.23,44.23,53.85,25.0,17.31,7.69,3.85,0.0,52
18,60.0,40.0,60.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,5
19,94.34,76.42,64.15,52.83,29.25,22.64,16.98,3.77,0.94,0.0,0.0,106
20,98.27,92.21,84.85,83.98,70.56,61.04,41.99,19.48,4.33,0.0,0.0,231
21,92.47,77.42,75.27,63.44,58.06,46.24,31.18,13.98,11.83,4.3,0.0,93
