class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
64,45.45,36.36,45.45,54.55,36.36,36.36,36.36,0.0,0.0,0.0,0.0,11
65,88.89,100.0,66.67,66.67,33.33,55.56,22.22,11.11,22.22,11.11,0.0,9
66,85.38,82.31,82.31,80.0,76.92,76.92,73.85,77.69,68.46,56.92,5.38,130
67,100.0,100.0,98.89,98.33,98.89,97.78,92.22,81.11,62.22,28.89,0.0,180
68,86.11,83.33,83.33,80.56,83.33,75.0,58.33,41.67,25.0,0.0,0.0,36
69,72.73,72.73,72.73,72.73,72.73,72.73,63.64,36.36,9.09,0.0,0.0,11
70,100.0,96.55,100.0,98.28,94.83,96.55,86.21,84.48,62.07,18.97,0.0,58
71,100.0,95.83,95.83,87.5,87.5,87.5,79.17,45.83,33.33,4.17,0.0,24
72,91.86,93.02,91.86,88.37,89.53,87.21,87.21,75.58,62.79,12.79,0.0,86
73,93.88,93.88,89.8,89.8,93.88,83.67,85.71,67.35,32.65,6.12,0.0,49
74,94.66,96.12,93.2,93.2,91.75,91.26,88.35,77.18,64.56,31.55,0.0,206
75,96.08,92.16,94.12,90.2,92.16,82.35,72.55,64.71,62.75,25.49,0.0,51
76,83.33,77.78,72.22,72.22,66.67,55.56,50.0,44.44,16.67,5.56,0.0,18
77,86.23,86.96,81.88,81.88,81.16,78.26,71.74,65.22,51.45,13.77,0.0,138
78,97.97,95.43,95.43,95.43,91.37,90.36,84.26,78.17,57.87,16.75,0.0,197
79,92.23,93.2,93.2,91.26,88.35,81.55,80.58,66.99,39.81,16.5,0.0,103
80,100.0,33.33,66.67,66.67,66.67,66.67,66.67,33.33,0.0,0.0,0.0,3
81,88.89,88.89,88.89,86.11,83.33,83.33,72.22,63.89,41.67,5.56,0.0,36
82,71.43,100.0,71.43,71.43,100.0,71.43,57.14,57.14,42.86,0.0,0.0,7
83,98.72,97.44,98.72,92.31,92.31,87.18,78.21,69.23,44.87,7.69,0.0,78
84,50.0,25.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,4
85,11.11,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,9
86,92.7,92.7,92.13,91.01,93.26,88.2,76.4,72.47,56.18,32.58,2.81,178
87,92.41,87.97,84.18,77.22,74.68,63.29,58.23,46.84,29.11,12.66,0.0,158
88,71.43,67.86,60.71,64.29,57.14,60.71,39.29,42.86,17.86,7.14,0.0,28
89,50.0,37.5,50.0,50.0,12.5,50.0,25.0,0.0,0.0,0.0,0.0,8
90,98.06,97.25,96.76,97.09,96.28,94.82,91.42,88.83,77.51,44.82,0.0,618
91,88.14,88.14,88.14,81.36,81.36,74.58,61.02,42.37,27.12,10.17,0.0,59
92,66.67,50.0,41.67,33.33,25.0,16.67,16.67,8.33,0.0,0.0,0.0,12
93,62.07,65.52,58.62,60.34,58.62,43.1,34.48,25.86,6.9,1.72,0.0,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,28.57,14.29,14.29,14.29,0.0,14.29,14.29,0.0,0.0,0.0,7
97,76.19,79.37,84.13,73.02,74.6,74.6,63.49,57.14,38.1,19.05,3.17,63
98,33.33,33.33,33.33,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,3
99,94.74,84.21,94.74,84.21,89.47,84.21,73.68,63.16,31.58,0.0,0.0,19
100,16.67,16.67,33.33,16.67,33.33,50.0,50.0,16.67,16.67,16.67,0.0,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.0,80.0,0.0,0.0,5
102,88.0,92.0,88.0,88.0,88.0,88.0,68.0,48.0,12.0,0.0,0.0,25
