class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,99.19,98.37,99.19,98.37,98.37,98.37,99.19,98.37,96.75,95.12,98.37,123
1,90.91,90.91,90.91,90.91,90.91,90.91,93.18,93.18,90.91,93.18,88.64,44
2,87.04,83.33,83.33,87.04,85.19,81.48,81.48,85.19,83.33,85.19,83.33,54
3,66.67,66.67,71.43,71.43,71.43,66.67,66.67,61.9,66.67,66.67,61.9,21
4,66.67,77.78,55.56,44.44,66.67,66.67,55.56,66.67,66.67,88.89,77.78,9
5,85.71,85.71,85.71,85.71,85.71,100.0,100.0,85.71,85.71,85.71,85.71,7
6,88.33,86.67,88.33,90.0,86.67,83.33,88.33,88.33,85.0,88.33,93.33,60
7,82.5,85.0,85.0,85.0,75.0,80.0,75.0,67.5,67.5,65.0,60.0,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,0.0,3
9,66.67,100.0,100.0,100.0,66.67,66.67,100.0,100.0,100.0,100.0,66.67,3
10,76.92,76.92,76.92,84.62,76.92,76.92,76.92,69.23,76.92,76.92,76.92,13
11,91.11,93.33,91.11,91.11,86.67,91.11,88.89,84.44,88.89,93.33,91.11,45
12,94.9,94.9,93.88,95.92,94.9,94.9,88.78,93.88,86.73,85.71,87.76,98
13,100.0,100.0,100.0,100.0,75.0,50.0,75.0,100.0,75.0,75.0,100.0,4
14,33.33,33.33,33.33,66.67,66.67,33.33,66.67,33.33,33.33,33.33,33.33,3
15,92.41,94.3,93.67,93.04,93.04,93.67,93.04,93.67,93.04,93.67,94.94,158
16,94.14,93.04,92.67,92.67,91.94,92.31,91.21,90.48,92.31,92.31,92.31,273
17,90.38,90.38,90.38,92.31,90.38,88.46,90.38,90.38,90.38,88.46,88.46,52
18,60.0,100.0,60.0,80.0,80.0,80.0,60.0,80.0,80.0,100.0,60.0,5
19,94.34,93.4,91.51,93.4,89.62,90.57,89.62,89.62,86.79,87.74,86.79,106
20,97.4,97.4,97.84,96.54,96.97,96.54,97.84,97.4,96.1,96.54,95.24,231
21,91.4,90.32,89.25,90.32,90.32,90.32,92.47,87.1,92.47,88.17,87.1,93
22,76.92,76.92,76.92,76.92,76.92,76.92,76.92,76.92,78.46,78.46,78.46,65
23,97.23,97.23,97.54,96.92,96.0,96.62,95.38,96.31,96.0,96.62,95.69,325
24,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,70.0,75.0,20
25,85.71,80.95,85.71,80.95,80.95,80.95,76.19,85.71,85.71,85.71,85.71,21
26,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,22
27,17.65,17.65,17.65,17.65,11.76,17.65,17.65,11.76,11.76,17.65,17.65,17
28,98.44,98.44,98.44,96.48,96.88,95.7,93.75,97.27,92.97,92.97,93.36,256
