category,sub-category,images,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42
Dangerous warning,Dangerous warning,2228,92.50489228007181,92.54862208258527,92.28057001795335,92.05453770197487,91.29294883303409,91.15859964093357,90.43972621184922,90.84412926391381,90.17006283662478,90.26135996409337,89.99108168761222
Regularoty,Priority ,1041,96.54192122958693,96.44415946205571,97.02206532180595,96.54234390009606,96.4473679154659,95.77305475504323,95.96709894332373,95.77518731988474,95.3886167146974,95.10123919308357,94.6201633045149
Regularoty,Prohibitory,3957,95.70354056103108,95.2748900682335,94.71775334849633,94.66730098559515,94.26404599444022,93.5809350518069,93.37866818296689,92.92374526156178,92.7727899924185,91.88730351276217,91.93772302249178
Regularoty,Mandatory,1203,95.75961762261014,95.42924355777224,95.1772152950956,95.67665835411474,95.42705735660849,95.34304239401496,95.26048212801328,94.92762261014131,94.76193682460516,94.92821280132999,94.01439733998338
Regularoty,Special regulations,1344,91.29499255952382,90.9232068452381,90.70051339285715,89.20871279761904,89.58578125000001,89.58541666666667,87.79791666666668,87.9439880952381,88.46594494047622,87.27533482142859,87.27740327380955
