epoch,model_52,model_49,model_42
1,1.8849949836730957,1.6208484172821045,1.470711350440979
2,0.9696553945541382,0.6680575609207153,0.734359860420227
3,0.5504615902900696,0.4482208490371704,0.4723392426967621
4,0.4274097681045532,0.3985462784767151,0.43034058809280396
5,0.37264811992645264,0.3515591323375702,0.3291606307029724
6,0.33440881967544556,0.3971562087535858,0.346591591835022
7,0.4157129228115082,0.3721573054790497,0.3527732789516449
8,0.42240390181541443,0.3689904510974884,0.37074926495552063
9,0.3929019868373871,0.4825237989425659,0.4175947308540344
10,0.4235834777355194,0.463448166847229,0.41007956862449646
11,0.4540446996688843,0.5472905039787292,0.44489651918411255
12,0.48870599269866943,0.5392636656761169,0.48437240719795227
13,0.5081618428230286,0.6779325008392334,0.5697466731071472
14,0.5692724585533142,0.5786618590354919,0.4882495105266571
15,0.5662195682525635,0.5484509468078613,0.4970547556877136
16,0.5950606465339661,0.6271058320999146,0.46200504899024963
17,0.6244559288024902,0.6572601795196533,0.540696918964386
18,0.651951253414154,0.6730318665504456,0.5240980982780457
19,0.6756484508514404,0.6943430304527283,0.5450484752655029
20,0.6955521106719971,0.7100557088851929,0.5611933469772339
21,0.7143014669418335,0.7302019000053406,0.5757343173027039
22,0.7296163439750671,0.7462669610977173,0.5897051692008972
23,0.7456483244895935,0.7605052590370178,0.60332852602005
24,0.7611134648323059,0.7737002372741699,0.6150230169296265
25,0.7757211327552795,0.7901712656021118,0.6261102557182312
26,0.7915183305740356, , 
