category,images,Original_model_42_ideallevelnight,night1_model_42_ideallevelnight,night2_model_42_ideallevelnight,night3_model_42_ideallevelnight,night4_model_42_ideallevelnight,night5_model_42_ideallevelnight,night6_model_42_ideallevelnight,night7_model_42_ideallevelnight,night8_model_42_ideallevelnight,night9_model_42_ideallevelnight,night10_model_42_ideallevelnight
Dangerous warning,2228,93.76260771992817,93.49304308797126,93.49352333931778,93.31364452423699,92.99975763016157,93.1787342908438,92.86475763016156,92.82028276481147,92.37094703770197,91.74097396768401,90.26019299820466
Regularoty,7545,94.69829158383035,94.11428230616302,93.6909688535454,93.74387011265738,93.25463750828362,92.60486017229952,91.86159178263752,91.10559575878064,90.24460967528164,88.97210735586482,88.37581047051029
