class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,98.37,99.19,99.19,99.19,99.19,99.19,99.19,99.19,98.37,98.37,123
1,93.18,93.18,93.18,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,44
2,96.3,92.59,94.44,94.44,94.44,90.74,92.59,92.59,90.74,90.74,90.74,54
3,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,61.9,66.67,66.67,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,9
5,71.43,100.0,85.71,85.71,85.71,100.0,100.0,100.0,100.0,85.71,85.71,7
6,90.0,91.67,91.67,91.67,86.67,86.67,85.0,85.0,85.0,88.33,81.67,60
7,82.5,82.5,82.5,82.5,80.0,82.5,80.0,80.0,80.0,62.5,65.0,40
8,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,3
9,66.67,66.67,33.33,33.33,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
10,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,92.31,13
11,100.0,97.78,97.78,97.78,97.78,97.78,97.78,97.78,95.56,93.33,86.67,45
12,95.92,94.9,94.9,92.86,91.84,91.84,91.84,92.86,91.84,94.9,90.82,98
13,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.3,94.94,95.57,96.2,95.57,96.2,95.57,94.94,94.3,93.67,91.14,158
16,94.14,92.31,92.31,91.58,91.21,91.94,91.58,91.58,91.94,91.58,89.01,273
17,86.54,86.54,84.62,86.54,86.54,86.54,86.54,88.46,86.54,86.54,78.85,52
18,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,60.0,100.0,5
19,96.23,96.23,97.17,97.17,97.17,97.17,97.17,96.23,97.17,97.17,97.17,106
20,97.84,98.27,98.27,98.7,98.27,98.27,98.27,98.7,98.27,97.4,96.1,231
21,93.55,94.62,94.62,92.47,93.55,93.55,92.47,90.32,91.4,90.32,89.25,93
22,80.0,80.0,78.46,78.46,78.46,76.92,76.92,76.92,76.92,78.46,78.46,65
23,97.85,97.54,97.85,97.85,97.85,97.85,97.23,97.54,96.62,96.31,96.0,325
24,85.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,20
25,100.0,95.24,100.0,100.0,95.24,100.0,95.24,95.24,95.24,95.24,95.24,21
26,95.45,95.45,95.45,90.91,90.91,90.91,90.91,90.91,86.36,86.36,90.91,22
27,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,97.66,98.44,98.05,98.05,98.05,98.44,98.05,97.66,97.27,96.48,93.36,256
29,92.98,92.98,91.23,89.47,89.47,89.47,91.23,91.23,89.47,85.96,91.23,57
30,97.68,96.98,96.98,97.22,97.22,96.98,97.22,96.98,96.98,96.98,96.29,431
31,91.67,92.22,91.67,91.11,91.11,91.11,91.67,91.11,90.0,89.44,86.67,180
32,99.16,97.75,97.19,97.47,97.19,96.63,95.22,94.38,92.98,93.82,92.42,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,100.0,100.0,100.0,100.0,100.0,97.14,91.43,91.43,88.57,88.57,35
36,100.0,100.0,99.35,99.35,98.7,98.7,98.7,98.7,98.05,96.75,94.81,154
37,95.68,95.68,95.68,95.68,95.68,95.68,95.68,96.4,96.4,94.24,95.68,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,9
39,93.94,93.94,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,87.88,33
40,95.74,93.62,91.49,91.49,91.49,89.36,89.36,89.36,89.36,89.36,87.23,47
41,96.91,95.88,95.88,94.85,93.81,91.75,92.78,90.72,90.72,91.75,93.81,97
42,97.44,96.15,96.15,96.15,96.15,96.15,96.15,96.15,96.15,96.15,96.15,78
43,92.59,92.59,92.59,90.74,90.74,92.59,90.74,90.74,88.89,90.74,90.74,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,85.71,71.43,7
45,99.62,99.25,99.25,99.25,99.25,98.87,98.87,98.87,98.49,98.49,98.11,265
46,98.04,98.43,98.04,98.43,98.43,98.43,98.43,98.43,98.43,98.04,98.43,255
47,92.59,81.48,88.89,88.89,88.89,85.19,85.19,85.19,85.19,85.19,81.48,27
48,92.28,92.28,91.67,92.28,91.67,91.67,90.74,90.12,91.05,89.51,89.81,324
49,89.29,89.29,91.07,89.29,91.07,89.29,89.29,89.29,89.29,89.29,89.29,56
50,96.38,96.38,96.38,96.38,96.14,96.14,96.38,95.89,95.89,95.65,96.14,414
51,97.94,97.94,97.53,97.53,97.94,97.94,98.35,98.77,97.12,97.12,96.71,243
52,98.97,98.76,98.76,98.55,98.35,98.14,98.14,97.93,97.31,97.11,96.07,484
53,91.6,91.18,90.76,91.18,90.76,89.92,88.24,88.66,88.66,87.82,87.39,238
54,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,43.75,16
55,95.67,95.67,95.24,94.81,94.81,95.24,94.37,92.21,94.37,93.51,92.64,231
56,70.83,70.83,70.83,66.67,66.67,66.67,58.33,66.67,58.33,58.33,54.17,24
57,96.94,96.94,96.43,95.92,95.92,95.92,95.92,95.92,95.41,95.41,95.92,196
58,91.67,91.67,91.67,91.67,91.67,91.67,91.67,75.0,83.33,91.67,91.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,98.41,95.24,95.24,98.41,98.41,98.41,98.41,98.41,95.24,95.24,98.41,63
61,94.64,94.64,94.64,94.64,94.64,94.64,94.64,96.43,94.64,92.86,94.64,56
62,93.94,96.97,93.94,93.94,93.94,93.94,96.97,96.97,100.0,90.91,93.94,33
63,95.11,91.11,87.56,85.33,82.22,77.78,72.44,66.22,57.78,46.22,41.78,225
64,45.45,54.55,45.45,45.45,54.55,54.55,45.45,36.36,27.27,9.09,9.09,11
65,55.56,55.56,55.56,55.56,55.56,77.78,77.78,55.56,55.56,44.44,33.33,9
66,90.77,90.0,83.08,84.62,79.23,73.85,73.85,73.08,66.15,66.15,65.38,130
67,99.44,99.44,99.44,99.44,98.89,99.44,99.44,98.89,99.44,98.33,98.33,180
68,94.44,97.22,97.22,97.22,97.22,97.22,97.22,94.44,94.44,94.44,91.67,36
69,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.83,91.67,95.83,24
72,97.67,97.67,97.67,97.67,96.51,93.02,90.7,89.53,90.7,89.53,86.05,86
73,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,49
74,97.57,97.57,96.6,96.6,96.6,94.66,93.69,92.72,92.72,90.78,90.29,206
75,88.24,88.24,86.27,88.24,88.24,88.24,86.27,88.24,88.24,86.27,82.35,51
76,94.44,100.0,100.0,94.44,88.89,88.89,88.89,88.89,88.89,83.33,88.89,18
77,89.86,84.78,84.78,86.23,84.78,81.16,76.09,72.46,68.84,72.46,71.01,138
78,96.95,96.95,96.95,96.95,96.95,96.95,94.92,95.43,94.92,92.89,89.34,197
79,90.29,90.29,89.32,90.29,89.32,91.26,89.32,89.32,88.35,88.35,87.38,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,3
81,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,36
82,100.0,100.0,100.0,100.0,100.0,71.43,71.43,71.43,42.86,28.57,14.29,7
83,94.87,92.31,92.31,93.59,91.03,91.03,91.03,91.03,89.74,88.46,89.74,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,44.44,33.33,33.33,33.33,22.22,22.22,33.33,22.22,22.22,11.11,0.0,9
86,91.57,91.01,91.57,91.57,90.45,89.89,88.76,88.2,83.15,82.02,83.15,178
87,73.42,71.52,74.68,77.85,77.22,73.42,70.25,70.89,72.15,72.15,71.52,158
88,89.29,89.29,85.71,85.71,89.29,89.29,82.14,82.14,82.14,75.0,78.57,28
89,62.5,62.5,62.5,62.5,62.5,62.5,50.0,37.5,62.5,62.5,50.0,8
90,98.54,97.73,97.57,97.41,97.25,97.09,96.76,95.95,94.5,90.45,89.64,618
91,88.14,88.14,86.44,86.44,86.44,86.44,88.14,86.44,89.83,86.44,86.44,59
92,0.0,8.33,16.67,8.33,8.33,16.67,0.0,0.0,0.0,0.0,0.0,12
93,74.14,68.97,65.52,67.24,58.62,53.45,53.45,43.1,39.66,37.93,43.1,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,71.43,71.43,71.43,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,7
97,96.83,92.06,92.06,92.06,92.06,90.48,88.89,85.71,85.71,80.95,80.95,63
98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
99,84.21,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,78.95,78.95,19
100,83.33,83.33,83.33,83.33,66.67,50.0,66.67,66.67,83.33,83.33,83.33,6
101,100.0,100.0,80.0,80.0,80.0,60.0,40.0,40.0,20.0,0.0,20.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,25
