epoch,model_52,model_49,model_42
1,1.041858434677124,0.985862135887146,1.7799772024154663
2,0.4565766751766205,0.4537608027458191,0.8010115027427673
3,0.3797905147075653,0.3789234757423401,0.5256145000457764
4,0.3252679109573364,0.34245219826698303,0.4150972068309784
5,0.36692020297050476,0.3162408471107483,0.34840312600135803
6,0.3478129208087921,0.31265413761138916,0.357427179813385
7,0.30880996584892273,0.3979991376399994,0.3575955033302307
8,0.3374355137348175,0.4120354652404785,0.3985501527786255
9,0.31411752104759216,0.39381957054138184,0.3632117807865143
10,0.3467214107513428,0.396629273891449,0.4865482747554779
11,0.3984123766422272,0.43948179483413696,0.442926824092865
12,0.40004682540893555,0.47313547134399414,0.5320354104042053
13,0.3624652922153473,0.4417152404785156,0.47757747769355774
14,0.43017008900642395,0.38686686754226685,0.5682724714279175
15,0.4418796896934509,0.4621502459049225,0.4845600724220276
16,0.4604584574699402,0.4647373855113983,0.509082555770874
17,0.4737361669540405,0.45037153363227844,0.5456312894821167
18,0.48552560806274414,0.4971119165420532,0.5646817088127136
19,0.49462834000587463,0.5110008716583252,0.5871821641921997
20,0.5034635663032532,0.523512601852417,0.6076135635375977
21,0.5130602121353149,0.5360064506530762,0.6227619051933289
22,0.5207231044769287,0.5448044538497925,0.6374233365058899
23,0.5304585099220276,0.5539335012435913,0.6530467867851257
24,0.5386194586753845,0.563180685043335,0.666446328163147
25,0.5461844801902771,0.572766125202179,0.6797327995300293
26,0.5556367635726929, , 
27,0.5643286108970642, , 
