class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,95.93,87.8,68.29,83.74,81.3,58.54,123
1,93.18,68.18,40.91,61.36,81.82,27.27,44
2,90.74,72.22,35.19,48.15,70.37,33.33,54
3,57.14,52.38,42.86,42.86,47.62,23.81,21
4,77.78,33.33,0.0,33.33,55.56,22.22,9
5,71.43,42.86,57.14,42.86,42.86,42.86,7
6,88.33,70.0,46.67,58.33,63.33,31.67,60
7,75.0,30.0,22.5,17.5,57.5,17.5,40
8,33.33,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,66.67,0.0,3
10,69.23,53.85,46.15,30.77,53.85,38.46,13
11,93.33,51.11,40.0,64.44,60.0,44.44,45
12,93.88,70.41,52.04,59.18,70.41,42.86,98
13,75.0,25.0,25.0,25.0,50.0,25.0,4
14,0.0,33.33,0.0,0.0,0.0,0.0,3
15,93.67,78.48,58.23,67.09,73.42,44.94,158
16,91.94,80.22,69.6,78.75,77.29,62.64,273
17,76.92,61.54,38.46,63.46,63.46,34.62,52
18,60.0,40.0,20.0,20.0,60.0,80.0,5
19,92.45,75.47,49.06,70.75,75.47,47.17,106
20,97.4,85.28,85.28,86.15,82.68,64.94,231
21,94.62,58.06,60.22,62.37,72.04,40.86,93
22,83.08,80.0,81.54,76.92,70.77,50.77,65
23,96.0,90.46,79.08,87.38,85.85,61.85,325
24,65.0,40.0,20.0,30.0,30.0,25.0,20
25,80.95,47.62,33.33,52.38,61.9,33.33,21
26,86.36,77.27,59.09,54.55,86.36,40.91,22
27,0.0,0.0,0.0,0.0,0.0,0.0,17
28,95.31,79.69,66.41,75.39,75.78,51.17,256
29,82.46,56.14,43.86,43.86,49.12,28.07,57
30,96.52,92.58,89.1,92.81,90.95,77.49,431
31,93.89,85.56,75.0,81.11,81.11,52.22,180
32,97.47,87.08,82.58,88.76,83.15,56.18,356
33,83.33,77.78,66.67,66.67,61.11,77.78,18
34,100.0,85.71,66.67,80.95,85.71,61.9,21
35,94.29,60.0,48.57,62.86,65.71,34.29,35
36,99.35,87.01,85.06,91.56,92.86,72.08,154
37,94.96,60.43,38.85,58.99,67.63,38.85,139
38,66.67,55.56,44.44,33.33,44.44,0.0,9
39,87.88,54.55,48.48,54.55,66.67,36.36,33
40,89.36,59.57,36.17,55.32,63.83,38.3,47
41,94.85,86.6,82.47,84.54,83.51,73.2,97
42,96.15,78.21,66.67,82.05,67.95,51.28,78
43,100.0,81.48,68.52,77.78,83.33,37.04,54
44,71.43,57.14,28.57,42.86,57.14,14.29,7
45,99.62,91.7,80.0,91.32,87.55,67.55,265
46,97.25,87.06,80.78,89.02,82.75,62.75,255
47,85.19,44.44,22.22,33.33,44.44,11.11,27
48,91.98,79.01,64.81,72.84,76.85,47.53,324
49,94.64,64.29,50.0,71.43,71.43,37.5,56
50,95.17,82.13,64.01,75.85,73.19,46.38,414
51,95.47,73.25,60.91,67.49,67.49,38.68,243
52,95.45,85.12,76.03,80.79,84.09,56.61,484
53,88.66,57.56,40.34,59.66,60.08,24.79,238
54,43.75,18.75,18.75,12.5,37.5,25.0,16
55,95.24,75.76,53.25,64.5,74.03,38.96,231
56,66.67,12.5,4.17,25.0,16.67,4.17,24
57,94.39,73.47,58.16,71.43,76.53,47.96,196
58,91.67,50.0,50.0,50.0,50.0,41.67,12
59,100.0,66.67,37.04,40.74,51.85,22.22,27
60,92.06,66.67,55.56,66.67,73.02,55.56,63
61,100.0,71.43,51.79,73.21,94.64,60.71,56
62,78.79,63.64,54.55,57.58,63.64,39.39,33
63,96.89,77.78,83.56,86.67,77.78,53.33,225
64,63.64,27.27,36.36,36.36,45.45,9.09,11
65,66.67,44.44,11.11,11.11,22.22,44.44,9
66,85.38,66.15,66.15,75.38,66.92,42.31,130
67,100.0,86.11,86.11,91.67,88.33,65.56,180
68,80.56,55.56,41.67,52.78,77.78,50.0,36
69,72.73,54.55,63.64,81.82,72.73,54.55,11
70,100.0,84.48,84.48,91.38,89.66,60.34,58
71,95.83,50.0,70.83,83.33,79.17,33.33,24
72,97.67,82.56,83.72,90.7,87.21,65.12,86
73,93.88,87.76,81.63,85.71,89.8,67.35,49
74,96.6,84.95,78.64,87.86,84.47,55.34,206
75,90.2,80.39,70.59,72.55,86.27,64.71,51
76,77.78,44.44,44.44,38.89,72.22,27.78,18
77,89.86,73.19,69.57,75.36,81.16,60.87,138
78,96.95,80.2,71.07,82.74,81.73,54.82,197
79,92.23,81.55,64.08,76.7,87.38,68.93,103
80,100.0,33.33,0.0,33.33,66.67,33.33,3
81,91.67,80.56,63.89,72.22,86.11,63.89,36
82,57.14,28.57,42.86,28.57,28.57,28.57,7
83,97.44,74.36,75.64,84.62,76.92,50.0,78
84,25.0,0.0,25.0,25.0,25.0,0.0,4
85,22.22,0.0,11.11,11.11,11.11,11.11,9
86,92.7,64.04,68.54,81.46,73.6,42.7,178
87,70.89,29.11,39.24,32.91,48.73,27.85,158
88,85.71,46.43,53.57,50.0,50.0,25.0,28
89,50.0,0.0,0.0,12.5,25.0,0.0,8
90,97.41,90.45,85.11,91.1,84.79,63.43,618
91,91.53,69.49,55.93,67.8,69.49,38.98,59
92,58.33,8.33,25.0,25.0,8.33,0.0,12
93,39.66,10.34,13.79,31.03,13.79,1.72,58
94,0.0,0.0,0.0,33.33,33.33,0.0,3
95,0.0,0.0,33.33,0.0,0.0,0.0,3
96,0.0,0.0,14.29,0.0,0.0,0.0,7
97,79.37,63.49,58.73,73.02,58.73,52.38,63
