class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,91.06,88.62,81.3,70.73,52.03,31.71,18.7,2.44,0.0,0.0,123
1,90.91,79.55,65.91,52.27,47.73,34.09,18.18,4.55,2.27,0.0,0.0,44
2,94.44,77.78,66.67,61.11,48.15,31.48,16.67,7.41,0.0,0.0,0.0,54
3,76.19,52.38,52.38,33.33,33.33,4.76,9.52,0.0,0.0,0.0,0.0,21
4,88.89,77.78,66.67,33.33,22.22,22.22,0.0,0.0,0.0,0.0,0.0,9
5,85.71,71.43,71.43,85.71,42.86,42.86,14.29,14.29,0.0,0.0,0.0,7
6,91.67,78.33,70.0,60.0,43.33,36.67,26.67,13.33,0.0,0.0,0.0,60
7,82.5,47.5,30.0,17.5,20.0,12.5,10.0,5.0,0.0,0.0,0.0,40
8,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,100.0,33.33,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,3
10,92.31,69.23,69.23,61.54,76.92,30.77,30.77,23.08,0.0,0.0,0.0,13
11,91.11,77.78,88.89,82.22,57.78,62.22,35.56,11.11,6.67,2.22,0.0,45
12,94.9,74.49,68.37,51.02,44.9,32.65,19.39,10.2,1.02,0.0,0.0,98
13,75.0,25.0,50.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,33.33,33.33,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,3
15,93.04,87.97,79.11,74.68,59.49,44.94,20.89,6.96,1.27,0.0,0.0,158
16,95.6,92.67,88.28,81.68,74.73,65.2,46.15,27.84,8.79,4.03,3.3,273
17,92.31,59.62,44.23,42.31,23.08,11.54,7.69,5.77,3.85,0.0,0.0,52
18,80.0,80.0,60.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5
19,95.28,74.53,64.15,47.17,33.96,17.92,12.26,4.72,0.94,0.0,0.0,106
20,97.4,92.64,87.01,83.12,74.46,63.64,48.92,22.94,4.76,0.87,0.0,231
21,92.47,82.8,74.19,66.67,59.14,37.63,21.51,15.05,8.6,3.23,3.23,93
22,90.77,83.08,84.62,81.54,73.85,70.77,47.69,23.08,0.0,0.0,0.0,65
23,98.15,93.23,90.77,88.0,82.77,72.31,58.46,33.85,15.38,3.69,0.92,325
24,75.0,60.0,60.0,30.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,20
25,85.71,85.71,80.95,85.71,57.14,38.1,38.1,19.05,0.0,0.0,0.0,21
26,95.45,77.27,77.27,63.64,50.0,36.36,18.18,0.0,0.0,0.0,0.0,22
27,5.88,0.0,0.0,5.88,5.88,11.76,5.88,0.0,0.0,0.0,0.0,17
28,99.22,90.62,87.89,76.56,67.97,54.3,39.84,25.78,12.5,3.12,1.17,256
29,91.23,63.16,45.61,45.61,29.82,17.54,10.53,3.51,0.0,0.0,0.0,57
30,97.91,95.82,93.27,93.5,90.95,86.08,77.96,66.82,48.72,34.11,19.72,431
31,94.44,88.89,85.0,80.56,76.67,65.56,53.33,30.56,18.33,6.67,0.0,180
32,98.03,94.38,88.76,85.67,79.49,76.4,65.17,48.03,34.55,12.36,8.15,356
33,83.33,77.78,83.33,66.67,77.78,50.0,38.89,11.11,0.0,0.0,0.0,18
34,100.0,100.0,90.48,85.71,76.19,57.14,42.86,4.76,0.0,0.0,0.0,21
35,94.29,82.86,77.14,51.43,42.86,45.71,22.86,8.57,11.43,5.71,11.43,35
36,98.7,91.56,85.06,78.57,77.92,60.39,50.0,24.03,8.44,1.3,0.0,154
37,97.12,95.68,96.4,90.65,86.33,75.54,56.12,27.34,9.35,3.6,0.72,139
38,88.89,66.67,66.67,55.56,33.33,22.22,11.11,0.0,0.0,0.0,0.0,9
39,90.91,69.7,60.61,60.61,42.42,24.24,15.15,6.06,9.09,6.06,3.03,33
40,97.87,76.6,74.47,70.21,65.96,40.43,38.3,12.77,0.0,0.0,0.0,47
41,95.88,95.88,93.81,89.69,86.6,77.32,54.64,30.93,17.53,1.03,0.0,97
42,92.31,82.05,78.21,73.08,58.97,53.85,37.18,19.23,6.41,0.0,0.0,78
43,90.74,94.44,79.63,87.04,70.37,57.41,42.59,24.07,11.11,0.0,0.0,54
44,100.0,71.43,57.14,42.86,42.86,0.0,28.57,0.0,0.0,0.0,0.0,7
45,99.62,96.98,92.45,88.3,75.47,75.09,52.08,30.94,16.23,6.79,5.66,265
46,96.47,80.39,73.73,65.88,52.55,39.22,26.27,9.8,1.57,0.0,0.0,255
47,92.59,70.37,70.37,48.15,33.33,29.63,7.41,3.7,0.0,0.0,0.0,27
48,94.44,85.49,82.72,78.7,66.98,56.48,38.89,20.37,11.73,6.17,2.16,324
49,87.5,85.71,80.36,69.64,64.29,37.5,33.93,19.64,3.57,0.0,0.0,56
50,97.83,89.37,85.02,77.78,72.71,60.14,51.45,34.3,21.5,8.21,4.35,414
51,97.94,78.19,70.37,63.79,51.85,45.68,32.92,16.46,5.35,1.65,0.82,243
52,97.93,81.2,78.1,70.04,54.96,47.73,38.84,25.0,12.19,4.55,1.86,484
53,94.12,64.71,57.98,48.32,36.13,26.89,21.01,7.56,2.1,2.52,1.26,238
54,62.5,18.75,31.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,16
55,97.84,79.65,61.04,44.59,35.5,20.78,9.09,2.6,0.87,0.0,0.0,231
56,79.17,58.33,37.5,29.17,12.5,8.33,12.5,8.33,4.17,0.0,0.0,24
57,95.92,83.67,84.18,74.49,62.76,47.45,29.59,15.82,3.57,1.02,1.02,196
58,91.67,66.67,50.0,50.0,33.33,16.67,8.33,0.0,0.0,0.0,0.0,12
59,100.0,100.0,85.19,66.67,29.63,33.33,11.11,3.7,0.0,0.0,0.0,27
60,96.83,63.49,58.73,55.56,46.03,38.1,26.98,4.76,0.0,0.0,0.0,63
61,96.43,82.14,80.36,62.5,53.57,32.14,14.29,7.14,5.36,0.0,0.0,56
62,93.94,90.91,78.79,72.73,57.58,39.39,33.33,15.15,6.06,0.0,0.0,33
