category,images,Original_model_52_baseline,Original_model_49_baseline,Original_model_42_baseline,fog_model_52_baseline,fog_model_49_baseline,fog_model_42_baseline,night_model_52_baseline,night_model_49_baseline,night_model_42_baseline,rain_model_52_baseline,rain_model_49_baseline,rain_model_42_baseline,snow_model_52_baseline,snow_model_49_baseline,snow_model_42_baseline,day_model_52_baseline,day_model_49_baseline,day_model_42_baseline
Dangerous warning,2228,89.45254937163376,87.25402154398564,88.6893447037702,34.83076750448833,30.88021543985637,29.89202423698384,84.91921454219028,85.3228052064632,83.48254937163374,81.10371633752246,80.56444793536804,82.94319120287253,81.82254488330342,80.92330341113104,81.8231552962298,89.49828096947937,86.80514811490124,88.77976211849192
Regularoty,7545,89.41045460569914,89.54349237905896,92.28670245195494,35.86424917163684,28.76041616964877,29.967214049039097,75.30820543406229,77.30910536779322,81.72287740225313,80.39778396288932,80.96799867461895,84.43941815772034,80.66293174287608,81.39200397614314,83.8967435387674,89.05171636845593,89.29140755467195,92.12792312789927
