category,images,Original_model_42_ideallevelnight,night1_model_42_ideallevelnight,night2_model_42_ideallevelnight,night3_model_42_ideallevelnight,night4_model_42_ideallevelnight,night5_model_42_ideallevelnight,night6_model_42_ideallevelnight,night7_model_42_ideallevelnight,night8_model_42_ideallevelnight,night9_model_42_ideallevelnight,night10_model_42_ideallevelnight
Dangerous warning,2228,93.76170107719928,93.22292639138239,92.72890484739675,92.5497980251346,92.45901705565527,92.28013464991024,91.921934470377,91.78741472172351,91.06859515260324,90.70904847396768,89.90105475763015
Regularoty,7545,94.61845725646121,93.7177773359841,93.25412723658053,92.97563021868787,92.41909343936379,91.74251159708417,90.92115838303513,89.70200927766732,88.11115573227303,86.3886905235255,84.6518422796554
