class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,95.93,94.31,90.24,91.06,88.62,85.37,69.11,46.34,10.57,0.0,123
1,93.18,93.18,88.64,93.18,86.36,86.36,70.45,61.36,43.18,9.09,2.27,44
2,74.07,72.22,68.52,70.37,59.26,51.85,44.44,31.48,16.67,0.0,0.0,54
3,47.62,52.38,61.9,52.38,61.9,42.86,23.81,19.05,19.05,0.0,0.0,21
4,88.89,88.89,66.67,77.78,77.78,77.78,55.56,22.22,0.0,0.0,0.0,9
5,85.71,57.14,71.43,85.71,71.43,57.14,71.43,14.29,0.0,0.0,0.0,7
6,91.67,91.67,88.33,83.33,83.33,86.67,83.33,66.67,43.33,21.67,5.0,60
7,77.5,57.5,40.0,32.5,37.5,12.5,15.0,12.5,2.5,0.0,0.0,40
8,33.33,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,3
10,92.31,92.31,92.31,76.92,76.92,69.23,61.54,38.46,15.38,0.0,0.0,13
11,88.89,84.44,80.0,77.78,71.11,55.56,42.22,28.89,6.67,0.0,0.0,45
12,93.88,87.76,81.63,83.67,65.31,58.16,58.16,31.63,21.43,1.02,0.0,98
13,0.0,50.0,50.0,25.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,4
14,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,87.34,84.18,83.54,82.91,82.28,80.38,72.15,61.39,36.08,10.76,0.0,158
16,90.48,89.01,88.28,87.55,86.45,80.59,75.09,62.64,39.19,14.65,2.56,273
17,78.85,76.92,78.85,73.08,67.31,57.69,46.15,34.62,21.15,0.0,0.0,52
18,60.0,60.0,60.0,60.0,80.0,60.0,40.0,20.0,20.0,0.0,0.0,5
19,89.62,87.74,86.79,80.19,82.08,72.64,60.38,47.17,14.15,5.66,0.0,106
20,96.97,96.54,94.37,93.94,92.21,86.58,77.49,68.83,42.86,8.23,0.0,231
21,89.25,89.25,84.95,81.72,79.57,77.42,63.44,54.84,23.66,7.53,0.0,93
22,83.08,81.54,81.54,81.54,78.46,80.0,75.38,66.15,40.0,15.38,0.0,65
23,96.31,96.92,96.92,95.38,92.92,90.46,84.31,75.08,54.77,24.62,1.23,325
24,60.0,60.0,50.0,50.0,40.0,40.0,25.0,10.0,0.0,5.0,0.0,20
25,66.67,57.14,52.38,52.38,52.38,47.62,33.33,23.81,14.29,0.0,0.0,21
26,86.36,86.36,90.91,90.91,90.91,72.73,68.18,27.27,31.82,4.55,0.0,22
27,0.0,0.0,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,17
28,96.09,96.09,93.75,92.58,90.62,85.55,83.98,74.61,57.03,26.95,6.25,256
29,82.46,56.14,54.39,54.39,40.35,22.81,10.53,3.51,1.75,0.0,0.0,57
30,97.45,95.59,95.82,96.29,94.66,93.5,92.11,87.24,77.03,52.44,6.73,431
31,95.56,95.56,95.0,93.33,95.0,95.0,92.22,87.22,78.33,65.0,30.56,180
32,97.75,94.66,94.38,94.1,93.54,93.26,90.73,85.39,78.09,53.37,0.28,356
33,77.78,72.22,72.22,55.56,61.11,61.11,33.33,33.33,11.11,0.0,0.0,18
34,100.0,100.0,100.0,100.0,100.0,100.0,95.24,85.71,47.62,4.76,0.0,21
35,94.29,88.57,80.0,77.14,62.86,68.57,54.29,34.29,17.14,5.71,0.0,35
36,98.05,97.4,92.86,93.51,90.26,88.96,83.12,79.22,62.34,27.27,4.55,154
37,96.4,97.12,97.12,97.12,97.84,94.96,89.21,88.49,66.19,34.53,6.47,139
38,66.67,66.67,66.67,66.67,77.78,44.44,77.78,55.56,33.33,11.11,0.0,9
39,75.76,69.7,81.82,78.79,69.7,69.7,45.45,30.3,3.03,0.0,0.0,33
40,82.98,85.11,85.11,89.36,76.6,74.47,70.21,57.45,38.3,12.77,0.0,47
41,93.81,90.72,90.72,91.75,86.6,83.51,76.29,71.13,41.24,4.12,0.0,97
42,88.46,89.74,91.03,88.46,84.62,85.9,74.36,62.82,46.15,14.1,1.28,78
