class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,98.37,95.93,95.93,49.59,53.66,56.1,97.56,94.31,91.87,93.5,91.87,92.68,78.86,76.42,69.11,98.37,95.12,94.31,123
1,97.73,90.91,90.91,31.82,45.45,43.18,97.73,93.18,88.64,72.73,70.45,72.73,56.82,56.82,63.64,97.73,90.91,90.91,44
2,90.74,92.59,90.74,48.15,18.52,64.81,81.48,83.33,88.89,87.04,75.93,85.19,70.37,70.37,70.37,92.59,94.44,90.74,54
3,66.67,71.43,66.67,23.81,23.81,38.1,66.67,71.43,71.43,66.67,52.38,66.67,38.1,52.38,42.86,66.67,71.43,66.67,21
4,55.56,88.89,44.44,11.11,0.0,11.11,44.44,77.78,22.22,66.67,77.78,55.56,33.33,44.44,22.22,55.56,88.89,44.44,9
5,42.86,71.43,85.71,0.0,0.0,28.57,28.57,71.43,85.71,28.57,71.43,85.71,28.57,42.86,71.43,42.86,71.43,85.71,7
6,91.67,86.67,91.67,55.0,31.67,60.0,88.33,83.33,88.33,90.0,88.33,90.0,68.33,55.0,58.33,93.33,86.67,91.67,60
7,67.5,67.5,60.0,2.5,10.0,7.5,62.5,52.5,67.5,45.0,40.0,50.0,17.5,30.0,25.0,67.5,65.0,62.5,40
8,0.0,100.0,66.67,0.0,0.0,0.0,0.0,100.0,100.0,0.0,33.33,66.67,0.0,33.33,33.33,0.0,66.67,66.67,3
9,100.0,66.67,33.33,0.0,0.0,0.0,100.0,66.67,33.33,66.67,66.67,66.67,66.67,66.67,33.33,100.0,66.67,33.33,3
10,69.23,69.23,84.62,23.08,46.15,53.85,61.54,92.31,84.62,61.54,61.54,84.62,61.54,61.54,61.54,69.23,53.85,84.62,13
11,68.89,93.33,95.56,22.22,55.56,48.89,60.0,88.89,91.11,68.89,86.67,88.89,42.22,71.11,75.56,68.89,93.33,97.78,45
12,89.8,96.94,92.86,22.45,41.84,35.71,85.71,94.9,92.86,62.24,72.45,71.43,40.82,53.06,46.94,88.78,96.94,91.84,98
13,50.0,25.0,25.0,25.0,0.0,25.0,25.0,25.0,25.0,50.0,25.0,50.0,0.0,25.0,25.0,50.0,25.0,25.0,4
14,33.33,33.33,33.33,0.0,0.0,0.0,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,86.71,81.65,89.87,22.78,43.67,36.08,82.28,71.52,76.58,86.08,79.75,89.24,53.16,61.39,61.39,86.71,79.75,89.24,158
16,91.21,92.67,94.87,50.55,65.57,65.93,85.71,88.28,94.14,87.91,91.21,91.94,72.89,78.39,74.36,90.84,92.31,94.87,273
17,86.54,75.0,75.0,17.31,13.46,44.23,84.62,73.08,69.23,82.69,73.08,75.0,57.69,53.85,50.0,88.46,75.0,75.0,52
18,80.0,100.0,100.0,80.0,80.0,20.0,100.0,100.0,100.0,80.0,100.0,100.0,40.0,80.0,40.0,80.0,100.0,100.0,5
19,73.58,86.79,60.38,7.55,9.43,1.89,77.36,79.25,51.89,53.77,66.04,34.91,21.7,42.45,11.32,72.64,86.79,58.49,106
20,92.64,98.7,95.67,67.53,71.86,59.74,90.48,95.67,94.81,93.51,97.84,93.51,81.39,83.98,82.68,92.64,98.7,95.24,231
21,88.17,90.32,88.17,29.03,48.39,30.11,82.8,90.32,61.29,82.8,89.25,76.34,65.59,78.49,49.46,88.17,90.32,86.02,93
22,83.08,78.46,78.46,73.85,67.69,67.69,78.46,78.46,78.46,81.54,78.46,78.46,76.92,76.92,70.77,83.08,78.46,78.46,65
23,96.0,96.92,95.08,68.0,37.85,60.31,95.69,95.38,94.77,94.15,92.0,90.77,84.92,82.15,74.46,95.69,96.92,94.77,325
24,40.0,65.0,90.0,10.0,0.0,20.0,20.0,65.0,90.0,30.0,65.0,70.0,20.0,55.0,25.0,35.0,65.0,90.0,20
25,61.9,76.19,85.71,9.52,42.86,42.86,28.57,76.19,95.24,33.33,76.19,90.48,23.81,57.14,47.62,66.67,76.19,85.71,21
26,86.36,95.45,86.36,36.36,54.55,36.36,81.82,95.45,81.82,81.82,90.91,72.73,59.09,95.45,63.64,86.36,95.45,81.82,22
27,5.88,0.0,5.88,0.0,0.0,11.76,17.65,5.88,5.88,5.88,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,17
28,94.92,97.66,94.92,52.73,51.17,55.08,90.23,96.09,90.62,81.25,89.45,81.25,57.81,64.84,54.3,93.75,97.27,95.31,256
29,42.11,42.11,61.4,15.79,5.26,17.54,17.54,42.11,66.67,29.82,38.6,40.35,19.3,21.05,26.32,42.11,43.86,59.65,57
30,96.52,96.98,97.45,78.19,81.67,86.08,94.2,95.82,97.45,93.74,93.04,95.82,87.47,86.31,81.9,96.29,96.75,97.45,431
31,90.0,87.22,82.78,41.11,28.33,31.11,89.44,81.67,66.11,88.33,86.67,77.78,83.33,73.89,68.89,90.0,88.33,83.33,180
32,96.35,96.63,97.47,82.3,80.62,82.58,80.34,94.1,96.35,92.42,93.82,88.2,81.46,81.18,68.26,96.35,96.63,97.19,356
33,77.78,88.89,77.78,50.0,5.56,77.78,66.67,72.22,83.33,77.78,83.33,77.78,77.78,77.78,72.22,77.78,88.89,77.78,18
34,95.24,95.24,100.0,85.71,76.19,80.95,80.95,95.24,100.0,95.24,95.24,100.0,95.24,95.24,85.71,95.24,95.24,100.0,21
35,85.71,97.14,100.0,40.0,37.14,45.71,77.14,94.29,74.29,77.14,88.57,94.29,54.29,74.29,57.14,85.71,97.14,100.0,35
36,98.7,98.05,96.1,51.95,72.73,56.49,79.87,92.21,80.52,95.45,95.45,92.86,90.26,92.21,87.66,98.7,98.05,96.1,154
37,92.09,94.24,94.24,60.43,46.04,47.48,88.49,89.21,89.93,89.21,94.24,86.33,70.5,66.91,62.59,91.37,94.24,94.24,139
38,66.67,100.0,100.0,55.56,33.33,0.0,66.67,66.67,77.78,66.67,100.0,100.0,44.44,88.89,77.78,66.67,100.0,100.0,9
39,90.91,81.82,93.94,33.33,24.24,18.18,84.85,84.85,75.76,75.76,78.79,75.76,63.64,66.67,48.48,90.91,81.82,87.88,33
40,63.83,91.49,85.11,38.3,40.43,65.96,59.57,85.11,89.36,70.21,91.49,80.85,46.81,87.23,70.21,63.83,93.62,82.98,47
41,96.91,94.85,97.94,61.86,45.36,61.86,97.94,91.75,98.97,84.54,88.66,93.81,71.13,69.07,63.92,96.91,93.81,97.94,97
42,91.03,92.31,97.44,52.56,82.05,37.18,83.33,89.74,88.46,91.03,92.31,94.87,71.79,85.9,71.79,89.74,93.59,97.44,78
43,88.89,90.74,81.48,46.3,50.0,27.78,85.19,83.33,81.48,87.04,85.19,77.78,72.22,74.07,53.7,88.89,90.74,77.78,54
44,100.0,71.43,85.71,71.43,0.0,42.86,100.0,85.71,71.43,100.0,71.43,85.71,100.0,57.14,71.43,100.0,71.43,85.71,7
45,97.36,98.11,97.36,54.34,45.66,50.57,95.09,97.36,95.85,90.57,92.83,90.57,70.94,71.7,60.0,96.98,97.74,97.36,265
46,92.55,94.51,95.69,10.98,13.73,8.24,90.98,93.73,94.12,69.8,67.45,67.84,35.29,36.86,25.88,91.76,94.51,95.69,255
47,85.19,81.48,85.19,18.52,25.93,18.52,88.89,88.89,70.37,77.78,77.78,85.19,55.56,59.26,44.44,81.48,81.48,81.48,27
48,96.6,95.06,94.44,79.01,45.06,62.35,94.14,95.06,94.75,94.75,91.98,91.36,84.57,77.16,76.85,95.99,94.75,94.44,324
49,89.29,91.07,91.07,51.79,37.5,62.5,82.14,89.29,92.86,85.71,92.86,91.07,66.07,75.0,69.64,89.29,91.07,89.29,56
50,91.55,93.72,93.0,57.73,53.62,44.2,88.89,92.27,90.1,83.82,88.41,83.82,62.08,66.43,66.67,90.1,93.24,91.3,414
51,72.02,90.95,88.48,9.47,16.46,14.4,73.25,88.48,83.54,51.44,74.49,70.78,27.57,39.51,38.27,71.19,89.71,86.42,243
52,93.6,95.04,98.55,34.3,44.21,37.4,88.64,94.63,95.25,72.93,79.96,83.68,51.03,59.3,60.74,92.98,94.42,98.35,484
53,88.66,87.39,91.18,23.53,26.47,26.89,86.55,83.61,87.82,71.01,70.17,77.31,44.96,39.08,51.68,87.39,87.39,91.18,238
54,56.25,62.5,75.0,31.25,12.5,25.0,43.75,62.5,62.5,43.75,43.75,50.0,31.25,50.0,56.25,56.25,56.25,75.0,16
55,94.81,94.37,87.45,26.84,19.91,24.24,90.91,90.04,86.58,74.03,71.43,68.83,39.83,41.13,34.63,93.51,93.51,86.15,231
56,62.5,62.5,75.0,0.0,12.5,8.33,25.0,45.83,20.83,41.67,62.5,50.0,8.33,37.5,16.67,62.5,66.67,75.0,24
57,64.29,82.14,87.24,14.29,9.69,7.14,67.35,81.12,80.1,42.35,58.67,63.78,26.02,29.59,34.18,64.29,81.12,87.76,196
58,58.33,91.67,100.0,0.0,16.67,0.0,58.33,91.67,100.0,58.33,91.67,91.67,25.0,25.0,66.67,58.33,91.67,100.0,12
59,100.0,100.0,96.3,66.67,51.85,70.37,100.0,100.0,92.59,88.89,96.3,92.59,66.67,77.78,48.15,100.0,100.0,96.3,27
