class,filters,error
20,fog,59.74
36,fog,56.49
90,fog,71.84
0,fog,56.1
30,fog,86.08
97,fog,42.86
48,fog,62.35
15,fog,36.08
28,fog,55.08
22,fog,67.69
66,fog,5.38
50,fog,44.2
46,fog,8.24
58,fog,0.0
53,fog,26.89
1,fog,43.18
32,fog,82.58
51,fog,14.4
31,fog,31.11
19,fog,1.89
57,fog,7.14
6,fog,60.0
83,fog,83.33
86,fog,18.54
52,fog,37.4
74,fog,61.65
87,fog,10.76
37,fog,47.48
63,fog,9.33
21,fog,30.11
70,fog,50.0
78,fog,37.56
45,fog,50.57
16,fog,65.93
47,fog,18.52
27,fog,11.76
23,fog,60.31
55,fog,24.24
26,fog,36.36
67,fog,30.56
79,fog,46.6
68,fog,27.78
33,fog,77.78
12,fog,35.71
81,fog,22.22
29,fog,17.54
102,fog,4.0
75,fog,60.78
99,fog,5.26
61,fog,41.07
69,fog,36.36
59,fog,70.37
40,fog,65.96
49,fog,62.5
77,fog,22.46
60,fog,15.87
11,fog,48.89
41,fog,61.86
73,fog,28.57
62,fog,42.42
38,fog,0.0
72,fog,36.05
91,fog,42.37
35,fog,45.71
43,fog,27.78
76,fog,27.78
18,fog,20.0
71,fog,16.67
17,fog,44.23
7,fog,7.5
2,fog,64.81
89,fog,25.0
92,fog,8.33
54,fog,25.0
65,fog,0.0
4,fog,11.11
80,fog,33.33
42,fog,37.18
39,fog,18.18
64,fog,9.09
3,fog,38.1
34,fog,80.95
93,fog,24.14
88,fog,17.86
10,fog,53.85
100,fog,0.0
56,fog,8.33
25,fog,42.86
82,fog,0.0
8,fog,0.0
14,fog,0.0
101,fog,20.0
85,fog,22.22
9,fog,0.0
13,fog,25.0
24,fog,20.0
84,fog,0.0
96,fog,57.14
5,fog,28.57
98,fog,0.0
94,fog,0.0
95,fog,0.0
44,fog,42.86
