filter,ideal_42,noise_42
Original,94.46426276476006,92.42847539138441
fognight,40.89772945871278,64.0030307991405
fogsnow,32.52825744397831,67.56364166581398
fograin,41.942142637879876,73.99939936559912
rainnight,62.66192673692827,73.73334186022714
snownight,25.72407244448992,56.91125959275555
