class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,94.31,95.12,95.93,96.75,94.31,96.75,95.12,96.75,95.12,95.93,95.93,123
1,88.64,88.64,84.09,86.36,86.36,88.64,84.09,84.09,84.09,88.64,86.36,44
2,85.19,85.19,79.63,77.78,77.78,75.93,77.78,75.93,74.07,70.37,74.07,54
3,61.9,61.9,61.9,61.9,61.9,61.9,61.9,57.14,61.9,47.62,57.14,21
4,66.67,77.78,88.89,77.78,88.89,77.78,88.89,88.89,88.89,88.89,88.89,9
5,71.43,71.43,71.43,71.43,57.14,57.14,57.14,71.43,85.71,85.71,57.14,7
6,88.33,86.67,86.67,86.67,86.67,86.67,85.0,86.67,86.67,85.0,85.0,60
7,70.0,80.0,75.0,82.5,77.5,75.0,75.0,82.5,82.5,75.0,72.5,40
8,0.0,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,76.92,76.92,76.92,84.62,13
11,91.11,93.33,93.33,93.33,93.33,93.33,93.33,91.11,93.33,93.33,88.89,45
12,95.92,95.92,94.9,94.9,93.88,94.9,96.94,96.94,96.94,92.86,92.86,98
13,75.0,50.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,25.0,25.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,90.51,89.87,90.51,89.87,89.87,89.24,90.51,90.51,90.51,88.61,79.75,158
16,92.67,93.77,93.77,93.41,93.04,93.41,92.67,92.67,92.67,91.94,88.28,273
17,84.62,86.54,86.54,86.54,86.54,86.54,84.62,84.62,86.54,84.62,78.85,52
18,60.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,20.0,5
19,88.68,87.74,87.74,87.74,87.74,88.68,87.74,89.62,89.62,86.79,88.68,106
20,95.67,95.67,95.67,95.24,95.67,95.67,95.67,95.24,94.81,94.37,93.07,231
21,94.62,94.62,93.55,93.55,91.4,90.32,89.25,89.25,84.95,79.57,76.34,93
22,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.46,80.0,78.46,65
23,96.0,96.0,96.62,96.31,96.0,95.38,96.62,96.0,93.85,95.38,94.77,325
24,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,20
25,76.19,80.95,80.95,80.95,80.95,80.95,80.95,76.19,80.95,76.19,80.95,21
26,90.91,90.91,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,86.36,22
27,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,17
28,96.48,94.92,95.7,96.48,96.48,96.48,96.09,97.27,96.09,93.75,92.19,256
29,82.46,77.19,78.95,71.93,75.44,71.93,73.68,70.18,77.19,66.67,71.93,57
