class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,99.19,93.5,87.8,81.3,65.85,47.15,30.08,12.2,4.88,0.81,0.0,123
1,93.18,75.0,70.45,65.91,54.55,47.73,38.64,18.18,18.18,2.27,0.0,44
2,85.19,81.48,83.33,57.41,53.7,31.48,20.37,3.7,3.7,0.0,0.0,54
3,71.43,57.14,57.14,52.38,33.33,19.05,9.52,4.76,0.0,9.52,0.0,21
4,88.89,44.44,55.56,55.56,44.44,22.22,11.11,0.0,0.0,0.0,0.0,9
5,100.0,85.71,85.71,85.71,57.14,14.29,42.86,0.0,28.57,0.0,0.0,7
6,93.33,75.0,68.33,66.67,40.0,26.67,13.33,10.0,5.0,1.67,1.67,60
7,72.5,37.5,35.0,22.5,5.0,7.5,2.5,0.0,0.0,0.0,0.0,40
8,100.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,3
10,92.31,46.15,38.46,61.54,7.69,23.08,7.69,0.0,0.0,0.0,0.0,13
11,95.56,88.89,68.89,64.44,55.56,24.44,11.11,6.67,2.22,6.67,0.0,45
12,92.86,66.33,60.2,45.92,42.86,27.55,19.39,6.12,0.0,0.0,0.0,98
13,75.0,75.0,50.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.3,86.08,81.65,70.25,62.03,47.47,29.11,7.59,5.06,2.53,0.0,158
16,94.51,86.81,87.55,78.75,69.6,59.71,43.59,28.57,15.38,9.89,6.23,273
17,88.46,90.38,76.92,69.23,63.46,44.23,34.62,9.62,3.85,1.92,0.0,52
18,80.0,20.0,40.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5
19,95.28,83.02,78.3,50.0,37.74,33.02,16.04,6.6,0.0,0.0,0.0,106
20,98.27,91.34,91.77,87.01,77.06,65.37,45.02,25.97,14.29,2.6,0.0,231
21,92.47,78.49,66.67,53.76,37.63,24.73,15.05,11.83,4.3,2.15,0.0,93
22,83.08,81.54,76.92,75.38,72.31,70.77,56.92,29.23,16.92,1.54,0.0,65
23,96.31,91.08,88.0,84.92,74.77,65.85,49.85,25.54,11.08,2.77,0.0,325
24,60.0,50.0,40.0,25.0,15.0,5.0,10.0,0.0,0.0,0.0,0.0,20
25,95.24,85.71,80.95,66.67,66.67,52.38,38.1,28.57,19.05,0.0,0.0,21
26,95.45,68.18,72.73,50.0,36.36,40.91,22.73,9.09,0.0,0.0,0.0,22
27,5.88,5.88,0.0,0.0,5.88,11.76,0.0,0.0,0.0,0.0,0.0,17
28,99.22,80.47,73.83,64.45,52.34,38.67,25.78,14.84,7.42,1.56,0.0,256
29,94.74,54.39,43.86,36.84,19.3,21.05,12.28,3.51,0.0,0.0,0.0,57
30,98.38,92.34,90.49,89.1,83.76,76.57,61.72,38.52,19.95,10.21,4.18,431
31,92.22,89.44,84.44,84.44,75.56,70.56,50.0,38.33,15.56,7.22,4.44,180
32,97.47,87.64,87.64,82.3,75.0,69.94,53.93,44.66,23.6,9.55,4.21,356
33,83.33,77.78,72.22,72.22,55.56,44.44,16.67,16.67,0.0,0.0,0.0,18
34,100.0,100.0,100.0,95.24,95.24,52.38,52.38,14.29,4.76,0.0,0.0,21
35,94.29,68.57,80.0,65.71,54.29,42.86,28.57,11.43,8.57,17.14,17.14,35
36,100.0,95.45,94.81,92.21,87.01,79.87,68.18,48.7,21.43,5.19,1.3,154
37,97.12,94.24,89.21,79.86,66.91,56.12,38.85,17.27,9.35,0.72,1.44,139
38,66.67,55.56,33.33,22.22,33.33,11.11,33.33,0.0,0.0,0.0,0.0,9
39,87.88,72.73,69.7,54.55,42.42,39.39,15.15,0.0,0.0,0.0,0.0,33
40,91.49,85.11,85.11,76.6,61.7,38.3,29.79,10.64,2.13,0.0,0.0,47
41,94.85,91.75,94.85,85.57,84.54,77.32,59.79,36.08,7.22,2.06,0.0,97
42,94.87,89.74,89.74,80.77,74.36,58.97,39.74,23.08,3.85,0.0,0.0,78
43,96.3,92.59,85.19,79.63,68.52,57.41,29.63,12.96,5.56,0.0,0.0,54
44,100.0,71.43,85.71,57.14,57.14,42.86,14.29,0.0,0.0,0.0,0.0,7
