class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,95.12,95.12,96.75,95.12,91.06,91.87,89.43,91.87,91.06,85.37,86.18,123
1,93.18,90.91,93.18,84.09,84.09,86.36,88.64,77.27,72.73,79.55,70.45,44
2,90.74,92.59,90.74,87.04,87.04,81.48,85.19,83.33,79.63,79.63,75.93,54
3,76.19,71.43,66.67,76.19,66.67,57.14,57.14,66.67,61.9,57.14,66.67,21
4,88.89,77.78,88.89,77.78,88.89,88.89,55.56,66.67,77.78,66.67,88.89,9
5,85.71,85.71,85.71,85.71,85.71,71.43,85.71,85.71,71.43,85.71,85.71,7
6,90.0,88.33,88.33,83.33,85.0,81.67,85.0,76.67,76.67,75.0,66.67,60
7,87.5,90.0,80.0,72.5,67.5,50.0,52.5,47.5,45.0,42.5,32.5,40
8,33.33,33.33,33.33,33.33,33.33,0.0,33.33,0.0,0.0,33.33,33.33,3
9,33.33,33.33,66.67,33.33,66.67,33.33,66.67,33.33,33.33,66.67,33.33,3
10,92.31,84.62,92.31,84.62,92.31,100.0,92.31,100.0,76.92,100.0,84.62,13
11,86.67,84.44,84.44,86.67,77.78,71.11,71.11,64.44,48.89,48.89,60.0,45
12,95.92,92.86,94.9,86.73,85.71,84.69,83.67,79.59,70.41,73.47,67.35,98
13,50.0,25.0,50.0,50.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
14,33.33,33.33,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3
15,95.57,96.2,96.84,94.94,94.94,94.94,93.04,95.57,91.14,89.24,87.97,158
16,92.31,91.58,91.58,90.48,90.48,87.55,89.74,86.81,84.25,83.15,81.68,273
17,88.46,88.46,88.46,86.54,86.54,88.46,84.62,80.77,86.54,82.69,82.69,52
18,60.0,80.0,60.0,60.0,40.0,60.0,40.0,40.0,40.0,60.0,40.0,5
19,95.28,91.51,94.34,83.02,81.13,74.53,77.36,75.47,66.98,70.75,63.21,106
20,97.84,97.4,96.1,93.94,96.54,90.48,92.21,89.18,91.34,88.74,85.28,231
21,92.47,89.25,88.17,89.25,86.02,84.95,89.25,83.87,77.42,72.04,77.42,93
22,81.54,80.0,80.0,81.54,83.08,83.08,81.54,80.0,78.46,76.92,80.0,65
23,98.15,98.15,98.15,96.92,96.62,94.46,94.15,92.92,92.62,92.62,91.69,325
24,80.0,85.0,80.0,80.0,90.0,65.0,70.0,60.0,65.0,65.0,60.0,20
25,95.24,95.24,100.0,85.71,95.24,85.71,76.19,80.95,71.43,52.38,61.9,21
26,86.36,86.36,86.36,90.91,81.82,90.91,90.91,81.82,77.27,81.82,81.82,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.48,94.53,91.8,89.45,86.72,85.55,83.59,79.69,74.61,76.17,71.48,256
