class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,95.12,91.87,91.06,91.87,86.18,76.42,65.04,43.9,18.7,6.5,0.0,123
1,93.18,90.91,90.91,88.64,84.09,79.55,61.36,45.45,34.09,11.36,0.0,44
2,75.93,75.93,75.93,61.11,70.37,62.96,57.41,50.0,31.48,7.41,0.0,54
3,57.14,61.9,57.14,57.14,42.86,38.1,38.1,19.05,4.76,0.0,0.0,21
4,88.89,66.67,77.78,44.44,22.22,11.11,22.22,0.0,0.0,0.0,0.0,9
5,85.71,85.71,71.43,42.86,57.14,14.29,28.57,0.0,0.0,0.0,0.0,7
6,86.67,85.0,85.0,78.33,81.67,80.0,55.0,33.33,20.0,1.67,0.0,60
7,87.5,47.5,47.5,40.0,37.5,27.5,40.0,17.5,15.0,5.0,0.0,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3
10,76.92,69.23,76.92,76.92,61.54,61.54,38.46,7.69,7.69,0.0,0.0,13
11,84.44,77.78,73.33,68.89,55.56,55.56,26.67,11.11,6.67,0.0,0.0,45
12,90.82,74.49,78.57,71.43,64.29,56.12,46.94,28.57,11.22,1.02,0.0,98
13,25.0,25.0,25.0,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,4
14,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,93.04,92.41,93.04,91.77,91.14,87.34,78.48,60.13,39.24,13.92,3.16,158
16,91.94,89.74,87.55,85.71,85.71,81.68,71.43,60.81,38.1,10.62,2.2,273
17,76.92,86.54,84.62,86.54,75.0,82.69,59.62,51.92,17.31,7.69,0.0,52
18,80.0,40.0,60.0,40.0,60.0,20.0,20.0,20.0,0.0,0.0,0.0,5
19,90.57,86.79,85.85,86.79,79.25,72.64,53.77,45.28,24.53,4.72,0.0,106
20,97.84,96.54,93.07,91.77,90.91,84.42,76.62,63.64,39.39,6.93,0.0,231
21,84.95,76.34,73.12,74.19,64.52,62.37,43.01,32.26,16.13,4.3,0.0,93
22,81.54,78.46,78.46,78.46,78.46,76.92,64.62,50.77,32.31,6.15,0.0,65
23,96.31,94.46,93.23,91.69,91.08,86.77,75.69,64.31,44.92,18.15,1.54,325
24,80.0,75.0,75.0,65.0,60.0,45.0,25.0,15.0,5.0,0.0,0.0,20
25,76.19,61.9,66.67,66.67,57.14,52.38,52.38,19.05,14.29,4.76,0.0,21
26,90.91,90.91,90.91,90.91,81.82,72.73,50.0,36.36,9.09,4.55,0.0,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,97.27,95.31,95.7,95.31,95.31,92.58,84.38,75.0,63.67,33.2,1.17,256
29,85.96,68.42,59.65,56.14,47.37,38.6,21.05,5.26,0.0,0.0,0.0,57
30,98.38,97.91,96.98,96.98,97.22,95.82,93.5,87.94,79.35,56.84,3.25,431
31,88.33,89.44,87.22,89.44,86.11,86.11,84.44,74.44,61.67,22.22,1.67,180
32,96.35,94.94,93.82,92.42,92.13,91.01,90.45,85.11,80.34,62.08,13.2,356
33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,55.56,33.33,0.0,0.0,18
34,100.0,100.0,100.0,100.0,100.0,100.0,90.48,76.19,33.33,9.52,0.0,21
35,88.57,85.71,82.86,77.14,71.43,74.29,71.43,45.71,25.71,11.43,0.0,35
36,98.7,98.7,94.81,96.75,94.81,92.21,89.61,84.42,69.48,39.61,3.25,154
37,94.96,97.12,96.4,97.12,95.68,94.24,87.05,73.38,54.68,30.94,4.32,139
