class,filters,error
57,fog3,80.1
49,fog3,76.79
68,fog3,83.33
0,fog3,89.43
50,fog3,83.09
20,fog3,94.81
23,fog3,94.77
97,fog3,65.08
2,fog3,70.37
6,fog3,83.33
63,fog3,93.33
4,fog3,33.33
78,fog3,93.91
93,fog3,50.0
26,fog3,81.82
46,fog3,95.69
70,fog3,100.0
21,fog3,87.1
31,fog3,91.11
30,fog3,97.22
53,fog3,78.99
79,fog3,90.29
45,fog3,97.36
32,fog3,94.94
48,fog3,90.74
74,fog3,92.72
51,fog3,83.13
90,fog3,96.76
43,fog3,87.04
16,fog3,93.41
66,fog3,84.62
62,fog3,66.67
71,fog3,87.5
29,fog3,49.12
86,fog3,89.89
36,fog3,94.81
15,fog3,91.14
91,fog3,86.44
85,fog3,0.0
87,fog3,66.46
41,fog3,88.66
10,fog3,69.23
77,fog3,76.09
73,fog3,93.88
67,fog3,98.33
28,fog3,95.31
52,fog3,90.5
83,fog3,92.31
55,fog3,82.25
3,fog3,52.38
37,fog3,96.4
19,fog3,77.36
17,fog3,55.77
61,fog3,85.71
65,fog3,11.11
47,fog3,70.37
72,fog3,91.86
75,fog3,76.47
88,fog3,64.29
24,fog3,55.0
18,fog3,40.0
102,fog3,88.0
40,fog3,82.98
76,fog3,61.11
94,fog3,0.0
39,fog3,75.76
11,fog3,73.33
9,fog3,66.67
1,fog3,86.36
89,fog3,12.5
80,fog3,100.0
12,fog3,79.59
58,fog3,75.0
81,fog3,83.33
33,fog3,66.67
7,fog3,52.5
22,fog3,83.08
14,fog3,0.0
42,fog3,84.62
38,fog3,66.67
60,fog3,65.08
44,fog3,85.71
25,fog3,61.9
92,fog3,16.67
34,fog3,100.0
56,fog3,58.33
35,fog3,82.86
27,fog3,11.76
54,fog3,31.25
100,fog3,50.0
99,fog3,78.95
101,fog3,100.0
96,fog3,57.14
69,fog3,72.73
8,fog3,0.0
59,fog3,96.3
82,fog3,57.14
64,fog3,36.36
5,fog3,71.43
95,fog3,0.0
98,fog3,33.33
84,fog3,0.0
13,fog3,75.0
