class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,91.87,91.06,89.43,86.18,82.11,82.93,54.47,26.02,0.81,0.0,123
1,84.09,88.64,84.09,86.36,81.82,84.09,70.45,52.27,29.55,6.82,2.27,44
2,81.48,74.07,77.78,70.37,70.37,66.67,55.56,33.33,9.26,0.0,0.0,54
3,47.62,52.38,57.14,52.38,47.62,47.62,52.38,23.81,4.76,0.0,0.0,21
4,77.78,77.78,77.78,33.33,55.56,33.33,33.33,11.11,0.0,11.11,0.0,9
5,85.71,85.71,85.71,71.43,57.14,28.57,42.86,14.29,0.0,0.0,0.0,7
6,90.0,90.0,85.0,83.33,75.0,83.33,58.33,46.67,25.0,0.0,0.0,60
7,80.0,55.0,52.5,52.5,40.0,30.0,22.5,7.5,12.5,0.0,0.0,40
8,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,0.0,0.0,0.0,3
10,84.62,84.62,69.23,69.23,61.54,61.54,30.77,15.38,7.69,0.0,0.0,13
11,93.33,82.22,82.22,73.33,73.33,44.44,37.78,15.56,6.67,0.0,0.0,45
12,92.86,87.76,85.71,79.59,71.43,71.43,52.04,44.9,31.63,11.22,0.0,98
13,75.0,75.0,100.0,75.0,50.0,25.0,75.0,50.0,25.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,93.04,91.77,93.04,91.14,90.51,85.44,74.68,55.06,28.48,4.43,0.0,158
16,93.04,93.04,93.77,93.41,91.21,86.81,83.88,73.99,50.92,20.88,0.0,273
17,73.08,57.69,69.23,55.77,50.0,40.38,44.23,25.0,15.38,0.0,0.0,52
18,60.0,40.0,60.0,40.0,80.0,20.0,0.0,20.0,20.0,0.0,0.0,5
19,91.51,83.02,83.96,77.36,73.58,67.92,63.21,48.11,23.58,7.55,0.0,106
20,96.97,96.54,95.24,94.81,93.07,89.61,83.55,65.37,50.65,22.94,0.43,231
