class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,98.37,63.41,38.21,56.91,77.24,33.33,123
1,93.18,45.45,29.55,40.91,63.64,15.91,44
2,90.74,48.15,31.48,35.19,70.37,31.48,54
3,71.43,14.29,19.05,14.29,61.9,23.81,21
4,88.89,11.11,11.11,22.22,44.44,11.11,9
5,85.71,71.43,28.57,57.14,71.43,0.0,7
6,86.67,21.67,20.0,20.0,50.0,23.33,60
7,90.0,15.0,7.5,12.5,35.0,10.0,40
8,66.67,0.0,0.0,0.0,0.0,0.0,3
9,33.33,0.0,0.0,33.33,0.0,0.0,3
10,76.92,38.46,7.69,30.77,69.23,46.15,13
11,97.78,13.33,13.33,17.78,57.78,4.44,45
12,94.9,34.69,30.61,30.61,59.18,15.31,98
13,100.0,0.0,0.0,0.0,25.0,25.0,4
14,66.67,0.0,0.0,0.0,0.0,0.0,3
15,98.1,44.94,31.01,45.57,64.56,18.99,158
16,93.41,58.61,49.08,57.88,73.26,35.16,273
17,88.46,36.54,25.0,36.54,61.54,28.85,52
18,40.0,20.0,20.0,20.0,40.0,0.0,5
19,95.28,21.7,12.26,23.58,63.21,12.26,106
20,97.84,59.74,50.22,63.2,82.68,46.75,231
21,95.7,30.11,25.81,29.03,62.37,31.18,93
22,83.08,69.23,53.85,56.92,72.31,41.54,65
23,97.23,64.0,48.62,61.54,75.08,40.62,325
24,85.0,30.0,10.0,20.0,35.0,30.0,20
25,80.95,23.81,23.81,28.57,47.62,14.29,21
26,95.45,31.82,22.73,18.18,72.73,31.82,22
27,17.65,11.76,11.76,0.0,5.88,5.88,17
28,98.05,23.83,30.86,32.42,52.73,19.92,256
29,96.49,40.35,22.81,31.58,56.14,14.04,57
30,98.84,76.8,71.23,77.03,80.28,53.13,431
31,93.33,46.67,35.56,51.11,71.11,25.56,180
32,97.75,52.53,46.07,63.76,61.8,24.72,356
33,83.33,77.78,66.67,77.78,77.78,22.22,18
34,100.0,47.62,23.81,52.38,80.95,9.52,21
35,91.43,0.0,11.43,17.14,45.71,5.71,35
36,99.35,64.29,61.69,77.27,85.71,49.35,154
37,94.96,17.99,11.51,20.86,56.12,7.19,139
38,100.0,33.33,33.33,44.44,66.67,0.0,9
39,93.94,36.36,42.42,36.36,57.58,18.18,33
40,93.62,29.79,34.04,36.17,68.09,27.66,47
41,97.94,65.98,48.45,65.98,74.23,27.84,97
42,96.15,38.46,35.9,48.72,78.21,21.79,78
43,98.15,37.04,40.74,57.41,64.81,16.67,54
44,100.0,28.57,57.14,28.57,71.43,28.57,7
45,99.62,58.87,41.51,59.25,72.83,32.45,265
