filter,ideal_42,noise_42
Original,95.07829632661414,92.64341962549881
fognight,41.512435280875884,63.747616903714324
fogsnow,35.107152358538826,65.13890617006037
fograin,46.014318019032025,72.99757290494219
rainnight,62.222802619461795,71.86164432620485
snownight,24.813156656093316,51.19197073570041
