class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,96.75,76.42,65.04,76.42,82.11,53.66,123
1,86.36,61.36,38.64,54.55,70.45,45.45,44
2,90.74,61.11,50.0,50.0,68.52,40.74,54
3,71.43,33.33,19.05,47.62,42.86,28.57,21
4,55.56,22.22,0.0,11.11,22.22,22.22,9
5,71.43,42.86,42.86,42.86,42.86,0.0,7
6,91.67,63.33,33.33,61.67,63.33,36.67,60
7,87.5,35.0,25.0,25.0,50.0,15.0,40
8,66.67,0.0,0.0,0.0,0.0,0.0,3
9,66.67,33.33,33.33,0.0,0.0,0.0,3
10,84.62,53.85,38.46,53.85,76.92,61.54,13
11,86.67,44.44,26.67,55.56,53.33,20.0,45
12,93.88,69.39,43.88,58.16,66.33,45.92,98
13,75.0,25.0,25.0,25.0,0.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,3
15,88.61,72.78,60.13,69.62,76.58,52.53,158
16,91.94,84.25,73.63,82.05,82.42,64.1,273
17,78.85,42.31,38.46,55.77,59.62,30.77,52
18,80.0,40.0,40.0,60.0,40.0,40.0,5
19,94.34,58.49,53.77,63.21,71.7,46.23,106
20,96.54,73.16,71.43,80.95,77.49,51.52,231
21,92.47,51.61,53.76,64.52,61.29,30.11,93
22,78.46,75.38,72.31,76.92,73.85,50.77,65
23,96.31,87.38,78.46,88.92,84.62,65.54,325
24,55.0,20.0,30.0,25.0,25.0,15.0,20
25,76.19,52.38,28.57,33.33,57.14,33.33,21
26,86.36,68.18,59.09,72.73,68.18,27.27,22
27,0.0,0.0,0.0,0.0,5.88,0.0,17
28,95.7,67.97,65.62,67.58,76.56,47.66,256
29,80.7,17.54,28.07,38.6,36.84,24.56,57
30,97.45,90.26,88.4,90.49,91.88,82.37,431
31,92.78,81.67,70.56,80.0,84.44,57.78,180
32,97.47,74.16,82.02,85.96,73.88,62.64,356
33,83.33,66.67,61.11,66.67,66.67,61.11,18
34,100.0,80.95,71.43,80.95,90.48,52.38,21
35,88.57,20.0,28.57,22.86,45.71,28.57,35
36,98.05,87.01,88.96,92.21,93.51,67.53,154
37,94.96,59.71,44.6,51.8,69.06,37.41,139
38,66.67,33.33,44.44,22.22,11.11,11.11,9
39,81.82,36.36,45.45,45.45,54.55,39.39,33
40,95.74,76.6,53.19,74.47,72.34,51.06,47
41,93.81,83.51,80.41,82.47,84.54,72.16,97
42,94.87,66.67,71.79,76.92,79.49,61.54,78
43,96.3,77.78,64.81,70.37,74.07,48.15,54
44,71.43,71.43,42.86,42.86,71.43,0.0,7
45,99.25,90.94,84.91,93.21,88.68,68.3,265
46,96.86,70.2,72.16,83.53,73.73,49.41,255
47,66.67,37.04,37.04,37.04,55.56,11.11,27
48,92.9,78.7,64.81,77.47,72.53,47.84,324
49,91.07,76.79,48.21,57.14,75.0,46.43,56
50,94.93,71.74,59.42,69.81,73.67,52.17,414
51,95.06,67.08,53.5,60.08,74.07,41.15,243
52,95.66,75.62,70.66,77.89,80.37,59.09,484
53,86.55,39.92,33.19,49.16,52.52,23.53,238
54,50.0,18.75,6.25,25.0,25.0,12.5,16
55,91.34,58.01,45.02,57.14,67.97,44.16,231
