class,filters,error
30,rainnight,91.88
78,rainnight,79.19
21,rainnight,61.29
17,rainnight,59.62
46,rainnight,73.73
48,rainnight,72.53
31,rainnight,84.44
51,rainnight,74.07
23,rainnight,84.62
50,rainnight,73.67
12,rainnight,66.33
49,rainnight,75.0
53,rainnight,52.52
59,rainnight,62.96
6,rainnight,63.33
45,rainnight,88.68
36,rainnight,93.51
66,rainnight,38.46
16,rainnight,82.42
67,rainnight,77.78
15,rainnight,76.58
43,rainnight,74.07
79,rainnight,79.61
32,rainnight,73.88
63,rainnight,48.0
52,rainnight,80.37
77,rainnight,58.7
19,rainnight,71.7
55,rainnight,67.97
24,rainnight,25.0
97,rainnight,53.97
86,rainnight,73.03
83,rainnight,80.77
81,rainnight,83.33
22,rainnight,73.85
2,rainnight,68.52
90,rainnight,79.94
57,rainnight,66.84
87,rainnight,43.04
39,rainnight,54.55
68,rainnight,72.22
102,rainnight,72.0
28,rainnight,76.56
70,rainnight,82.76
20,rainnight,77.49
7,rainnight,50.0
35,rainnight,45.71
73,rainnight,71.43
85,rainnight,0.0
47,rainnight,55.56
40,rainnight,72.34
0,rainnight,82.11
37,rainnight,69.06
74,rainnight,72.82
4,rainnight,22.22
42,rainnight,79.49
93,rainnight,5.17
61,rainnight,78.57
75,rainnight,84.31
1,rainnight,70.45
91,rainnight,69.49
60,rainnight,74.6
41,rainnight,84.54
27,rainnight,5.88
29,rainnight,36.84
72,rainnight,83.72
11,rainnight,53.33
56,rainnight,37.5
14,rainnight,0.0
64,rainnight,45.45
69,rainnight,72.73
34,rainnight,90.48
62,rainnight,66.67
26,rainnight,68.18
76,rainnight,44.44
44,rainnight,71.43
71,rainnight,66.67
99,rainnight,63.16
88,rainnight,53.57
3,rainnight,42.86
5,rainnight,42.86
25,rainnight,57.14
100,rainnight,16.67
38,rainnight,11.11
94,rainnight,0.0
84,rainnight,25.0
33,rainnight,66.67
92,rainnight,8.33
65,rainnight,11.11
18,rainnight,40.0
101,rainnight,100.0
98,rainnight,33.33
54,rainnight,25.0
82,rainnight,28.57
89,rainnight,37.5
9,rainnight,0.0
58,rainnight,50.0
96,rainnight,14.29
10,rainnight,76.92
13,rainnight,0.0
8,rainnight,0.0
80,rainnight,66.67
95,rainnight,0.0
