class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,97.56,96.75,96.75,94.31,97.56,96.75,92.68,93.5,94.31,91.87,94.31,123
1,90.91,88.64,88.64,93.18,88.64,90.91,88.64,90.91,90.91,90.91,86.36,44
2,85.19,87.04,85.19,87.04,87.04,83.33,81.48,81.48,77.78,77.78,79.63,54
3,71.43,66.67,76.19,71.43,61.9,66.67,76.19,71.43,71.43,71.43,71.43,21
4,66.67,66.67,66.67,66.67,44.44,44.44,55.56,55.56,44.44,66.67,55.56,9
5,85.71,100.0,71.43,71.43,85.71,71.43,85.71,71.43,71.43,100.0,85.71,7
6,86.67,86.67,85.0,86.67,83.33,86.67,88.33,75.0,80.0,81.67,80.0,60
7,85.0,85.0,75.0,80.0,80.0,75.0,72.5,80.0,65.0,75.0,70.0,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
10,92.31,92.31,92.31,84.62,84.62,92.31,84.62,92.31,92.31,84.62,84.62,13
11,86.67,84.44,91.11,88.89,82.22,91.11,88.89,84.44,86.67,86.67,86.67,45
12,92.86,92.86,90.82,91.84,89.8,90.82,89.8,90.82,87.76,89.8,85.71,98
13,25.0,25.0,25.0,25.0,25.0,50.0,25.0,50.0,25.0,25.0,25.0,4
14,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
15,94.3,93.67,92.41,91.77,93.67,92.41,93.04,90.51,92.41,91.14,89.87,158
16,91.58,90.84,89.74,90.84,89.74,91.94,89.01,89.01,89.01,87.91,90.11,273
17,80.77,82.69,84.62,86.54,84.62,88.46,84.62,84.62,80.77,80.77,84.62,52
18,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,5
19,85.85,85.85,86.79,88.68,86.79,85.85,89.62,88.68,85.85,92.45,89.62,106
20,97.4,96.54,97.4,97.4,96.97,96.54,96.54,97.4,95.24,94.81,96.1,231
21,90.32,91.4,89.25,89.25,89.25,90.32,88.17,92.47,87.1,88.17,87.1,93
22,81.54,80.0,80.0,81.54,80.0,80.0,81.54,80.0,80.0,80.0,80.0,65
23,96.31,96.0,96.62,96.92,97.85,96.92,95.69,96.31,96.0,96.31,96.62,325
24,70.0,70.0,65.0,75.0,75.0,70.0,80.0,55.0,55.0,65.0,65.0,20
25,90.48,76.19,80.95,76.19,76.19,66.67,80.95,71.43,80.95,80.95,80.95,21
26,90.91,90.91,90.91,90.91,90.91,86.36,90.91,90.91,90.91,90.91,90.91,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
