category,images,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42
Dangerous warning,2228,92.23513464991025,39.31776929982046,33.48348743267505,41.69728904847396,63.64371184919212,26.885192998204666
Regularoty,7545,95.32150033134528,39.73465606361828,34.274153744201456,44.480369781312135,63.31259907223327,27.143127899271036
