class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,98.37,45.53,32.52,43.09,78.86,39.02,123
1,90.91,27.27,11.36,36.36,52.27,25.0,44
2,87.04,50.0,29.63,40.74,59.26,22.22,54
3,61.9,28.57,4.76,14.29,38.1,9.52,21
4,77.78,33.33,33.33,22.22,77.78,22.22,9
5,100.0,42.86,0.0,14.29,85.71,0.0,7
6,98.33,20.0,13.33,21.67,46.67,11.67,60
7,87.5,0.0,2.5,0.0,42.5,7.5,40
8,66.67,0.0,0.0,0.0,66.67,0.0,3
9,33.33,33.33,33.33,0.0,33.33,33.33,3
10,92.31,30.77,15.38,38.46,69.23,30.77,13
11,91.11,8.89,20.0,28.89,33.33,15.56,45
12,90.82,41.84,33.67,38.78,66.33,26.53,98
13,100.0,0.0,0.0,0.0,50.0,0.0,4
14,33.33,0.0,0.0,0.0,33.33,0.0,3
15,91.77,34.81,31.65,34.81,65.19,25.95,158
16,91.58,51.65,49.82,54.21,71.06,34.07,273
17,90.38,28.85,15.38,15.38,46.15,17.31,52
18,80.0,20.0,0.0,40.0,40.0,0.0,5
19,93.4,16.04,8.49,16.98,54.72,11.32,106
20,96.1,53.25,53.25,63.64,74.89,47.19,231
21,92.47,10.75,16.13,23.66,58.06,26.88,93
22,78.46,49.23,44.62,52.31,58.46,29.23,65
23,96.92,67.38,52.92,67.08,79.08,34.15,325
24,70.0,5.0,5.0,5.0,30.0,25.0,20
25,95.24,23.81,19.05,28.57,52.38,14.29,21
26,95.45,36.36,27.27,40.91,59.09,18.18,22
27,11.76,11.76,5.88,11.76,5.88,5.88,17
28,96.88,25.0,23.05,31.64,53.12,12.89,256
29,91.23,24.56,24.56,21.05,61.4,19.3,57
30,98.61,78.42,65.2,77.03,85.38,55.22,431
31,95.56,54.44,38.33,48.33,69.44,28.33,180
32,97.75,50.84,48.31,55.06,65.45,29.49,356
33,83.33,61.11,55.56,55.56,77.78,33.33,18
34,100.0,38.1,33.33,38.1,76.19,28.57,21
35,97.14,25.71,20.0,17.14,54.29,22.86,35
36,100.0,46.75,62.99,62.99,80.52,40.91,154
37,94.24,11.51,2.88,12.23,36.69,5.76,139
38,55.56,11.11,11.11,11.11,22.22,22.22,9
39,81.82,39.39,27.27,24.24,51.52,36.36,33
40,89.36,34.04,27.66,36.17,63.83,27.66,47
41,96.91,71.13,57.73,73.2,84.54,42.27,97
42,97.44,35.9,43.59,48.72,74.36,34.62,78
43,92.59,27.78,25.93,37.04,62.96,24.07,54
44,100.0,42.86,14.29,42.86,71.43,28.57,7
45,99.62,41.51,43.4,53.21,69.43,31.32,265
46,97.25,40.0,27.45,35.29,61.57,25.49,255
47,88.89,7.41,18.52,11.11,48.15,3.7,27
48,95.06,33.95,31.79,37.65,62.04,23.77,324
49,92.86,37.5,21.43,42.86,67.86,28.57,56
50,95.41,39.37,30.43,37.2,65.46,35.02,414
51,96.71,40.33,26.34,35.39,62.55,25.93,243
52,98.76,41.12,32.44,40.5,64.46,23.14,484
53,89.5,11.34,8.4,16.39,46.64,13.45,238
54,62.5,0.0,6.25,12.5,31.25,0.0,16
55,97.84,13.42,3.46,16.02,45.02,9.09,231
56,70.83,0.0,8.33,0.0,16.67,0.0,24
57,96.94,30.61,20.41,30.1,58.67,24.49,196
58,83.33,8.33,8.33,0.0,8.33,0.0,12
59,100.0,25.93,7.41,29.63,70.37,14.81,27
60,100.0,41.27,20.63,34.92,65.08,12.7,63
61,100.0,32.14,19.64,26.79,60.71,12.5,56
62,87.88,30.3,27.27,18.18,63.64,15.15,33
63,96.44,16.89,35.56,47.11,39.56,11.56,225
64,54.55,0.0,0.0,9.09,9.09,0.0,11
65,33.33,0.0,0.0,11.11,11.11,0.0,9
66,90.0,10.0,25.38,30.0,36.92,5.38,130
67,100.0,46.67,26.11,39.44,67.78,19.44,180
68,94.44,52.78,13.89,41.67,66.67,33.33,36
69,81.82,63.64,36.36,54.55,81.82,18.18,11
70,100.0,65.52,34.48,60.34,84.48,31.03,58
71,100.0,8.33,8.33,25.0,41.67,25.0,24
72,97.67,58.14,39.53,58.14,70.93,36.05,86
73,95.92,59.18,57.14,73.47,79.59,44.9,49
74,98.54,43.2,48.54,55.34,65.53,31.55,206
75,92.16,58.82,52.94,70.59,74.51,35.29,51
76,77.78,16.67,5.56,16.67,38.89,27.78,18
77,92.75,42.03,42.03,57.97,62.32,39.86,138
78,97.97,41.62,17.77,45.18,64.97,20.3,197
79,95.15,46.6,45.63,64.08,82.52,37.86,103
80,100.0,33.33,0.0,33.33,66.67,0.0,3
81,88.89,41.67,25.0,44.44,61.11,22.22,36
82,100.0,14.29,0.0,14.29,28.57,14.29,7
83,97.44,38.46,23.08,44.87,70.51,16.67,78
84,0.0,0.0,0.0,0.0,0.0,25.0,4
85,44.44,0.0,0.0,0.0,11.11,0.0,9
86,94.94,19.1,28.09,31.46,58.43,21.35,178
87,94.3,18.99,24.05,37.97,41.77,13.29,158
88,85.71,25.0,7.14,14.29,42.86,14.29,28
89,100.0,25.0,12.5,50.0,75.0,25.0,8
90,98.71,54.05,56.15,65.86,78.96,40.61,618
91,98.31,42.37,30.51,52.54,61.02,15.25,59
92,50.0,0.0,8.33,0.0,33.33,0.0,12
93,56.9,15.52,5.17,18.97,22.41,3.45,58
94,0.0,33.33,0.0,33.33,33.33,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,3
96,0.0,0.0,0.0,0.0,0.0,0.0,7
97,88.89,57.14,47.62,55.56,60.32,41.27,63
98,100.0,0.0,0.0,0.0,33.33,0.0,3
99,78.95,57.89,21.05,52.63,63.16,5.26,19
100,33.33,0.0,16.67,0.0,0.0,0.0,6
101,100.0,0.0,20.0,60.0,60.0,20.0,5
102,96.0,36.0,32.0,48.0,72.0,28.0,25
