class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,98.37,97.56,96.75,97.56,98.37,95.93,96.75,93.5,93.5,91.06,91.06,123
1,88.64,88.64,88.64,88.64,84.09,79.55,79.55,84.09,81.82,72.73,81.82,44
2,90.74,94.44,87.04,83.33,81.48,79.63,77.78,72.22,74.07,68.52,79.63,54
3,80.95,80.95,76.19,76.19,76.19,71.43,61.9,61.9,57.14,71.43,52.38,21
4,55.56,55.56,55.56,55.56,55.56,55.56,66.67,44.44,55.56,77.78,55.56,9
5,57.14,57.14,28.57,57.14,42.86,57.14,57.14,42.86,85.71,71.43,42.86,7
6,91.67,88.33,86.67,83.33,83.33,85.0,83.33,78.33,75.0,75.0,81.67,60
7,92.5,90.0,82.5,80.0,77.5,77.5,77.5,75.0,82.5,70.0,57.5,40
8,33.33,33.33,0.0,33.33,33.33,33.33,0.0,33.33,0.0,33.33,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,66.67,66.67,33.33,33.33,66.67,3
10,84.62,84.62,84.62,84.62,84.62,76.92,84.62,84.62,69.23,69.23,69.23,13
11,88.89,88.89,91.11,84.44,82.22,84.44,80.0,80.0,75.56,66.67,73.33,45
12,88.78,90.82,90.82,86.73,89.8,88.78,88.78,78.57,75.51,71.43,80.61,98
13,75.0,100.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,25.0,25.0,4
14,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,33.33,0.0,33.33,3
15,93.04,90.51,91.77,90.51,89.87,89.24,88.61,87.34,87.97,86.08,81.01,158
16,92.31,93.04,93.04,91.21,90.84,91.58,89.01,89.38,88.28,89.38,86.08,273
17,82.69,78.85,80.77,84.62,82.69,82.69,82.69,82.69,80.77,82.69,76.92,52
18,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,5
19,90.57,88.68,89.62,89.62,87.74,90.57,83.02,86.79,83.02,80.19,80.19,106
20,96.97,97.4,96.97,96.1,97.84,95.67,94.81,95.24,95.24,94.81,91.34,231
21,91.4,90.32,91.4,91.4,88.17,91.4,90.32,89.25,87.1,84.95,84.95,93
