class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,96.75,97.56,96.75,97.56,96.75,97.56,95.93,96.75,97.56,95.12,97.56,123
1,86.36,88.64,88.64,88.64,88.64,88.64,88.64,88.64,90.91,90.91,93.18,44
2,83.33,75.93,74.07,77.78,77.78,77.78,77.78,77.78,77.78,77.78,79.63,54
3,76.19,66.67,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,61.9,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,77.78,9
5,100.0,85.71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,7
6,90.0,91.67,90.0,90.0,90.0,91.67,91.67,91.67,93.33,91.67,91.67,60
7,92.5,90.0,90.0,90.0,87.5,87.5,82.5,82.5,82.5,80.0,77.5,40
8,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,66.67,100.0,3
10,84.62,84.62,84.62,84.62,84.62,92.31,92.31,92.31,92.31,92.31,92.31,13
11,97.78,95.56,95.56,95.56,95.56,95.56,95.56,93.33,93.33,91.11,86.67,45
12,93.88,94.9,94.9,94.9,93.88,93.88,92.86,93.88,94.9,95.92,92.86,98
13,75.0,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,75.0,4
14,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,3
15,88.61,88.61,88.61,88.61,88.61,88.61,89.24,89.24,89.24,89.24,88.61,158
16,94.87,94.14,93.04,93.04,93.04,93.04,92.67,92.67,92.67,93.04,92.31,273
17,88.46,88.46,86.54,88.46,88.46,86.54,86.54,84.62,82.69,80.77,84.62,52
18,60.0,40.0,40.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,40.0,5
19,95.28,95.28,96.23,95.28,95.28,95.28,96.23,97.17,97.17,97.17,95.28,106
20,98.7,98.7,98.7,97.84,97.4,97.4,97.84,97.84,97.84,97.4,96.54,231
21,93.55,91.4,93.55,92.47,91.4,89.25,90.32,92.47,87.1,83.87,86.02,93
22,83.08,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,81.54,65
23,97.54,97.23,98.15,98.15,98.15,98.15,96.92,97.54,97.23,96.31,96.92,325
24,70.0,70.0,70.0,60.0,60.0,70.0,70.0,75.0,60.0,60.0,60.0,20
25,95.24,95.24,95.24,95.24,90.48,95.24,90.48,95.24,85.71,85.71,76.19,21
26,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,22
27,11.76,11.76,11.76,5.88,5.88,5.88,5.88,5.88,5.88,11.76,5.88,17
28,98.05,98.05,98.05,97.66,97.66,98.05,97.66,97.66,97.66,96.88,96.88,256
29,82.46,82.46,85.96,82.46,80.7,80.7,82.46,80.7,78.95,77.19,75.44,57
30,98.61,99.07,98.61,98.84,98.84,98.84,99.07,98.84,98.38,97.91,97.68,431
31,94.44,93.89,92.22,93.33,92.78,92.22,91.67,92.22,93.33,92.78,92.22,180
32,98.6,97.75,96.35,96.91,96.35,95.79,95.79,95.51,94.66,92.98,91.29,356
33,77.78,77.78,77.78,77.78,77.78,77.78,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,100.0,100.0,100.0,100.0,100.0,97.14,91.43,91.43,91.43,85.71,68.57,35
36,98.7,98.7,98.7,98.05,98.05,98.05,98.05,96.75,94.81,93.51,88.31,154
37,94.24,94.24,94.24,94.24,94.24,94.24,94.24,94.24,93.53,92.81,92.81,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.89,9
39,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,93.94,87.88,33
40,95.74,93.62,93.62,93.62,93.62,93.62,93.62,93.62,93.62,95.74,91.49,47
41,95.88,98.97,96.91,96.91,96.91,95.88,96.91,95.88,96.91,97.94,95.88,97
42,97.44,96.15,98.72,98.72,96.15,96.15,94.87,93.59,92.31,88.46,88.46,78
43,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,94.44,92.59,54
44,71.43,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,7
45,98.87,98.87,98.49,98.87,99.25,98.87,99.25,99.25,98.11,98.11,97.36,265
46,97.65,98.04,98.43,98.43,98.43,98.43,98.04,98.04,98.43,98.43,98.04,255
47,88.89,88.89,88.89,88.89,85.19,85.19,85.19,85.19,81.48,81.48,81.48,27
48,95.37,95.06,94.75,95.06,95.06,93.83,93.52,93.21,93.83,92.59,91.67,324
49,87.5,91.07,89.29,91.07,91.07,89.29,89.29,89.29,89.29,89.29,89.29,56
50,94.93,94.44,93.48,93.48,94.2,93.24,92.75,93.24,93.0,92.51,93.24,414
51,98.77,97.94,98.35,98.35,98.35,98.35,97.53,98.35,97.94,97.94,97.12,243
52,98.35,98.97,98.97,98.55,98.35,98.35,97.73,97.52,97.11,96.28,95.66,484
53,89.92,91.18,89.5,89.08,88.24,88.24,88.24,88.66,86.97,86.55,84.45,238
54,62.5,56.25,56.25,56.25,56.25,56.25,50.0,31.25,56.25,25.0,12.5,16
55,97.84,97.4,97.84,97.4,97.84,96.54,95.67,94.37,94.81,92.21,91.34,231
56,83.33,75.0,70.83,62.5,58.33,58.33,58.33,58.33,58.33,50.0,50.0,24
57,95.92,95.41,95.41,94.9,94.9,94.9,95.41,94.9,94.9,93.88,94.39,196
58,83.33,83.33,83.33,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,96.83,90.48,95.24,96.83,96.83,93.65,98.41,96.83,96.83,93.65,95.24,63
61,100.0,98.21,94.64,94.64,94.64,96.43,92.86,94.64,92.86,96.43,92.86,56
62,90.91,87.88,84.85,87.88,90.91,90.91,90.91,87.88,90.91,90.91,87.88,33
63,96.0,91.56,88.44,86.22,83.56,80.89,69.78,63.56,50.67,33.33,30.22,225
64,63.64,54.55,45.45,36.36,36.36,36.36,36.36,45.45,36.36,9.09,0.0,11
65,66.67,77.78,77.78,66.67,66.67,66.67,66.67,55.56,44.44,44.44,44.44,9
66,86.15,85.38,83.08,83.08,74.62,66.92,64.62,59.23,53.08,46.92,48.46,130
67,99.44,97.78,98.33,99.44,98.89,98.33,97.78,98.33,98.33,96.11,92.78,180
68,88.89,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,88.89,91.67,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.55,96.55,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67,87.5,87.5,79.17,24
72,96.51,96.51,96.51,96.51,96.51,96.51,96.51,94.19,93.02,89.53,80.23,86
73,95.92,97.96,95.92,95.92,95.92,97.96,97.96,97.96,95.92,93.88,89.8,49
74,96.6,96.12,95.63,95.15,94.66,93.2,93.2,91.26,87.86,78.64,61.17,206
75,92.16,90.2,88.24,88.24,88.24,88.24,88.24,88.24,88.24,88.24,82.35,51
76,94.44,94.44,94.44,94.44,88.89,88.89,77.78,66.67,55.56,27.78,22.22,18
77,86.96,81.88,82.61,84.06,84.06,79.71,73.91,71.01,66.67,67.39,63.77,138
78,97.97,97.46,97.46,96.95,97.46,97.46,96.45,96.45,95.43,95.43,91.37,197
79,93.2,90.29,89.32,89.32,89.32,90.29,90.29,88.35,87.38,84.47,77.67,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,86.11,88.89,88.89,88.89,88.89,88.89,88.89,88.89,86.11,86.11,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.86,28.57,14.29,7
83,93.59,93.59,93.59,93.59,93.59,91.03,92.31,93.59,88.46,87.18,82.05,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,33.33,44.44,44.44,44.44,44.44,44.44,44.44,44.44,44.44,11.11,11.11,9
86,93.26,88.76,85.96,84.83,84.27,80.9,77.53,73.03,67.42,64.04,63.48,178
87,96.84,93.67,93.04,94.3,93.04,85.44,84.81,83.54,82.28,79.75,80.38,158
88,92.86,92.86,92.86,92.86,89.29,89.29,89.29,89.29,89.29,89.29,89.29,28
89,75.0,62.5,50.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,37.5,8
90,98.71,97.9,97.73,97.73,97.09,96.76,96.6,95.47,94.17,90.45,86.25,618
91,89.83,89.83,93.22,93.22,89.83,91.53,91.53,93.22,93.22,93.22,91.53,59
92,16.67,16.67,16.67,16.67,16.67,8.33,8.33,0.0,0.0,0.0,0.0,12
93,70.69,62.07,60.34,55.17,41.38,37.93,29.31,24.14,25.86,20.69,20.69,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,57.14,42.86,57.14,7
97,87.3,84.13,82.54,80.95,79.37,77.78,79.37,77.78,69.84,69.84,71.43,63
98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,100.0,3
99,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,78.95,73.68,19
100,50.0,16.67,16.67,16.67,16.67,16.67,16.67,16.67,16.67,0.0,16.67,6
